physical_unit_id	path	spot_count	index_fingerprint_sha256	fingerprint_status
HTAN::7794_AS_3_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/7794_AS_3_filtered_trimmed.h5ad	3395	aa7da0a7769e98623bb3045bfd10bcf5423bd183b1acb75a107ce9e8a08a3436	INDEX_VALUE_PINNED
HTAN::8270_AS_10_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_10_filtered_trimmed.h5ad	4758	52789c2aa9b7837b4c0945cb05281d4307e1ec01c0757c02052966f292b3ca5d	INDEX_VALUE_PINNED
HTAN::8270_AS_11_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_11_filtered_trimmed.h5ad	4418	b17ecd9e47b8b1b15b3904723418a22cf0ed676fda989afb0e512017bfc449ab	INDEX_VALUE_PINNED
HTAN::8270_AS_12_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_12_filtered_trimmed.h5ad	4099	1764f7c3a4c443933f644842d71dbd798bec4c4117741a3f3ac69d8e645957c0	INDEX_VALUE_PINNED
HTAN::8270_AS_1_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_1_filtered_trimmed.h5ad	830	3cc4651a7b578cbd16adf42d2d5027974d69519984f68f48d4121b6434f8a319	INDEX_VALUE_PINNED
HTAN::8270_AS_2_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_2_filtered_trimmed.h5ad	665	8126c34f6909e8515823b491c8d42406a0e103f44eaa78e67a5232f167e98b11	INDEX_VALUE_PINNED
HTAN::8270_AS_3_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_3_filtered_trimmed.h5ad	818	b17b1db8aab0bbd35c00c6fc6dc238abed58085c6faa16cf46e42199d135844b	INDEX_VALUE_PINNED
HTAN::8270_AS_5_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_5_filtered_trimmed.h5ad	229	7c979d5a46cc1a54213ba3f1bb950ab8416f65fa414ee1489e7c9943c214f456	INDEX_VALUE_PINNED
HTAN::8270_AS_6_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_6_filtered_trimmed.h5ad	3072	bcf720b7b6a1e32747e39242f96cdb688be177aec36c8fc30203d14e24905f8a	INDEX_VALUE_PINNED
HTAN::8270_AS_7_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_7_filtered_trimmed.h5ad	4297	73386cf6046b958ccbbbacb22b02f4528d95c5e6eeb059794822c4200530b179	INDEX_VALUE_PINNED
HTAN::8270_AS_8_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_8_filtered_trimmed.h5ad	4620	4f2b24e68f18360d19995d4b9d3b831c3a19999aaa71686b87b939f25d795e81	INDEX_VALUE_PINNED
HTAN::8270_AS_9_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_9_filtered_trimmed.h5ad	3577	c3cdfdd957a8b81c37bb90fef39aa77a481b61b1ee5644cfb2d8c982280d92ea	INDEX_VALUE_PINNED
HTAN::8578_AS_1_filtered_trimmed_WD33469.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_1_filtered_trimmed_WD33469.h5ad	370	002377ff27a91b93344250329aacbac934b3d7f71f096a8fd9b26230c28bae8d	INDEX_VALUE_PINNED
