program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
GO:GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	TLS_VISIUM_USZ::LC3	27	772	0.0021	0.664	nonmonotonic	0.008
GO:GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	TLS_VISIUM_USZ::LC3	27	772	0.0002	0.986	nonmonotonic	0.002
GO:GOBP_AXON_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0015	0.758	nonmonotonic	0.0021
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::LC3	27	772	0.0064	0.178	nonmonotonic	0.0024
GO:GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST	TLS_VISIUM_USZ::LC3	27	772	0.0055	0.238	nonmonotonic	0.0074
GO:GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	TLS_VISIUM_USZ::LC3	27	772	0.0041	0.37	high-to-low	0.0021
GO:GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	TLS_VISIUM_USZ::LC3	27	772	0.0185	0.00245	nonmonotonic	0.0096
GO:GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	TLS_VISIUM_USZ::LC3	27	772	0.0015	0.759	nonmonotonic	0.0044
GO:GOBP_BLOOD_VESSEL_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0082	0.0979	low-to-high	0.0049
GO:GOBP_BONE_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0027	0.551	nonmonotonic	0.0039
GO:GOBP_BONE_MINERALIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0065	0.169	nonmonotonic	0.0077
GO:GOBP_BONE_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0145	0.0105	flat	0.0102
GO:GOBP_B_CELL_ACTIVATION	TLS_VISIUM_USZ::LC3	27	772	0.0037	0.415	low-to-high	0.0043
GO:GOBP_B_CELL_MEDIATED_IMMUNITY	TLS_VISIUM_USZ::LC3	27	772	0.0081	0.0995	high-to-low	0.0111
GO:GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.0076	0.118	nonmonotonic	0.0141
GO:GOBP_CALCIUM_ION_HOMEOSTASIS	TLS_VISIUM_USZ::LC3	27	772	0.0064	0.178	nonmonotonic	0.0046
GO:GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL	TLS_VISIUM_USZ::LC3	27	772	0.0084	0.0898	nonmonotonic	0.0081
GO:GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	TLS_VISIUM_USZ::LC3	27	772	0.0082	0.0953	high-to-low	0.0047
GO:GOBP_CALCIUM_ION_TRANSPORT	TLS_VISIUM_USZ::LC3	27	772	0.0031	0.502	nonmonotonic	0.0019
GO:GOBP_CALCIUM_MEDIATED_SIGNALING	TLS_VISIUM_USZ::LC3	27	772	0.0143	0.0112	high-to-low	0.0077
GO:GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	TLS_VISIUM_USZ::LC3	27	772	0.0035	0.446	flat	0.0052
GO:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.0104	0.0455	nonmonotonic	0.0071
GO:GOBP_CARBOHYDRATE_CATABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0181	0.0029	nonmonotonic	0.0117
GO:GOBP_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0169	0.00447	nonmonotonic	0.0071
GO:GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0053	0.256	high-to-low	0.0053
GO:GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0224	0.000576	nonmonotonic	0.0058
GO:GOBP_CARBOHYDRATE_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0066	0.167	nonmonotonic	0.0035
GO:GOBP_CARDIAC_CHAMBER_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0083	0.095	nonmonotonic	0.0072
GO:GOBP_CARDIAC_CHAMBER_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0019	0.684	nonmonotonic	0.0037
GO:GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.004	0.374	flat	0.0024
GO:GOBP_CARDIAC_SEPTUM_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0015	0.758	nonmonotonic	0.004
GO:GOBP_CARDIAC_VENTRICLE_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0078	0.112	nonmonotonic	0.0091
GO:GOBP_CARTILAGE_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0051	0.269	nonmonotonic	0.0071
GO:GOBP_CELLULAR_COMPONENT_DISASSEMBLY	TLS_VISIUM_USZ::LC3	27	772	0.0073	0.132	nonmonotonic	0.0043
GO:GOBP_CELLULAR_HOMEOSTASIS	TLS_VISIUM_USZ::LC3	27	772	0.0081	0.101	nonmonotonic	0.0031
GO:GOBP_CELLULAR_RESPIRATION	TLS_VISIUM_USZ::LC3	27	772	0.0026	0.58	high-to-low	0.0058
GO:GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	TLS_VISIUM_USZ::LC3	27	772	0.0006	0.927	nonmonotonic	0.0015
GO:GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	TLS_VISIUM_USZ::LC3	27	772	0.0069	0.151	flat	0.0044
GO:GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS	TLS_VISIUM_USZ::LC3	27	772	0.016	0.00612	high-to-low	0.0044
GO:GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS	TLS_VISIUM_USZ::LC3	27	772	0.0223	0.000609	high-to-low	0.0074
GO:GOBP_CELLULAR_RESPONSE_TO_HYDROGEN_PEROXIDE	TLS_VISIUM_USZ::LC3	27	772	0.0059	0.208	low-to-high	0.0138
GO:GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	TLS_VISIUM_USZ::LC3	27	772	0.0049	0.289	high-to-low	0.0064
GO:GOBP_CELLULAR_RESPONSE_TO_LIPID	TLS_VISIUM_USZ::LC3	27	772	0.0088	0.0786	nonmonotonic	0.0038
GO:GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	TLS_VISIUM_USZ::LC3	27	772	0.0064	0.179	nonmonotonic	0.0042
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::LC3	27	772	0.0094	0.0637	nonmonotonic	0.0045
GO:GOBP_CELLULAR_RESPONSE_TO_NUTRIENT_LEVELS	TLS_VISIUM_USZ::LC3	27	772	0.0071	0.142	high-to-low	0.0082
GO:GOBP_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS	TLS_VISIUM_USZ::LC3	27	772	0.0074	0.129	nonmonotonic	0.0064
GO:GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	TLS_VISIUM_USZ::LC3	27	772	0.0041	0.367	nonmonotonic	0.0019
GO:GOBP_CELLULAR_RESPONSE_TO_STARVATION	TLS_VISIUM_USZ::LC3	27	772	0.0251	0.000216	nonmonotonic	0.0163
GO:GOBP_CELLULAR_RESPONSE_TO_STRESS	TLS_VISIUM_USZ::LC3	27	772	0.0046	0.312	nonmonotonic	0.0022
GO:GOBP_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON	TLS_VISIUM_USZ::LC3	27	772	0.0018	0.715	nonmonotonic	0.0057
GO:GOBP_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS	TLS_VISIUM_USZ::LC3	27	772	0.0062	0.188	nonmonotonic	0.0109
GO:GOBP_CELL_ACTIVATION	TLS_VISIUM_USZ::LC3	27	772	0.0026	0.571	flat	0.0022
GO:GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0109	0.0381	flat	0.008
GO:GOBP_CELL_ADHESION	TLS_VISIUM_USZ::LC3	27	772	0.0047	0.31	nonmonotonic	0.0024
GO:GOBP_CELL_CELL_ADHESION	TLS_VISIUM_USZ::LC3	27	772	0.0308	2.49e-05	nonmonotonic	0.007
GO:GOBP_CELL_CELL_JUNCTION_ASSEMBLY	TLS_VISIUM_USZ::LC3	27	772	0.0066	0.168	nonmonotonic	0.0082
GO:GOBP_CELL_CELL_JUNCTION_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0075	0.122	high-to-low	0.0071
GO:GOBP_CELL_CELL_SIGNALING	TLS_VISIUM_USZ::LC3	27	772	0.0052	0.26	high-to-low	0.0018
GO:GOBP_CELL_CHEMOTAXIS	TLS_VISIUM_USZ::LC3	27	772	0.0138	0.0136	nonmonotonic	0.0071
GO:GOBP_CELL_CYCLE	TLS_VISIUM_USZ::LC3	27	772	0.0028	0.544	nonmonotonic	0.0018
GO:GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	TLS_VISIUM_USZ::LC3	27	772	0.0041	0.37	high-to-low	0.0059
GO:GOBP_CELL_CYCLE_G1_S_PHASE_TRANSITION	TLS_VISIUM_USZ::LC3	27	772	0.0138	0.0134	high-to-low	0.0088
GO:GOBP_CELL_CYCLE_G2_M_PHASE_TRANSITION	TLS_VISIUM_USZ::LC3	27	772	0.0031	0.503	nonmonotonic	0.0039
GO:GOBP_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::LC3	27	772	0.0102	0.0488	high-to-low	0.0052
GO:GOBP_CELL_CYCLE_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0149	0.00909	high-to-low	0.0055
GO:GOBP_CELL_DIVISION	TLS_VISIUM_USZ::LC3	27	772	0.0033	0.473	nonmonotonic	0.0034
GO:GOBP_CELL_FATE_COMMITMENT	TLS_VISIUM_USZ::LC3	27	772	0.0022	0.633	nonmonotonic	0.0022
GO:GOBP_CELL_GROWTH	TLS_VISIUM_USZ::LC3	27	772	0.0279	7.46e-05	nonmonotonic	0.0093
GO:GOBP_CELL_JUNCTION_ASSEMBLY	TLS_VISIUM_USZ::LC3	27	772	0.0138	0.0136	nonmonotonic	0.0078
GO:GOBP_CELL_JUNCTION_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0081	0.0995	nonmonotonic	0.0039
GO:GOBP_CELL_KILLING	TLS_VISIUM_USZ::LC3	27	772	0.0042	0.352	high-to-low	0.0047
GO:GOBP_CELL_MATRIX_ADHESION	TLS_VISIUM_USZ::LC3	27	772	0.0091	0.0713	nonmonotonic	0.0118
GO:GOBP_CELL_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0042	0.36	nonmonotonic	0.0023
GO:GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	TLS_VISIUM_USZ::LC3	27	772	0.005	0.276	nonmonotonic	0.0025
GO:GOBP_CELL_MOTILITY	TLS_VISIUM_USZ::LC3	27	772	0.0118	0.0272	nonmonotonic	0.0037
GO:GOBP_CELL_PROJECTION_ASSEMBLY	TLS_VISIUM_USZ::LC3	27	772	0.0028	0.545	nonmonotonic	0.0025
GO:GOBP_CELL_PROJECTION_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0002	0.985	flat	0.0005
GO:GOBP_CELL_PROJECTION_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0012	0.813	nonmonotonic	0.001
GO:GOBP_CELL_SUBSTRATE_ADHESION	TLS_VISIUM_USZ::LC3	27	772	0.015	0.00881	nonmonotonic	0.0072
GO:GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0044	0.339	flat	0.0086
GO:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.0036	0.433	flat	0.0038
GO:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.0033	0.474	nonmonotonic	0.0027
GO:GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT	TLS_VISIUM_USZ::LC3	27	772	0.0064	0.174	nonmonotonic	0.0089
GO:GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0113	0.0326	nonmonotonic	0.003
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::LC3	27	772	0.0092	0.0676	nonmonotonic	0.0033
GO:GOBP_CHONDROCYTE_DIFFERENTIATION	TLS_VISIUM_USZ::LC3	27	772	0.0026	0.572	low-to-high	0.0073
GO:GOBP_CHROMATIN_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0155	0.00737	nonmonotonic	0.0062
GO:GOBP_CHROMATIN_REMODELING	TLS_VISIUM_USZ::LC3	27	772	0.0055	0.236	high-to-low	0.0046
GO:GOBP_CHROMOSOME_LOCALIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0013	0.801	nonmonotonic	0.0028
GO:GOBP_CHROMOSOME_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0028	0.544	low-to-high	0.0031
GO:GOBP_CHROMOSOME_SEGREGATION	TLS_VISIUM_USZ::LC3	27	772	0.0042	0.356	nonmonotonic	0.0032
GO:GOBP_CHROMOSOME_SEPARATION	TLS_VISIUM_USZ::LC3	27	772	0.0105	0.0443	low-to-high	0.013
GO:GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0039	0.389	nonmonotonic	0.0026
GO:GOBP_CIRCULATORY_SYSTEM_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0163	0.00547	high-to-low	0.0041
GO:GOBP_COLLAGEN_CATABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0084	0.0914	nonmonotonic	0.0141
GO:GOBP_COLLAGEN_FIBRIL_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0028	0.537	nonmonotonic	0.0098
GO:GOBP_COLLAGEN_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0075	0.122	flat	0.0087
GO:GOBP_COMPLEMENT_ACTIVATION_CLASSICAL_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.0024	0.602	nonmonotonic	0.0117
GO:GOBP_CONNECTIVE_TISSUE_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0141	0.0121	nonmonotonic	0.0085
GO:GOBP_CYTOKINESIS	TLS_VISIUM_USZ::LC3	27	772	0.008	0.104	high-to-low	0.0087
GO:GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.0062	0.19	nonmonotonic	0.0036
GO:GOBP_CYTOKINE_PRODUCTION	TLS_VISIUM_USZ::LC3	27	772	0.001	0.85	nonmonotonic	0.0015
GO:GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0121	0.0246	low-to-high	0.0135
GO:GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.0342	6.79e-06	nonmonotonic	0.0141
GO:GOBP_CYTOPLASMIC_TRANSLATION	TLS_VISIUM_USZ::LC3	27	772	0.0158	0.00662	high-to-low	0.0272
GO:GOBP_CYTOSKELETON_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.057	8.83e-10	nonmonotonic	0.008
GO:GOBP_DEFENSE_RESPONSE_TO_BACTERIUM	TLS_VISIUM_USZ::LC3	27	772	0.0211	0.000956	nonmonotonic	0.009
GO:GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	TLS_VISIUM_USZ::LC3	27	772	0.0075	0.122	nonmonotonic	0.003
GO:GOBP_DEFENSE_RESPONSE_TO_SYMBIONT	TLS_VISIUM_USZ::LC3	27	772	0.0265	0.000126	nonmonotonic	0.0062
GO:GOBP_DEFENSE_RESPONSE_TO_VIRUS	TLS_VISIUM_USZ::LC3	27	772	0.0015	0.755	nonmonotonic	0.0027
GO:GOBP_DETOXIFICATION	TLS_VISIUM_USZ::LC3	27	772	0.0095	0.0613	nonmonotonic	0.007
GO:GOBP_DEVELOPMENTAL_GROWTH	TLS_VISIUM_USZ::LC3	27	772	0.0111	0.036	nonmonotonic	0.0038
GO:GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.008	0.102	low-to-high	0.0075
GO:GOBP_DEVELOPMENTAL_MATURATION	TLS_VISIUM_USZ::LC3	27	772	0.0034	0.449	high-to-low	0.0033
GO:GOBP_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION	TLS_VISIUM_USZ::LC3	27	772	0.0021	0.654	nonmonotonic	0.0013
GO:GOBP_DEVELOPMENT_OF_PRIMARY_SEXUAL_CHARACTERISTICS	TLS_VISIUM_USZ::LC3	27	772	0.0135	0.0152	nonmonotonic	0.0087
GO:GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0039	0.385	high-to-low	0.0066
GO:GOBP_DIGESTIVE_SYSTEM_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0038	0.405	high-to-low	0.0036
GO:GOBP_DNA_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0028	0.543	high-to-low	0.005
GO:GOBP_DNA_DAMAGE_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0021	0.662	high-to-low	0.0022
GO:GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING	TLS_VISIUM_USZ::LC3	27	772	0.0047	0.308	high-to-low	0.0065
GO:GOBP_DNA_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0048	0.299	nonmonotonic	0.0029
GO:GOBP_DNA_RECOMBINATION	TLS_VISIUM_USZ::LC3	27	772	0.0117	0.0284	nonmonotonic	0.0064
GO:GOBP_DNA_REPAIR	TLS_VISIUM_USZ::LC3	27	772	0.0045	0.326	high-to-low	0.003
GO:GOBP_DNA_REPLICATION	TLS_VISIUM_USZ::LC3	27	772	0.0038	0.406	nonmonotonic	0.004
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::LC3	27	772	0.0041	0.364	nonmonotonic	0.0145
GO:GOBP_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION	TLS_VISIUM_USZ::LC3	27	772	0.0105	0.0442	low-to-high	0.0219
GO:GOBP_DNA_TEMPLATED_DNA_REPLICATION	TLS_VISIUM_USZ::LC3	27	772	0.0007	0.903	high-to-low	0.0023
GO:GOBP_DNA_TEMPLATED_TRANSCRIPTION_INITIATION	TLS_VISIUM_USZ::LC3	27	772	0.0054	0.245	nonmonotonic	0.0057
GO:GOBP_DOUBLE_STRAND_BREAK_REPAIR	TLS_VISIUM_USZ::LC3	27	772	0.0035	0.438	nonmonotonic	0.0038
GO:GOBP_EAR_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.016	0.00614	nonmonotonic	0.0059
GO:GOBP_EAR_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0141	0.0123	nonmonotonic	0.0071
GO:GOBP_ELECTRON_TRANSPORT_CHAIN	TLS_VISIUM_USZ::LC3	27	772	0.0115	0.0308	high-to-low	0.0171
GO:GOBP_EMBRYONIC_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0152	0.00813	flat	0.0065
GO:GOBP_EMBRYONIC_ORGAN_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0109	0.0377	nonmonotonic	0.005
GO:GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0005	0.943	flat	0.0008
GO:GOBP_EMBRYO_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0112	0.0347	nonmonotonic	0.0042
