program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
GO:GOBP_HORMONE_TRANSPORT	TLS_VISIUM_USZ::KC3	20	440	0.0037	0.658	nonmonotonic	0.0041
GO:GOBP_HUMORAL_IMMUNE_RESPONSE	TLS_VISIUM_USZ::KC3	20	440	0.0474	9.64e-05	high-to-low	0.017
GO:GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	TLS_VISIUM_USZ::KC3	20	440	0.0054	0.5	high-to-low	0.0149
GO:GOBP_IMMUNE_EFFECTOR_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0074	0.353	high-to-low	0.0047
GO:GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	TLS_VISIUM_USZ::KC3	20	440	0.0131	0.123	nonmonotonic	0.0063
GO:GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	TLS_VISIUM_USZ::KC3	20	440	0.0002	0.995	high-to-low	0.0008
GO:GOBP_IMPORT_INTO_CELL	TLS_VISIUM_USZ::KC3	20	440	0.001	0.934	flat	0.0012
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::KC3	20	440	0.0084	0.298	nonmonotonic	0.0079
GO:GOBP_INFLAMMATORY_RESPONSE	TLS_VISIUM_USZ::KC3	20	440	0.006	0.452	nonmonotonic	0.003
GO:GOBP_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORT	TLS_VISIUM_USZ::KC3	20	440	0.0046	0.573	nonmonotonic	0.0051
GO:GOBP_INORGANIC_ION_HOMEOSTASIS	TLS_VISIUM_USZ::KC3	20	440	0.0044	0.592	low-to-high	0.0042
GO:GOBP_INORGANIC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	TLS_VISIUM_USZ::KC3	20	440	0.0263	0.00877	nonmonotonic	0.0126
GO:GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	TLS_VISIUM_USZ::KC3	20	440	0.0118	0.159	flat	0.02
GO:GOBP_INTERFERON_BETA_PRODUCTION	TLS_VISIUM_USZ::KC3	20	440	0.016	0.071	high-to-low	0.034
GO:GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY	TLS_VISIUM_USZ::KC3	20	440	0.0222	0.0205	high-to-low	0.0286
GO:GOBP_INTERLEUKIN_6_PRODUCTION	TLS_VISIUM_USZ::KC3	20	440	0.0019	0.841	flat	0.0054
GO:GOBP_INTRACELLULAR_MONOATOMIC_ION_HOMEOSTASIS	TLS_VISIUM_USZ::KC3	20	440	0.0007	0.96	flat	0.0021
GO:GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	TLS_VISIUM_USZ::KC3	20	440	0.0064	0.421	nonmonotonic	0.0059
GO:GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY	TLS_VISIUM_USZ::KC3	20	440	0.0098	0.232	nonmonotonic	0.0051
GO:GOBP_INTRACELLULAR_TRANSPORT	TLS_VISIUM_USZ::KC3	20	440	0.0204	0.0296	nonmonotonic	0.008
GO:GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	TLS_VISIUM_USZ::KC3	20	440	0.0081	0.314	high-to-low	0.0097
GO:GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	TLS_VISIUM_USZ::KC3	20	440	0.0152	0.0823	flat	0.0074
GO:GOBP_LEUKOCYTE_APOPTOTIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0047	0.56	nonmonotonic	0.0132
GO:GOBP_LEUKOCYTE_CELL_CELL_ADHESION	TLS_VISIUM_USZ::KC3	20	440	0.0258	0.00969	low-to-high	0.0116
GO:GOBP_LEUKOCYTE_CHEMOTAXIS	TLS_VISIUM_USZ::KC3	20	440	0.0168	0.0604	nonmonotonic	0.0102
GO:GOBP_LEUKOCYTE_DIFFERENTIATION	TLS_VISIUM_USZ::KC3	20	440	0.0235	0.0156	nonmonotonic	0.0057
GO:GOBP_LEUKOCYTE_MEDIATED_IMMUNITY	TLS_VISIUM_USZ::KC3	20	440	0.0166	0.0628	nonmonotonic	0.0105
GO:GOBP_LEUKOCYTE_MIGRATION	TLS_VISIUM_USZ::KC3	20	440	0.018	0.0478	nonmonotonic	0.0074
GO:GOBP_LEUKOCYTE_PROLIFERATION	TLS_VISIUM_USZ::KC3	20	440	0.0032	0.707	nonmonotonic	0.0041
GO:GOBP_LIPID_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0026	0.767	nonmonotonic	0.0022
GO:GOBP_LIPID_CATABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0015	0.886	flat	0.0018
GO:GOBP_LIPID_LOCALIZATION	TLS_VISIUM_USZ::KC3	20	440	0.0016	0.877	nonmonotonic	0.0031
GO:GOBP_LIPID_METABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0057	0.48	high-to-low	0.0025
GO:GOBP_LIPID_MODIFICATION	TLS_VISIUM_USZ::KC3	20	440	0.0004	0.984	nonmonotonic	0.0021
GO:GOBP_LOCALIZATION_WITHIN_MEMBRANE	TLS_VISIUM_USZ::KC3	20	440	0.0114	0.17	nonmonotonic	0.0033
GO:GOBP_LOCOMOTION	TLS_VISIUM_USZ::KC3	20	440	0.0117	0.161	nonmonotonic	0.0031
GO:GOBP_LYMPHOCYTE_ACTIVATION	TLS_VISIUM_USZ::KC3	20	440	0.0212	0.0248	flat	0.0075
GO:GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	TLS_VISIUM_USZ::KC3	20	440	0.0166	0.0632	nonmonotonic	0.0131
GO:GOBP_LYMPHOCYTE_DIFFERENTIATION	TLS_VISIUM_USZ::KC3	20	440	0.0208	0.0272	low-to-high	0.0094
GO:GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY	TLS_VISIUM_USZ::KC3	20	440	0.0057	0.476	nonmonotonic	0.0076
GO:GOBP_MACROAUTOPHAGY	TLS_VISIUM_USZ::KC3	20	440	0.0071	0.378	high-to-low	0.009
GO:GOBP_MACROMOLECULE_CATABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0143	0.0988	nonmonotonic	0.0054
GO:GOBP_MAINTENANCE_OF_CELL_NUMBER	TLS_VISIUM_USZ::KC3	20	440	0.0041	0.62	nonmonotonic	0.0064
GO:GOBP_MAINTENANCE_OF_LOCATION	TLS_VISIUM_USZ::KC3	20	440	0.0075	0.347	nonmonotonic	0.013
GO:GOBP_MALE_GAMETE_GENERATION	TLS_VISIUM_USZ::KC3	20	440	0.0045	0.582	nonmonotonic	0.0031
GO:GOBP_MALE_SEX_DIFFERENTIATION	TLS_VISIUM_USZ::KC3	20	440	0.007	0.379	flat	0.0031
GO:GOBP_MAPK_CASCADE	TLS_VISIUM_USZ::KC3	20	440	0.0108	0.193	low-to-high	0.0061
GO:GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0045	0.579	nonmonotonic	0.0066
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::KC3	20	440	0.0119	0.155	nonmonotonic	0.0072
GO:GOBP_MEIOTIC_CELL_CYCLE_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0157	0.0753	high-to-low	0.0085
GO:GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY	TLS_VISIUM_USZ::KC3	20	440	0.0212	0.0249	flat	0.0068
GO:GOBP_MEMBRANE_LIPID_METABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0054	0.497	low-to-high	0.0078
GO:GOBP_MEMBRANE_ORGANIZATION	TLS_VISIUM_USZ::KC3	20	440	0.0134	0.117	high-to-low	0.006
GO:GOBP_MESENCHYMAL_CELL_DIFFERENTIATION	TLS_VISIUM_USZ::KC3	20	440	0.0079	0.326	nonmonotonic	0.0097
GO:GOBP_MESENCHYME_DEVELOPMENT	TLS_VISIUM_USZ::KC3	20	440	0.0158	0.0732	nonmonotonic	0.0089
GO:GOBP_METAL_ION_TRANSPORT	TLS_VISIUM_USZ::KC3	20	440	0.003	0.722	flat	0.0012
GO:GOBP_METAPHASE_CHROMOSOME_ALIGNMENT	TLS_VISIUM_USZ::KC3	20	440	0.0133	0.119	high-to-low	0.0134
GO:GOBP_MICROTUBULE_BASED_MOVEMENT	TLS_VISIUM_USZ::KC3	20	440	0.0035	0.672	nonmonotonic	0.0026
GO:GOBP_MICROTUBULE_BASED_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0109	0.189	high-to-low	0.0047
GO:GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	TLS_VISIUM_USZ::KC3	20	440	0.0101	0.217	nonmonotonic	0.0072
GO:GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	TLS_VISIUM_USZ::KC3	20	440	0.006	0.456	nonmonotonic	0.0057
GO:GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN	TLS_VISIUM_USZ::KC3	20	440	0.0065	0.418	flat	0.0227
GO:GOBP_MITOCHONDRIAL_TRANSPORT	TLS_VISIUM_USZ::KC3	20	440	0.0034	0.689	nonmonotonic	0.0082
GO:GOBP_MITOCHONDRION_ORGANIZATION	TLS_VISIUM_USZ::KC3	20	440	0.0085	0.293	high-to-low	0.0076
GO:GOBP_MITOTIC_CELL_CYCLE	TLS_VISIUM_USZ::KC3	20	440	0.0196	0.0347	high-to-low	0.0077
GO:GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING	TLS_VISIUM_USZ::KC3	20	440	0.0062	0.436	flat	0.0047
GO:GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::KC3	20	440	0.0044	0.592	nonmonotonic	0.0047
GO:GOBP_MITOTIC_CELL_CYCLE_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0122	0.147	nonmonotonic	0.0066
GO:GOBP_MITOTIC_NUCLEAR_DIVISION	TLS_VISIUM_USZ::KC3	20	440	0.0273	0.00715	high-to-low	0.0162
GO:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	TLS_VISIUM_USZ::KC3	20	440	0.0278	0.00647	high-to-low	0.019
GO:GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION	TLS_VISIUM_USZ::KC3	20	440	0.0126	0.137	high-to-low	0.0151
GO:GOBP_MITOTIC_SPINDLE_ASSEMBLY	TLS_VISIUM_USZ::KC3	20	440	0.0276	0.00674	high-to-low	0.0353
GO:GOBP_MITOTIC_SPINDLE_ORGANIZATION	TLS_VISIUM_USZ::KC3	20	440	0.0085	0.292	nonmonotonic	0.014
GO:GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0044	0.592	nonmonotonic	0.0044
GO:GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0114	0.171	high-to-low	0.0122
GO:GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT	TLS_VISIUM_USZ::KC3	20	440	0.0006	0.971	flat	0.0005
GO:GOBP_MONOATOMIC_CATION_TRANSPORT	TLS_VISIUM_USZ::KC3	20	440	0.0016	0.875	nonmonotonic	0.0008
GO:GOBP_MONOATOMIC_ION_HOMEOSTASIS	TLS_VISIUM_USZ::KC3	20	440	0.0067	0.401	nonmonotonic	0.0032
GO:GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	TLS_VISIUM_USZ::KC3	20	440	0.0023	0.799	flat	0.0016
GO:GOBP_MONOATOMIC_ION_TRANSPORT	TLS_VISIUM_USZ::KC3	20	440	0.0029	0.732	flat	0.0019
GO:GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0103	0.21	flat	0.0072
GO:GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0079	0.327	high-to-low	0.006
GO:GOBP_MONONUCLEAR_CELL_DIFFERENTIATION	TLS_VISIUM_USZ::KC3	20	440	0.0102	0.215	nonmonotonic	0.0069
GO:GOBP_MONONUCLEAR_CELL_MIGRATION	TLS_VISIUM_USZ::KC3	20	440	0.0018	0.849	high-to-low	0.0038
GO:GOBP_MONOSACCHARIDE_METABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0162	0.0674	nonmonotonic	0.0086
GO:GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM	TLS_VISIUM_USZ::KC3	20	440	0.017	0.0577	low-to-high	0.0077
GO:GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	TLS_VISIUM_USZ::KC3	20	440	0.0081	0.313	low-to-high	0.0082
GO:GOBP_MRNA_CATABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0121	0.151	flat	0.0078
GO:GOBP_MRNA_METABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0086	0.287	high-to-low	0.006
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::KC3	20	440	0.0029	0.736	high-to-low	0.006
GO:GOBP_MRNA_TRANSPORT	TLS_VISIUM_USZ::KC3	20	440	0.0023	0.805	flat	0.0085
GO:GOBP_MULTICELLULAR_ORGANISMAL_LEVEL_HOMEOSTASIS	TLS_VISIUM_USZ::KC3	20	440	0.0001	0.996	low-to-high	0.0006
GO:GOBP_MULTICELLULAR_ORGANISMAL_REPRODUCTIVE_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0057	0.476	nonmonotonic	0.0016
GO:GOBP_MUSCLE_CELL_DEVELOPMENT	TLS_VISIUM_USZ::KC3	20	440	0.0041	0.616	nonmonotonic	0.0074
GO:GOBP_MUSCLE_CELL_DIFFERENTIATION	TLS_VISIUM_USZ::KC3	20	440	0.0088	0.279	high-to-low	0.0056
GO:GOBP_MUSCLE_CELL_PROLIFERATION	TLS_VISIUM_USZ::KC3	20	440	0.0128	0.13	nonmonotonic	0.0154
GO:GOBP_MUSCLE_CONTRACTION	TLS_VISIUM_USZ::KC3	20	440	0.0061	0.447	nonmonotonic	0.0048
GO:GOBP_MUSCLE_ORGAN_DEVELOPMENT	TLS_VISIUM_USZ::KC3	20	440	0.0053	0.505	nonmonotonic	0.0063
GO:GOBP_MUSCLE_STRUCTURE_DEVELOPMENT	TLS_VISIUM_USZ::KC3	20	440	0.0008	0.95	nonmonotonic	0.002
GO:GOBP_MUSCLE_SYSTEM_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0011	0.924	flat	0.0014
GO:GOBP_MUSCLE_TISSUE_DEVELOPMENT	TLS_VISIUM_USZ::KC3	20	440	0.0092	0.256	nonmonotonic	0.008
GO:GOBP_MYELOID_CELL_DIFFERENTIATION	TLS_VISIUM_USZ::KC3	20	440	0.0035	0.679	flat	0.0044
GO:GOBP_MYELOID_CELL_HOMEOSTASIS	TLS_VISIUM_USZ::KC3	20	440	0.0026	0.767	nonmonotonic	0.0068
GO:GOBP_MYELOID_LEUKOCYTE_ACTIVATION	TLS_VISIUM_USZ::KC3	20	440	0.0222	0.0205	nonmonotonic	0.0132
GO:GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION	TLS_VISIUM_USZ::KC3	20	440	0.0183	0.0446	low-to-high	0.0099
GO:GOBP_NEGATIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY	TLS_VISIUM_USZ::KC3	20	440	0.0068	0.397	low-to-high	0.0115
GO:GOBP_NEGATIVE_REGULATION_OF_CATABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0091	0.262	high-to-low	0.0108
GO:GOBP_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	TLS_VISIUM_USZ::KC3	20	440	0.0456	0.000142	nonmonotonic	0.0135
GO:GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	TLS_VISIUM_USZ::KC3	20	440	0.0162	0.068	nonmonotonic	0.022
GO:GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION	TLS_VISIUM_USZ::KC3	20	440	0.0396	0.000519	low-to-high	0.0211
GO:GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION	TLS_VISIUM_USZ::KC3	20	440	0.0188	0.0404	low-to-high	0.012
GO:GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE	TLS_VISIUM_USZ::KC3	20	440	0.0072	0.369	high-to-low	0.0059
GO:GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.011	0.185	nonmonotonic	0.0092
GO:GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT	TLS_VISIUM_USZ::KC3	20	440	0.0122	0.146	nonmonotonic	0.0055
GO:GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION	TLS_VISIUM_USZ::KC3	20	440	0.0054	0.502	nonmonotonic	0.0025
GO:GOBP_NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	TLS_VISIUM_USZ::KC3	20	440	0.0023	0.799	flat	0.0034
GO:GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	TLS_VISIUM_USZ::KC3	20	440	0.0173	0.0541	nonmonotonic	0.0139
GO:GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION	TLS_VISIUM_USZ::KC3	20	440	0.0036	0.662	low-to-high	0.0082
GO:GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE	TLS_VISIUM_USZ::KC3	20	440	0.0069	0.386	flat	0.0074
GO:GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0006	0.964	flat	0.0016
GO:GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION	TLS_VISIUM_USZ::KC3	20	440	0.0095	0.245	nonmonotonic	0.0045
GO:GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	TLS_VISIUM_USZ::KC3	20	440	0.0032	0.704	nonmonotonic	0.0076
GO:GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.004	0.626	flat	0.0046
GO:GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE	TLS_VISIUM_USZ::KC3	20	440	0.0269	0.00768	flat	0.0183
GO:GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE	TLS_VISIUM_USZ::KC3	20	440	0.012	0.152	nonmonotonic	0.0248
GO:GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	TLS_VISIUM_USZ::KC3	20	440	0.0321	0.00258	high-to-low	0.012
GO:GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	TLS_VISIUM_USZ::KC3	20	440	0.0032	0.702	nonmonotonic	0.0068
GO:GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION	TLS_VISIUM_USZ::KC3	20	440	0.0109	0.187	high-to-low	0.0097
GO:GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION	TLS_VISIUM_USZ::KC3	20	440	0.0234	0.016	nonmonotonic	0.0156
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE	TLS_VISIUM_USZ::KC3	20	440	0.0061	0.449	nonmonotonic	0.0092
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::KC3	20	440	0.0002	0.995	nonmonotonic	0.0013
GO:GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION	TLS_VISIUM_USZ::KC3	20	440	0.0222	0.0205	nonmonotonic	0.0103
GO:GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0089	0.273	nonmonotonic	0.0036
GO:GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0038	0.648	high-to-low	0.0025
GO:GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	TLS_VISIUM_USZ::KC3	20	440	0.011	0.185	flat	0.0078
GO:GOBP_NEGATIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH	TLS_VISIUM_USZ::KC3	20	440	0.0108	0.191	nonmonotonic	0.006
GO:GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION	TLS_VISIUM_USZ::KC3	20	440	0.0016	0.874	nonmonotonic	0.0044
GO:GOBP_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0384	0.000673	high-to-low	0.0164
GO:GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0012	0.915	nonmonotonic	0.0054
GO:GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS	TLS_VISIUM_USZ::KC3	20	440	0.0119	0.156	nonmonotonic	0.0134
GO:GOBP_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0038	0.645	nonmonotonic	0.01
GO:GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS	TLS_VISIUM_USZ::KC3	20	440	0.0162	0.0679	nonmonotonic	0.0131
GO:GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	TLS_VISIUM_USZ::KC3	20	440	0.0174	0.0538	nonmonotonic	0.0096
GO:GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	TLS_VISIUM_USZ::KC3	20	440	0.001	0.934	nonmonotonic	0.0016
GO:GOBP_NEGATIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0018	0.855	low-to-high	0.0017
GO:GOBP_NEGATIVE_REGULATION_OF_SIGNALING	TLS_VISIUM_USZ::KC3	20	440	0.0153	0.0812	nonmonotonic	0.0037
GO:GOBP_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION	TLS_VISIUM_USZ::KC3	20	440	0.0108	0.193	high-to-low	0.0199
GO:GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::KC3	20	440	0.0158	0.0733	nonmonotonic	0.0127
GO:GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	TLS_VISIUM_USZ::KC3	20	440	0.0027	0.758	nonmonotonic	0.0032
GO:GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	TLS_VISIUM_USZ::KC3	20	440	0.0113	0.175	high-to-low	0.0185
GO:GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	TLS_VISIUM_USZ::KC3	20	440	0.0344	0.0016	nonmonotonic	0.0278
GO:GOBP_NEGATIVE_REGULATION_OF_TRANSPORT	TLS_VISIUM_USZ::KC3	20	440	0.0122	0.148	high-to-low	0.0077
GO:GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0413	0.00036	high-to-low	0.0348
GO:GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	TLS_VISIUM_USZ::KC3	20	440	0.003	0.725	nonmonotonic	0.0066
GO:GOBP_NERVOUS_SYSTEM_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0159	0.0726	nonmonotonic	0.0024
GO:GOBP_NEUROGENESIS	TLS_VISIUM_USZ::KC3	20	440	0.0067	0.401	flat	0.0023
GO:GOBP_NEURON_DEVELOPMENT	TLS_VISIUM_USZ::KC3	20	440	0.0079	0.326	low-to-high	0.0034
GO:GOBP_NEURON_PROJECTION_GUIDANCE	TLS_VISIUM_USZ::KC3	20	440	0.0033	0.692	low-to-high	0.0038
GO:GOBP_NITROGEN_COMPOUND_TRANSPORT	TLS_VISIUM_USZ::KC3	20	440	0.0031	0.713	high-to-low	0.0021
GO:GOBP_NON_CANONICAL_WNT_SIGNALING_PATHWAY	TLS_VISIUM_USZ::KC3	20	440	0.0052	0.519	nonmonotonic	0.0138
GO:GOBP_NOTCH_SIGNALING_PATHWAY	TLS_VISIUM_USZ::KC3	20	440	0.0106	0.198	low-to-high	0.0113
GO:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION	TLS_VISIUM_USZ::KC3	20	440	0.0182	0.0453	high-to-low	0.0109
GO:GOBP_NUCLEAR_EXPORT	TLS_VISIUM_USZ::KC3	20	440	0.0043	0.598	high-to-low	0.0107
GO:GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0127	0.134	flat	0.0204
GO:GOBP_NUCLEAR_TRANSPORT	TLS_VISIUM_USZ::KC3	20	440	0.003	0.727	high-to-low	0.0059
GO:GOBP_NUCLEIC_ACID_CATABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.007	0.384	nonmonotonic	0.0058
GO:GOBP_NUCLEOBASE_CONTAINING_COMPOUND_CATABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0116	0.165	nonmonotonic	0.0104
GO:GOBP_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	TLS_VISIUM_USZ::KC3	20	440	0.0034	0.686	nonmonotonic	0.0081
GO:GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0239	0.0143	high-to-low	0.0118
GO:GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0123	0.143	high-to-low	0.0119
GO:GOBP_NUCLEOSIDE_PHOSPHATE_CATABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0002	0.992	flat	0.0015
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0338	0.00179	high-to-low	0.0395
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0717	4.14e-07	high-to-low	0.0394
GO:GOBP_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0064	0.425	high-to-low	0.0091
GO:GOBP_NUCLEOTIDE_METABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0321	0.0026	high-to-low	0.0152
GO:GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0075	0.351	flat	0.0084
GO:GOBP_ORGANELLE_ASSEMBLY	TLS_VISIUM_USZ::KC3	20	440	0.0108	0.192	nonmonotonic	0.0052
GO:GOBP_ORGANELLE_FISSION	TLS_VISIUM_USZ::KC3	20	440	0.054	2.22e-05	nonmonotonic	0.0148
