program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
GO:GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	TLS_VISIUM_USZ::LC3	27	772	0.0006	0.929	nonmonotonic	0.0024
GO:GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	TLS_VISIUM_USZ::LC3	27	772	0.0003	0.974	nonmonotonic	0.0017
GO:GOBP_AXON_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0022	0.639	nonmonotonic	0.0013
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::LC3	27	772	0.0049	0.287	nonmonotonic	0.0015
GO:GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST	TLS_VISIUM_USZ::LC3	27	772	0.0151	0.00839	nonmonotonic	0.0079
GO:GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	TLS_VISIUM_USZ::LC3	27	772	0.0025	0.584	nonmonotonic	0.0009
GO:GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	TLS_VISIUM_USZ::LC3	27	772	0.0156	0.00723	nonmonotonic	0.0056
GO:GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	TLS_VISIUM_USZ::LC3	27	772	0.0011	0.846	low-to-high	0.0023
GO:GOBP_BLOOD_VESSEL_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0126	0.0209	nonmonotonic	0.0031
GO:GOBP_BONE_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0043	0.349	nonmonotonic	0.0027
GO:GOBP_BONE_MINERALIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0028	0.544	nonmonotonic	0.0029
GO:GOBP_BONE_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0045	0.324	nonmonotonic	0.0036
GO:GOBP_B_CELL_ACTIVATION	TLS_VISIUM_USZ::LC3	27	772	0.0046	0.318	nonmonotonic	0.0024
GO:GOBP_B_CELL_MEDIATED_IMMUNITY	TLS_VISIUM_USZ::LC3	27	772	0.0016	0.75	nonmonotonic	0.0017
