section	patient	focus	focus_size	half_hops	seed	pos_cov	mhc2_pos	b_pos	mhc2_neg_med	b_neg_med	mhc2_hit	b_hit	n_neg
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	3	31	5.0	22	0.327	1.4001	0.5444	1.159	0.3611	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	3	31	5.0	33	0.327	1.4001	0.5444	0.4477	0.2532	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	3	31	8.0	11	0.166	1.2538	0.5179	0.6725	0.2431	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	3	31	8.0	22	0.166	1.2538	0.5179	0.8355	0.278	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	3	31	8.0	33	0.166	1.2538	0.5179	0.6657	0.2944	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	4	11	3.0	11	0.361	0.8397	0.4334	0.2554	0.1881	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	4	11	3.0	22	0.361	0.8397	0.4334	0.8435	0.2929	False	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	4	11	3.0	33	0.361	0.8397	0.4334	0.7446	0.2897	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	4	11	5.0	11	0.255	0.8144	0.4044	0.724	0.2684	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	4	11	5.0	22	0.255	0.8144	0.4044	0.435	0.2657	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	4	11	5.0	33	0.255	0.8144	0.4044	0.3932	0.2497	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	4	11	8.0	11	0.206	0.8626	0.4042	0.4162	0.1984	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	4	11	8.0	22	0.206	0.8626	0.4042	1.111	0.3507	False	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	4	11	8.0	33	0.206	0.8626	0.4042	0.6831	0.2649	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	5	3	3.0	11	0.083	0.6605	0.2897	0.599	0.2924	True	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	5	3	3.0	22	0.083	0.6605	0.2897	0.3012	0.195	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	5	3	3.0	33	0.083	0.6605	0.2897	0.6188	0.2766	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	5	3	5.0	11	0.057	0.6742	0.2799	0.6362	0.2401	True	True	4
