program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.015	0.0851	flat	0.0133
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::KC3	20	440	0.0065	0.413	flat	0.0114
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::KC3	20	440	0.0073	0.363	flat	0.0031
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::LC2	11	514	0.0119	0.107	flat	0.0039
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::LC2	11	514	0.1097	8.29e-13	flat	0.0178
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::LC2	11	514	0.0364	0.000284	flat	0.0108
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::LC2	11	514	0.0225	0.00877	flat	0.0057
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::LC2	11	514	0.0123	0.0969	flat	0.019
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::LC2	11	514	0.0321	0.000837	flat	0.0168
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::LC2	11	514	0.0352	0.00038	flat	0.0169
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::LC2	11	514	0.0084	0.23	flat	0.0089
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::LC2	11	514	0.0519	5.38e-06	flat	0.014
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::LC2	11	514	0.0249	0.00497	flat	0.0186
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC2	11	514	0.0109	0.133	flat	0.0089
