program	cohort	section	patient	baseline	mse_med	n_windows
P-mhc2	ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	nn	0.13974	11
P-mhc2	ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m1	0.04528	11
P-mhc2	ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m2	0.04097	11
P-stress	ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	nn	0.15551	11
P-stress	ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m1	0.05957	11
P-stress	ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	m2	0.06057	11
P-epi	ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	nn	0.09573	11
P-epi	ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m1	0.03562	11
P-epi	ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m2	0.03506	11
P-stromal	ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	nn	0.31839	11
P-stromal	ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m1	0.05666	11
P-stromal	ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m2	0.05481	11
P-plasma	ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	nn	0.07812	11
P-plasma	ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m1	0.00901	11
P-plasma	ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m2	0.00874	11
P-smmhc	ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	nn	0.1832	11
P-smmhc	ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m1	0.04955	11
P-smmhc	ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m2	0.05191	11
P-mhc2	ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	nn	0.19983	11
P-mhc2	ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m1	0.04338	11
P-mhc2	ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m2	0.0455	11
P-stress	ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	nn	0.23079	11
P-stress	ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m1	0.05593	11
P-stress	ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m2	0.05486	11
P-epi	ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	nn	0.38723	12
P-epi	ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m1	0.055	12
P-epi	ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m2	0.05449	12
P-stromal	ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	nn	0.40754	12
P-stromal	ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m1	0.0494	12
P-stromal	ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m2	0.04769	12
P-plasma	ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	nn	0.13123	12
P-plasma	ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m1	0.01248	12
P-plasma	ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m2	0.01233	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	nn	0.25885	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m1	0.05107	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m2	0.051	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	nn	0.23523	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m1	0.03859	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m2	0.03879	12
P-stress	ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	nn	0.16327	12
P-stress	ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m1	0.06424	12
P-stress	ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	m2	0.05932	12
P-epi	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	nn	0.08684	12
P-epi	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m1	0.02396	12
P-epi	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m2	0.02779	12
P-stromal	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	nn	0.26984	12
P-stromal	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m1	0.03771	12
P-stromal	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m2	0.03774	12
P-plasma	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	nn	0.02344	12
P-plasma	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m1	0.00528	12
P-plasma	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m2	0.00528	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	nn	0.12269	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m1	0.05906	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m2	0.05875	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	nn	0.13022	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m1	0.04196	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m2	0.04442	12
P-stress	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	nn	0.0849	12
P-stress	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m1	0.04406	12
P-stress	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m2	0.04356	12
P-epi	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	nn	0.0951	11
P-epi	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m1	0.02453	11
P-epi	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m2	0.02428	11
P-stromal	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	nn	0.57554	11
P-stromal	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m1	0.05009	11
P-stromal	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m2	0.04515	11
P-plasma	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	nn	0.01927	11
P-plasma	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m1	0.00402	11
P-plasma	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m2	0.00404	11
P-smmhc	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	nn	0.20853	11
P-smmhc	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m1	0.05483	11
P-smmhc	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m2	0.0498	11
P-mhc2	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	nn	0.17776	11
P-mhc2	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m1	0.02976	11
P-mhc2	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m2	0.03491	11
P-stress	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	nn	0.11991	11
P-stress	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m1	0.03369	11
P-stress	ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	m2	0.0316	11
P-epi	USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	nn	0.0036	12
P-epi	USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	m1	0.00182	12
P-epi	USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	m2	0.00178	12
P-stromal	USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	nn	0.1244	12
P-stromal	USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	m1	0.03485	12
P-stromal	USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	m2	0.03293	12
P-plasma	USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	nn	0.02398	12
P-plasma	USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	m1	0.00292	12
P-plasma	USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	m2	0.00293	12
P-smmhc	USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	nn	0.05522	12
P-smmhc	USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	m1	0.03331	12
P-smmhc	USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	m2	0.03341	12
P-mhc2	USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	nn	0.04643	12
P-mhc2	USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	m1	0.02281	12
P-mhc2	USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	m2	0.02177	12
P-stress	USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	nn	0.0259	12
P-stress	USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	m1	0.01416	12
P-stress	USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	m2	0.01404	12
P-epi	USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	nn	0.00671	12
P-epi	USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	m1	0.00418	12
P-epi	USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	m2	0.00413	12
P-stromal	USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	nn	0.15305	12
P-stromal	USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	m1	0.04692	12
P-stromal	USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	m2	0.0471	12
P-plasma	USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	nn	0.04752	12
P-plasma	USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	m1	0.00479	12
P-plasma	USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	m2	0.0048	12
P-smmhc	USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	nn	0.1348	12
P-smmhc	USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	m1	0.07138	12
P-smmhc	USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	m2	0.06534	12
P-mhc2	USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	nn	0.07119	12
P-mhc2	USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	m1	0.02614	12
P-mhc2	USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	m2	0.02564	12
P-stress	USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	nn	0.10347	12
P-stress	USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	m1	0.06465	12
P-stress	USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	m2	0.05684	12
P-epi	USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	nn	0.07388	12
P-epi	USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	m1	0.02564	12
P-epi	USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	m2	0.02578	12
P-stromal	USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	nn	0.24611	12
P-stromal	USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	m1	0.04622	12
P-stromal	USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	m2	0.04542	12
P-plasma	USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	nn	0.07192	12
P-plasma	USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	m1	0.00818	12
P-plasma	USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	m2	0.00819	12
P-smmhc	USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	nn	0.10071	12
P-smmhc	USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	m1	0.03929	12
P-smmhc	USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	m2	0.04005	12
P-mhc2	USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	nn	0.08398	12
P-mhc2	USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	m1	0.03116	12
P-mhc2	USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	m2	0.03099	12
P-stress	USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	nn	0.26482	12
P-stress	USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	m1	0.07178	12
P-stress	USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	m2	0.07675	12
P-epi	USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	nn	0.00267	12
P-epi	USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	m1	0.00102	12
P-epi	USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	m2	0.00102	12
P-stromal	USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	nn	0.01323	12
P-stromal	USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	m1	0.00732	12
P-stromal	USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	m2	0.00703	12
P-plasma	USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	nn	0.00908	12
P-plasma	USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	m1	0.00085	12
P-plasma	USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	m2	0.00085	12
P-smmhc	USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	nn	0.0384	12
P-smmhc	USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	m1	0.02082	12
P-smmhc	USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	m2	0.02087	12
P-mhc2	USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	nn	0.00534	12
P-mhc2	USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	m1	0.00208	12
P-mhc2	USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	m2	0.00202	12
P-stress	USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	nn	0.00556	12
P-stress	USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	m1	0.00351	12
P-stress	USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	m2	0.0035	12
P-epi	USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	nn	0.00556	12
P-epi	USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	m1	0.00218	12
P-epi	USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	m2	0.0022	12
P-stromal	USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	nn	0.04778	12
P-stromal	USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	m1	0.02515	12
P-stromal	USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	m2	0.02515	12
P-plasma	USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	nn	0.00313	12
P-plasma	USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	m1	0.00043	12
P-plasma	USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	m2	0.00045	12
P-smmhc	USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	nn	0.03236	12
P-smmhc	USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	m1	0.01923	12
P-smmhc	USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	m2	0.01795	12
P-mhc2	USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	nn	0.02546	12
P-mhc2	USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	m1	0.01265	12
P-mhc2	USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	m2	0.01296	12
P-stress	USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	nn	0.01144	12
P-stress	USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	m1	0.00646	12
P-stress	USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	m2	0.00665	12
P-epi	USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	nn	0.07267	9
P-epi	USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	m1	0.02574	9
P-epi	USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	m2	0.02449	9
P-stromal	USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	nn	0.23306	9
P-stromal	USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	m1	0.03814	9
P-stromal	USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	m2	0.03617	9
P-plasma	USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	nn	0.08823	9
P-plasma	USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	m1	0.00851	9
P-plasma	USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	m2	0.00859	9
P-smmhc	USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	nn	0.12022	9
P-smmhc	USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	m1	0.03788	9
P-smmhc	USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	m2	0.03812	9
P-mhc2	USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	nn	0.23974	9
P-mhc2	USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	m1	0.04548	9
P-mhc2	USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	m2	0.05416	9
P-stress	USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	nn	0.27398	9
P-stress	USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	m1	0.06768	9
P-stress	USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	m2	0.06392	9
P-epi	USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	nn	0.00552	10
P-epi	USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	m1	0.00177	10
P-epi	USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	m2	0.00178	10
P-stromal	USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	nn	0.01573	10
P-stromal	USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	m1	0.01106	10
P-stromal	USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	m2	0.01113	10
