program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::KC3	20	440	0.0034	0.686	flat	0.0057
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0125	0.139	nonmonotonic	0.0221
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::KC3	20	440	0.0051	0.523	nonmonotonic	0.0169
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::KC3	20	440	0.0066	0.412	nonmonotonic	0.0035
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::LC2	11	514	0.1149	1.87e-13	nonmonotonic	0.0505
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::LC2	11	514	0.0674	9.03e-08	nonmonotonic	0.026
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::LC2	11	514	0.0682	7.24e-08	nonmonotonic	0.0313
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::LC2	11	514	0.1238	1.5e-14	nonmonotonic	0.0419
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::LC2	11	514	0.012	0.105	nonmonotonic	0.0516
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::LC2	11	514	0.033	0.000672	nonmonotonic	0.0531
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::LC2	11	514	0.0398	0.000119	nonmonotonic	0.0546
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::LC2	11	514	0.018	0.0259	nonmonotonic	0.0329
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::LC2	11	514	0.0742	1.45e-08	flat	0.058
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::LC2	11	514	0.0254	0.00433	nonmonotonic	0.0546
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC2	11	514	0.0191	0.0198	flat	0.0443
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::LC2	11	514	0.0094	0.186	high-to-low	0.0242
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::LC2	11	514	0.0453	2.95e-05	nonmonotonic	0.0348
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::LC2	11	514	0.0713	3.14e-08	nonmonotonic	0.0576
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::LC2	11	514	0.0948	5.35e-11	flat	0.0532
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::LC2	11	514	0.0153	0.049	flat	0.0136
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::LC2	11	514	0.0063	0.36	nonmonotonic	0.0257
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::LC2	11	514	0.1091	9.66e-13	nonmonotonic	0.0586
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::LC2	11	514	0.0344	0.000472	flat	0.0834
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::LC2	11	514	0.1011	9.14e-12	flat	0.0392
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::LC1	17	579	0.0013	0.857	nonmonotonic	0.001
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::LC1	17	579	0.0027	0.664	nonmonotonic	0.0013
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::LC1	17	579	0.0094	0.142	nonmonotonic	0.0026
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::LC1	17	579	0.0254	0.00197	nonmonotonic	0.0036
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::LC1	17	579	0.0087	0.168	low-to-high	0.0188
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::LC1	17	579	0.0098	0.129	flat	0.0114
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::LC1	17	579	0.0045	0.46	nonmonotonic	0.0051
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::LC1	17	579	0.003	0.632	flat	0.0017
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::LC1	17	579	0.0018	0.797	nonmonotonic	0.0022
