program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::KC3	20	440	0.0027	0.759	nonmonotonic	0.0039
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0159	0.0717	nonmonotonic	0.012
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::KC3	20	440	0.0065	0.417	nonmonotonic	0.0115
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::KC3	20	440	0.0064	0.421	nonmonotonic	0.0025
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::LC2	11	514	0.0519	5.38e-06	nonmonotonic	0.0097
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::LC2	11	514	0.0483	1.35e-05	low-to-high	0.0057
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::LC2	11	514	0.0064	0.348	low-to-high	0.0026
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::LC2	11	514	0.0333	0.000614	nonmonotonic	0.0057
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::LC2	11	514	0.0368	0.000254	nonmonotonic	0.0268
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::LC2	11	514	0.0132	0.0799	nonmonotonic	0.0109
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::LC2	11	514	0.0066	0.34	nonmonotonic	0.0085
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::LC2	11	514	0.0105	0.146	nonmonotonic	0.008
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::LC2	11	514	0.0134	0.0748	nonmonotonic	0.006
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::LC2	11	514	0.025	0.00475	nonmonotonic	0.0182
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC2	11	514	0.054	3.04e-06	nonmonotonic	0.0191
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::LC2	11	514	0.004	0.558	nonmonotonic	0.0044
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::LC2	11	514	0.0182	0.0246	low-to-high	0.0074
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::LC2	11	514	0.0193	0.0192	nonmonotonic	0.0059
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::LC2	11	514	0.0155	0.0466	nonmonotonic	0.0041
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::LC2	11	514	0.014	0.0662	nonmonotonic	0.0056
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::LC2	11	514	0.0058	0.396	nonmonotonic	0.0056
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::LC2	11	514	0.0921	1.1e-10	nonmonotonic	0.023
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::LC2	11	514	0.0118	0.108	flat	0.0135
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::LC2	11	514	0.0161	0.0408	nonmonotonic	0.0043
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::LC1	17	579	0.0058	0.339	high-to-low	0.0016
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::LC1	17	579	0.0019	0.78	nonmonotonic	0.0006
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::LC1	17	579	0.007	0.254	nonmonotonic	0.0016
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::LC1	17	579	0.0219	0.00524	nonmonotonic	0.0023
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::LC1	17	579	0.0073	0.24	low-to-high	0.0099
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::LC1	17	579	0.0089	0.162	flat	0.0076
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::LC1	17	579	0.0017	0.812	low-to-high	0.002
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::LC1	17	579	0.0036	0.558	flat	0.0013
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::LC1	17	579	0.0028	0.651	flat	0.0018
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::LC1	17	579	0.0173	0.0184	nonmonotonic	0.0062
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC1	17	579	0.0033	0.595	low-to-high	0.0044
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::LC1	17	579	0.0037	0.547	high-to-low	0.004
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::LC1	17	579	0.0028	0.651	nonmonotonic	0.0015
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::LC1	17	579	0.0004	0.977	flat	0.0005
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::LC1	17	579	0.0021	0.75	flat	0.0007
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::LC1	17	579	0.0231	0.00375	nonmonotonic	0.0036
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::LC1	17	579	0.0081	0.198	nonmonotonic	0.0063
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::LC1	17	579	0.0021	0.757	nonmonotonic	0.0023
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::LC1	17	579	0.0028	0.653	flat	0.0036
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::LC1	17	579	0.0077	0.216	flat	0.0021
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::KC1	7	1088	0.0005	0.902	nonmonotonic	0.0004
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::KC1	7	1088	0.0027	0.401	nonmonotonic	0.0007
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::KC1	7	1088	0.0074	0.0456	high-to-low	0.0017
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::KC1	7	1088	0.0024	0.449	flat	0.0008
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::KC1	7	1088	0.0023	0.466	flat	0.0046
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::KC1	7	1088	0.0051	0.137	high-to-low	0.0051
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::KC1	7	1088	0.0076	0.0404	nonmonotonic	0.0041
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::KC1	7	1088	0.0086	0.0245	nonmonotonic	0.0027
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::KC1	7	1088	0.0033	0.312	nonmonotonic	0.0019
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::KC1	7	1088	0.0097	0.0143	low-to-high	0.0035
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::KC1	7	1088	0.0046	0.17	flat	0.0064
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::KC1	7	1088	0.0023	0.484	high-to-low	0.0029
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::KC1	7	1088	0.0008	0.838	nonmonotonic	0.0008
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::KC1	7	1088	0.0005	0.897	flat	0.0004
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::KC1	7	1088	0.0019	0.56	nonmonotonic	0.0008
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::KC1	7	1088	0.01	0.0123	nonmonotonic	0.0029
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::KC1	7	1088	0.0034	0.303	nonmonotonic	0.0032
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::KC1	7	1088	0.0025	0.445	high-to-low	0.0028
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::KC1	7	1088	0.0037	0.255	nonmonotonic	0.0045
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::KC1	7	1088	0.0024	0.449	nonmonotonic	0.0008
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::LC5	7	312	0.0596	0.000281	low-to-high	0.0113
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::LC5	7	312	0.002	0.896	low-to-high	0.0012
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::LC5	7	312	0.009	0.427	nonmonotonic	0.0043
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::LC5	7	312	0.0018	0.905	low-to-high	0.0015
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::LC5	7	312	0.004	0.746	nonmonotonic	0.0091
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::LC5	7	312	0.0357	0.0106	nonmonotonic	0.0189
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::LC5	7	312	0.0239	0.0584	low-to-high	0.0149
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::LC5	7	312	0.0007	0.973	nonmonotonic	0.0013
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::LC5	7	312	0.0649	0.000122	low-to-high	0.0221
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::LC5	7	312	0.0232	0.065	nonmonotonic	0.0159
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC5	7	312	0.0156	0.183	low-to-high	0.0193
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::LC5	7	312	0.0231	0.0652	nonmonotonic	0.0103
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::LC5	7	312	0.0175	0.142	nonmonotonic	0.0057
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::LC5	7	312	0.0201	0.0991	low-to-high	0.007
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::LC5	7	312	0.0201	0.0996	low-to-high	0.0062
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::LC5	7	312	0.0035	0.78	nonmonotonic	0.0022
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::LC5	7	312	0.0217	0.0801	low-to-high	0.0198
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::LC5	7	312	0.0233	0.0634	nonmonotonic	0.0168
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::LC5	7	312	0.0206	0.0925	nonmonotonic	0.029
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::LC5	7	312	0.0994	4.53e-07	low-to-high	0.0108
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::KC2	4	481	0.0058	0.425	low-to-high	0.0017
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::KC2	4	481	0.0085	0.254	flat	0.0014
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::KC2	4	481	0.0122	0.118	nonmonotonic	0.0013
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::KC2	4	481	0.0124	0.113	low-to-high	0.0019
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::KC2	4	481	0.0016	0.861	nonmonotonic	0.0038
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::KC2	4	481	0.0022	0.793	nonmonotonic	0.0035
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::KC2	4	481	0.0107	0.163	nonmonotonic	0.0037
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::KC2	4	481	0.0044	0.546	nonmonotonic	0.0011
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::KC2	4	481	0.0345	0.000793	nonmonotonic	0.0026
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::KC2	4	481	0.016	0.0526	high-to-low	0.0061
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::KC2	4	481	0.0392	0.000259	nonmonotonic	0.0137
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::KC2	4	481	0.0076	0.305	low-to-high	0.0054
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::KC2	4	481	0.0078	0.291	nonmonotonic	0.0034
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::KC2	4	481	0.0146	0.0708	nonmonotonic	0.0016
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::KC2	4	481	0.0922	5.15e-10	low-to-high	0.0043
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::KC2	4	481	0.0151	0.0638	nonmonotonic	0.0022
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::KC2	4	481	0.0056	0.446	nonmonotonic	0.0025
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::KC2	4	481	0.013	0.101	nonmonotonic	0.0042
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::KC2	4	481	0.002	0.812	high-to-low	0.0019
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::KC2	4	481	0.0383	0.000326	low-to-high	0.0026
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::LC4	14	257	0.0062	0.663	high-to-low	0.0013
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::LC4	14	257	0.0027	0.876	nonmonotonic	0.0006
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::LC4	14	257	0.016	0.253	nonmonotonic	0.0022
