# r16.field_registry.v1.1 (2026-09-15, D-118 tier1b + D-119 tier2j joint; grades capped at EXPLORATORY_REPRODUCED; CLAIM_CANDIDATE requires separate approval)
pattern_id	tier	kind	axis_name	lineage	n_sections	n_patients	resolution_support	top_markers	geometry	effect_size	null_type	null_draws	null_p	fdr_q	cross_patient_shape_corr	residual_dimension	uncertainty_ci95	evidence_grade	notes
R16P011	2	pattern_group	NA	HTAN_VANDERBILT_CRC	2	1	3/3	FN1;TGFBI;COL1A2;COL1A1;MUC12;AREG;PTPRO;EEF1A1;EEF1G;SLC25A6	NA	0.848	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.50;purity=0.75;best_axis=Stromal(0.38)_UNEXPLAINED
R16P012	2	pattern_group	NA	HTAN_VANDERBILT_CRC	2	1	3/3	LCN2;ID1;FXYD3;CEACAM6;FCGBP;TFF3;IGHA1;IGKC;PIGR;ELF3	NA	0.699	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.17;purity=0.67;best_axis=Plasma(0.64)_explained
R16P013	2	pattern_group	NA	HTAN_VANDERBILT_CRC	3	3	3/3	IGKC;DEPRECATED_ENSG00000211890;IGHA1;FCGBP;IGKV1D-12;SLC26A3;JCHAIN;MUC2;MT2A;CA4	NA	0.874	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	EXPLORATORY_REPRODUCED	stable_frac=0.60;purity=0.75;best_axis=Plasma(1.16)_explained
R16P014	2	pattern_group	NA	HTAN_VANDERBILT_CRC	2	2	3/3	FXYD3;CA2;FABP1;CDHR5;TSPAN1;SLC26A3;KRT8;SLC26A2;KRT20;MALL	NA	0.470	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	EXPLORATORY_REPRODUCED	stable_frac=0.75;purity=0.75;best_axis=Epi(0.36)_UNEXPLAINED
R16P015	2	pattern_group	NA	HTAN_VANDERBILT_CRC	2	2	3/3	IFI27;CEACAM6;UBC;CLDN4;PRAP1;TFF1;MUC13;ELF3;LGALS3BP;CLDN7	NA	0.516	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	EXPLORATORY_REPRODUCED	stable_frac=0.00;purity=0.82;best_axis=Epi(0.41)_UNEXPLAINED
R16P016	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	MYH11;ACTG2;MYL9;TAGLN;DES;MYLK;FLNA;ACTA2;SYNPO2;CNN1	NA	0.718	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.25;purity=0.77;best_axis=Plasma(0.53)_explained
R16P017	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	SLC25A5;HIST1H1E;HIST1H4A;HIST1H1C;TMA7;AREG;RAN;HIST1H4D;HIST1H1B;HIST2H2BF	NA	0.817	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.25;purity=0.79;best_axis=Epi(0.32)_UNEXPLAINED
R16P018	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	SERF1A;FAM153B;TAF11L9;IGKV1D-12;AC084121.13;NRXN1;MORN2;SLC38A11;ELOC;USP17L1	NA	0.687	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.33;purity=0.80;best_axis=Plasma(0.05)_UNEXPLAINED
R16P019	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	SERF1A;FAM153B;TAF11L9;USP17L19;AC084121.13;TAF11L13;USP17L1;TAF11L4;POTEG;ADAM7	NA	0.735	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=1.00;purity=0.95;best_axis=T(-0.01)_UNEXPLAINED
R16P020	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	COL1A2;COL3A1;COL1A1;FN1;SPARC;BGN;ACTA2;IFI6;COL6A3;DCN	NA	0.733	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.00;purity=0.88;best_axis=Stromal(0.73)_explained
