old_group	size	new_group	frac
432	1	260	1.000
433	1	756	1.000
434	3	256	1.000
435	1	253	1.000
436	1	252	1.000
437	3	760	1.000
438	1	770	1.000
439	3	755	1.000
440	3	751	1.000
441	1	752	1.000
442	3	753	1.000
443	1	754	1.000
444	3	344	1.000
445	1	349	1.000
446	3	511	1.000
447	3	504	1.000
448	3	508	1.000
449	3	763	1.000
450	1	764	1.000
451	2	531	1.000
452	4	530	1.000
453	1	766	1.000
454	1	510	1.000
455	1	510	1.000
456	1	515	1.000
457	1	765	1.000
458	1	490	1.000
459	3	191	1.000
460	2	767	1.000
461	4	761	1.000
462	184	762	1.000
463	1	42	1.000
464	1	9	1.000
465	2	45	1.000
466	1	46	1.000
467	3	769	1.000
468	1	767	1.000
469	1	768	1.000
470	3	98	1.000
471	2	100	1.000
472	1	102	1.000
473	3	87	1.000
474	1	90	1.000
475	1	176	1.000
476	1	174	1.000
477	2	61	1.000
478	2	59	0.500
479	3	551	1.000
480	4	356	1.000
481	1	441	1.000
482	1	440	1.000
483	2	352	1.000
484	3	460	1.000
485	4	740	1.000
486	2	728	1.000
487	1	377	1.000
488	2	50	0.500
489	2	336	1.000
490	2	337	1.000
491	1	338	1.000
492	2	266	1.000
493	1	267	1.000
494	1	12	1.000
495	1	5	1.000
496	1	469	1.000
497	3	160	1.000
498	3	15	1.000
499	2	236	1.000
500	1	237	1.000
501	1	239	1.000
502	3	218	1.000
503	1	166	1.000
504	1	167	1.000
505	1	168	1.000
506	1	169	1.000
507	3	434	1.000
508	1	435	1.000
509	2	428	1.000
510	1	429	1.000
511	1	419	1.000
512	1	738	1.000
513	1	363	1.000
514	3	390	1.000
515	1	399	1.000
516	1	403	1.000
517	3	361	1.000
518	1	626	1.000
519	2	380	1.000
520	1	381	1.000
521	4	382	1.000
522	2	383	1.000
523	1	384	1.000
524	1	422	1.000
525	1	416	1.000
526	3	702	1.000
527	1	703	1.000
528	1	705	1.000
529	1	180	1.000
530	2	706	1.000
531	1	707	1.000
532	2	730	1.000
533	2	731	1.000
534	1	732	1.000
535	1	457	1.000
536	3	741	1.000
537	1	430	1.000
538	1	721	1.000
539	3	725	1.000
540	2	536	1.000
541	4	537	1.000
542	4	709	1.000
543	4	717	1.000
544	4	708	1.000
545	4	719	1.000
546	3	710	1.000
547	1	711	1.000
548	4	712	1.000
549	2	715	1.000
550	3	718	1.000
551	1	720	1.000
552	4	713	1.000
553	4	714	1.000
554	2	59	0.500
555	3	726	1.000
556	1	727	1.000
557	1	456	1.000
558	3	354	1.000
559	1	355	1.000
560	2	412	1.000
561	1	413	1.000
562	1	407	1.000
563	1	319	1.000
564	1	318	1.000
565	3	312	1.000
566	1	313	1.000
567	1	309	1.000
568	1	263	1.000
569	1	262	1.000
570	1	264	1.000
571	3	448	1.000
572	1	289	1.000
573	3	138	1.000
574	1	137	1.000
575	3	99	1.000
576	1	100	1.000
577	1	109	1.000
578	3	209	1.000
579	2	211	1.000
580	1	200	1.000
581	3	199	1.000
582	1	197	1.000
583	2	137	1.000
584	3	144	1.000
585	3	64	1.000
586	1	75	1.000
587	3	364	1.000
588	1	369	1.000
589	3	170	1.000
590	1	171	1.000
591	3	423	1.000
592	3	425	1.000
593	1	427	1.000
594	2	94	1.000
595	1	95	1.000
596	3	196	1.000
597	1	198	1.000
598	3	600	1.000
599	3	601	1.000
600	1	602	1.000
601	1	603	1.000
602	3	298	1.000
603	3	610	1.000
604	1	611	1.000
605	1	612	1.000
606	1	613	1.000
607	3	617	1.000
608	4	616	1.000
609	3	618	1.000
610	1	619	1.000
611	1	620	1.000
612	3	623	1.000
613	1	624	1.000
614	1	426	1.000
615	3	621	1.000
616	1	135	1.000
617	3	639	1.000
618	1	640	1.000
619	1	491	1.000
620	3	641	1.000
621	1	642	1.000
622	3	625	1.000
623	3	627	1.000
624	1	628	1.000
625	4	630	1.000
626	2	629	1.000
627	4	637	1.000
628	1	636	1.000
629	1	638	1.000
630	3	631	1.000
631	1	632	1.000
632	4	633	1.000
633	3	634	1.000
634	4	635	1.000
635	1	284	1.000
636	1	225	1.000
637	1	226	1.000
638	1	223	1.000
639	1	224	1.000
640	1	219	1.000
641	1	229	1.000
642	3	181	1.000
643	3	23	1.000
644	1	24	1.000
645	1	26	1.000
646	1	25	1.000
647	1	27	1.000
648	1	22	1.000
649	2	43	1.000
650	1	42	1.000
651	3	82	1.000
652	1	83	1.000
653	1	85	1.000
654	3	280	1.000
655	1	281	1.000
656	1	283	1.000
657	1	284	1.000
658	1	262	1.000
659	3	348	1.000
660	1	350	1.000
661	1	343	1.000
662	2	110	1.000
663	1	111	1.000
664	1	112	1.000
665	3	210	1.000
666	1	212	1.000
667	2	250	1.000
668	1	251	1.000
669	3	103	1.000
670	3	81	1.000
671	2	278	1.000
672	1	274	1.000
673	2	316	1.000
674	2	291	1.000
675	1	290	1.000
676	1	4	1.000
677	4	474	1.000
678	4	371	1.000
679	1	392	1.000
680	1	757	1.000
681	1	758	1.000
682	1	759	1.000
683	3	65	1.000
684	1	67	1.000
685	3	314	1.000
686	1	317	1.000
687	1	316	1.000
688	3	257	1.000
689	1	258	1.000
690	3	133	1.000
691	1	141	1.000
692	3	105	1.000
693	1	101	1.000
694	3	342	1.000
695	1	347	1.000
696	1	341	1.000
697	3	187	1.000
698	4	480	1.000
699	3	582	1.000
700	1	583	1.000
701	3	584	1.000
702	1	585	1.000
703	3	532	1.000
704	1	481	1.000
705	1	514	1.000
706	4	539	1.000
707	4	540	1.000
708	3	556	1.000
709	1	588	1.000
710	1	587	1.000
711	2	201	1.000
712	3	485	1.000
713	2	486	1.000
714	1	487	1.000
715	2	221	1.000
716	1	222	1.000
717	4	501	1.000
718	4	502	1.000
719	4	503	1.000
720	3	636	1.000
721	4	544	1.000
722	2	629	1.000
723	2	765	1.000
724	4	533	1.000
725	4	507	1.000
726	4	498	1.000
727	4	499	1.000
728	4	500	1.000
729	3	505	1.000
730	1	506	1.000
731	2	510	1.000
732	4	509	1.000
733	3	513	1.000
734	4	512	1.000
735	4	534	1.000
736	4	535	1.000
737	3	515	1.000
738	4	516	1.000
739	6	531	1.000
740	4	518	1.000
741	4	519	1.000
742	4	517	1.000
743	4	520	1.000
744	4	521	1.000
745	4	522	1.000
746	4	523	1.000
747	4	524	1.000
748	4	525	1.000
749	4	526	1.000
750	3	527	1.000
751	5	528	1.000
752	9	529	1.000
753	1	511	1.000
754	1	508	1.000
755	1	504	1.000
756	1	489	1.000
757	4	496	1.000
758	4	497	1.000
759	2	490	1.000
760	3	580	1.000
761	4	492	1.000
762	1	206	1.000
763	1	208	1.000
764	1	220	1.000
765	3	228	1.000
766	1	227	1.000
767	2	30	1.000
768	1	40	1.000
769	2	25	1.000
770	2	18	1.000
771	3	16	1.000
772	1	14	1.000
773	1	13	1.000
774	2	139	1.000
775	1	140	1.000
776	1	142	1.000
777	3	143	1.000
778	1	147	1.000
779	2	161	1.000
780	1	164	1.000
781	1	152	1.000
782	3	31	1.000
783	2	304	1.000
784	1	118	1.000
785	1	54	1.000
786	3	86	1.000
787	2	242	1.000
788	1	246	1.000
789	3	80	1.000
790	1	2	1.000
791	3	148	1.000
792	1	149	1.000
793	1	150	1.000
794	2	57	1.000
795	1	58	1.000
796	1	415	1.000
797	1	411	1.000
798	2	414	1.000
799	1	412	1.000
800	1	362	1.000
801	1	370	1.000
802	4	406	1.000
803	2	407	1.000
804	1	736	1.000
805	1	194	1.000
806	1	193	1.000
807	1	335	1.000
808	1	488	1.000
809	1	184	1.000
810	1	230	1.000
811	1	231	1.000
812	1	240	1.000
813	1	400	1.000
814	1	403	1.000
815	1	405	1.000
816	2	416	1.000
817	2	417	1.000
818	3	243	1.000
819	3	476	1.000
820	1	428	1.000
821	1	107	1.000
822	1	106	1.000
823	1	108	1.000
824	2	690	1.000
825	1	293	1.000
826	1	203	1.000
827	1	202	1.000
828	3	680	1.000
829	1	681	1.000
830	1	678	1.000
831	1	644	1.000
832	2	614	1.000
833	1	695	1.000
834	1	692	1.000
835	3	232	1.000
836	1	233	1.000
837	1	234	1.000
838	1	235	1.000
839	1	173	1.000
840	1	254	1.000
841	1	645	1.000
842	1	217	1.000
843	1	241	1.000
844	3	3	1.000
845	1	6	1.000
846	2	13	1.000
847	2	17	1.000
848	1	19	1.000
849	1	20	1.000
850	3	29	1.000
851	1	97	1.000
852	1	56	1.000
853	2	68	1.000
854	1	71	1.000
855	1	74	1.000
856	2	165	1.000
857	1	1	1.000
