duplicate_group_id	member_type	member_id	relation_type	evidence_grade	resolution	leakage_group_id
same_source::GSE274103	study	GEO::GSE274103	same_accession_same_source_lineage	E3_explicit	canonical_geo_study; do_not_count_atlas_separately	lineage::PRJNA1144961
same_source::GSE274103	study	atlas_s2::paad::25fc49fa3903	same_accession_same_source_lineage	E3_explicit	canonical_geo_study; do_not_count_atlas_separately	lineage::PRJNA1144961
same_source::GSE274557	study	GEO::GSE274557	same_accession_same_source_lineage	E3_explicit	canonical_geo_study; do_not_count_atlas_separately	lineage::PRJNA1147209
same_source::GSE274557	study	atlas_s2::paad::37a9a031b038	same_accession_same_source_lineage	E3_explicit	canonical_geo_study; do_not_count_atlas_separately	lineage::PRJNA1147209
same_source::GSE226997	study	GEO::GSE226997	same_accession_same_source_lineage	E3_explicit	canonical_geo_study; do_not_count_atlas_separately	lineage::PRJNA942633
same_source::GSE226997	study	atlas_s2::coad::87c0a055d20d	same_accession_same_source_lineage	E3_explicit	canonical_geo_study; do_not_count_atlas_separately	lineage::PRJNA942633
same_source::GSE211956	study	GEO::GSE211956	same_accession_same_source_lineage	E3_explicit	canonical_geo_study; do_not_count_atlas_separately	lineage::PRJNA873051
same_source::GSE211956	study	atlas_s2::ovca::1096a62ee6fb	same_accession_same_source_lineage	E3_explicit	canonical_geo_study; do_not_count_atlas_separately	lineage::PRJNA873051
