evidence_id	entity_type	entity_id	field	source_asset	metadata_path	metadata_key	raw_value	normalized_value	evidence_grade	interpretation	conflict_flag
external_geo::GSM8452870::patient	physical_unit	external_geo::GSM8452870	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-7D	GSE274557::P7	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452870::physical_specimen	physical_unit	external_geo::GSM8452870	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154192	SAMN43154192	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452870::block_unknown	physical_unit	external_geo::GSM8452870	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452871::patient	physical_unit	external_geo::GSM8452871	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-8A	GSE274557::P8	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452871::physical_specimen	physical_unit	external_geo::GSM8452871	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154191	SAMN43154191	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452871::block_unknown	physical_unit	external_geo::GSM8452871	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452872::patient	physical_unit	external_geo::GSM8452872	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-8B	GSE274557::P8	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452872::physical_specimen	physical_unit	external_geo::GSM8452872	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154190	SAMN43154190	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452872::block_unknown	physical_unit	external_geo::GSM8452872	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452873::patient	physical_unit	external_geo::GSM8452873	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-8C	GSE274557::P8	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452873::physical_specimen	physical_unit	external_geo::GSM8452873	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154189	SAMN43154189	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452873::block_unknown	physical_unit	external_geo::GSM8452873	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452874::patient	physical_unit	external_geo::GSM8452874	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-8D	GSE274557::P8	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452874::physical_specimen	physical_unit	external_geo::GSM8452874	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154188	SAMN43154188	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452874::block_unknown	physical_unit	external_geo::GSM8452874	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452875::patient	physical_unit	external_geo::GSM8452875	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-9A	GSE274557::P9	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452875::physical_specimen	physical_unit	external_geo::GSM8452875	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154187	SAMN43154187	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452875::block_unknown	physical_unit	external_geo::GSM8452875	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452876::patient	physical_unit	external_geo::GSM8452876	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-9B	GSE274557::P9	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452876::physical_specimen	physical_unit	external_geo::GSM8452876	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154186	SAMN43154186	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452876::block_unknown	physical_unit	external_geo::GSM8452876	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452877::patient	physical_unit	external_geo::GSM8452877	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-9C	GSE274557::P9	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452877::physical_specimen	physical_unit	external_geo::GSM8452877	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154185	SAMN43154185	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452877::block_unknown	physical_unit	external_geo::GSM8452877	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452878::patient	physical_unit	external_geo::GSM8452878	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-9D	GSE274557::P9	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452878::physical_specimen	physical_unit	external_geo::GSM8452878	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154184	SAMN43154184	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452878::block_unknown	physical_unit	external_geo::GSM8452878	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452879::patient	physical_unit	external_geo::GSM8452879	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-10A	GSE274557::P10	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452879::physical_specimen	physical_unit	external_geo::GSM8452879	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154183	SAMN43154183	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452879::block_unknown	physical_unit	external_geo::GSM8452879	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452880::patient	physical_unit	external_geo::GSM8452880	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-10B	GSE274557::P10	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452880::physical_specimen	physical_unit	external_geo::GSM8452880	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154182	SAMN43154182	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452880::block_unknown	physical_unit	external_geo::GSM8452880	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452881::patient	physical_unit	external_geo::GSM8452881	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-10C	GSE274557::P10	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452881::physical_specimen	physical_unit	external_geo::GSM8452881	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154181	SAMN43154181	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452881::block_unknown	physical_unit	external_geo::GSM8452881	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452882::patient	physical_unit	external_geo::GSM8452882	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-10D	GSE274557::P10	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452882::physical_specimen	physical_unit	external_geo::GSM8452882	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154180	SAMN43154180	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452882::block_unknown	physical_unit	external_geo::GSM8452882	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452883::patient	physical_unit	external_geo::GSM8452883	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-11A	GSE274557::P11	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452883::physical_specimen	physical_unit	external_geo::GSM8452883	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154179	SAMN43154179	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452883::block_unknown	physical_unit	external_geo::GSM8452883	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452884::patient	physical_unit	external_geo::GSM8452884	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-11B	GSE274557::P11	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452884::physical_specimen	physical_unit	external_geo::GSM8452884	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154178	SAMN43154178	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452884::block_unknown	physical_unit	external_geo::GSM8452884	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452885::patient	physical_unit	external_geo::GSM8452885	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-11C	GSE274557::P11	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452885::physical_specimen	physical_unit	external_geo::GSM8452885	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154177	SAMN43154177	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452885::block_unknown	physical_unit	external_geo::GSM8452885	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452886::patient	physical_unit	external_geo::GSM8452886	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-11D	GSE274557::P11	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452886::physical_specimen	physical_unit	external_geo::GSM8452886	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154176	SAMN43154176	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452886::block_unknown	physical_unit	external_geo::GSM8452886	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452887::patient	physical_unit	external_geo::GSM8452887	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-12A	GSE274557::P12	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452887::physical_specimen	physical_unit	external_geo::GSM8452887	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154175	SAMN43154175	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452887::block_unknown	physical_unit	external_geo::GSM8452887	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452888::patient	physical_unit	external_geo::GSM8452888	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-12B	GSE274557::P12	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452888::physical_specimen	physical_unit	external_geo::GSM8452888	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154174	SAMN43154174	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452888::block_unknown	physical_unit	external_geo::GSM8452888	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452889::patient	physical_unit	external_geo::GSM8452889	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-12C	GSE274557::P12	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452889::physical_specimen	physical_unit	external_geo::GSM8452889	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154173	SAMN43154173	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452889::block_unknown	physical_unit	external_geo::GSM8452889	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452890::patient	physical_unit	external_geo::GSM8452890	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-12D	GSE274557::P12	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452890::physical_specimen	physical_unit	external_geo::GSM8452890	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154172	SAMN43154172	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452890::block_unknown	physical_unit	external_geo::GSM8452890	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452891::patient	physical_unit	external_geo::GSM8452891	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-13A	GSE274557::P13	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452891::physical_specimen	physical_unit	external_geo::GSM8452891	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154171	SAMN43154171	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452891::block_unknown	physical_unit	external_geo::GSM8452891	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452892::patient	physical_unit	external_geo::GSM8452892	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-13B	GSE274557::P13	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452892::physical_specimen	physical_unit	external_geo::GSM8452892	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154170	SAMN43154170	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452892::block_unknown	physical_unit	external_geo::GSM8452892	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452893::patient	physical_unit	external_geo::GSM8452893	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-13C	GSE274557::P13	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452893::physical_specimen	physical_unit	external_geo::GSM8452893	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154169	SAMN43154169	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452893::block_unknown	physical_unit	external_geo::GSM8452893	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452894::patient	physical_unit	external_geo::GSM8452894	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-13D	GSE274557::P13	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452894::physical_specimen	physical_unit	external_geo::GSM8452894	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154168	SAMN43154168	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452894::block_unknown	physical_unit	external_geo::GSM8452894	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452895::patient	physical_unit	external_geo::GSM8452895	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-13E	GSE274557::P13	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452895::physical_specimen	physical_unit	external_geo::GSM8452895	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154167	SAMN43154167	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452895::block_unknown	physical_unit	external_geo::GSM8452895	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8714177::patient	physical_unit	external_geo::GSM8714177	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-3_Pri2	GSE274557::P3	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8714177::physical_specimen	physical_unit	external_geo::GSM8714177	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN46116048	SAMN46116048	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8714177::block_unknown	physical_unit	external_geo::GSM8714177	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8714178::patient	physical_unit	external_geo::GSM8714178	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-6_Pri2	GSE274557::P6	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8714178::physical_specimen	physical_unit	external_geo::GSM8714178	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN46116047	SAMN46116047	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8714178::block_unknown	physical_unit	external_geo::GSM8714178	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8714179::patient	physical_unit	external_geo::GSM8714179	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-6_Pri3	GSE274557::P6	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8714179::physical_specimen	physical_unit	external_geo::GSM8714179	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN46116046	SAMN46116046	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8714179::block_unknown	physical_unit	external_geo::GSM8714179	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8714180::patient	physical_unit	external_geo::GSM8714180	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-8_Pri2	GSE274557::P8	E2_corroborated	official metadata patient-to-GSM mapping	false
