asset_id	source_namespace	accession	source_sample_id	path	asset_type	format	bytes	checksum_status	checksum	processing_level	parent_asset_id	record_status
HTAN::7794_AS_2_filtered_trimmed_WD33468.h5ad	HTAN_VANDERBILT_CRC		7794_AS_2	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/7794_AS_2_filtered_trimmed_WD33468.h5ad	processed_expression_container	h5ad	466517147	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::7794_AS_2_filtered_trimmed_WD33475.h5ad	HTAN_VANDERBILT_CRC		7794_AS_2	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/7794_AS_2_filtered_trimmed_WD33475.h5ad	processed_expression_container	h5ad	464208846	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::7794_AS_3_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		7794_AS_3	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/7794_AS_3_filtered_trimmed.h5ad	processed_expression_container	h5ad	119067541	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::7794_AS_4_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC			data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/7794_AS_4_filtered_trimmed.h5ad	processed_expression_container	h5ad	73036209	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	LOCAL_ONLY
HTAN::8270_AS_10_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8270_AS_10	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_10_filtered_trimmed.h5ad	processed_expression_container	h5ad	111585467	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8270_AS_11_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8270_AS_11	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_11_filtered_trimmed.h5ad	processed_expression_container	h5ad	132729692	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8270_AS_12_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8270_AS_12	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_12_filtered_trimmed.h5ad	processed_expression_container	h5ad	110435403	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8270_AS_1_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8270_AS_1	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_1_filtered_trimmed.h5ad	processed_expression_container	h5ad	475218338	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8270_AS_2_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8270_AS_2	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_2_filtered_trimmed.h5ad	processed_expression_container	h5ad	477695836	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
HTAN::8270_AS_3_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC		8270_AS_3	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_3_filtered_trimmed.h5ad	processed_expression_container	h5ad	494441206	NOT_COMPUTED_LARGE_ASSET		processed	META::upstream_crc_cohort_metadata	MATCHED
