stem	draw	accepted	frac_within_tol	unique_src_frac	dup_rate	moran_obs	moran_sur	moran_ratio
0011_HTAN_8899_AS_7_filt	1	True	0.712	0.719	0.281	0.209	0.283	1.358
0011_HTAN_8899_AS_7_filt	2	True	0.7	0.716	0.284	0.209	0.284	1.36
0011_HTAN_8899_AS_7_filt	3	True	0.727	0.737	0.263	0.209	0.274	1.314
0011_HTAN_8899_AS_7_filt	4	True	0.713	0.727	0.273	0.209	0.269	1.289
0011_HTAN_8899_AS_7_filt	5	True	0.701	0.701	0.299	0.209	0.323	1.55
0011_HTAN_8899_AS_7_filt	6	True	0.704	0.716	0.284	0.209	0.239	1.146
0011_HTAN_8899_AS_7_filt	7	True	0.762	0.771	0.229	0.209	0.245	1.176
0011_HTAN_8899_AS_7_filt	8	True	0.753	0.763	0.237	0.209	0.251	1.204
0011_HTAN_8899_AS_7_filt	9	True	0.704	0.712	0.288	0.209	0.235	1.127
0011_HTAN_8899_AS_7_filt	10	True	0.726	0.733	0.267	0.209	0.275	1.319
0011_HTAN_8899_AS_7_filt	11	True	0.741	0.753	0.247	0.209	0.251	1.204
0011_HTAN_8899_AS_7_filt	12	True	0.713	0.725	0.275	0.209	0.248	1.188
0011_HTAN_8899_AS_7_filt	13	True	0.706	0.707	0.293	0.209	0.316	1.514
0011_HTAN_8899_AS_7_filt	14	True	0.715	0.724	0.276	0.209	0.279	1.338
0011_HTAN_8899_AS_7_filt	15	True	0.706	0.72	0.28	0.209	0.283	1.358
0011_HTAN_8899_AS_7_filt	16	True	0.743	0.751	0.249	0.209	0.234	1.123
0011_HTAN_8899_AS_7_filt	17	True	0.715	0.725	0.275	0.209	0.273	1.306
0011_HTAN_8899_AS_7_filt	18	True	0.72	0.734	0.266	0.209	0.262	1.255
0011_HTAN_8899_AS_7_filt	19	True	0.701	0.701	0.299	0.209	0.324	1.552
0011_HTAN_8899_AS_7_filt	20	True	0.701	0.714	0.286	0.209	0.25	1.2
0011_HTAN_8899_AS_7_filt	21	True	0.741	0.754	0.246	0.209	0.252	1.207
0011_HTAN_8899_AS_7_filt	22	True	0.701	0.714	0.286	0.209	0.249	1.195
0011_HTAN_8899_AS_7_filt	23	True	0.715	0.724	0.276	0.209	0.226	1.082
0011_HTAN_8899_AS_7_filt	24	True	0.734	0.744	0.256	0.209	0.247	1.184
0011_HTAN_8899_AS_7_filt	25	True	0.726	0.74	0.26	0.209	0.268	1.284
0011_HTAN_8899_AS_7_filt	26	True	0.741	0.753	0.247	0.209	0.251	1.205
0011_HTAN_8899_AS_7_filt	27	True	0.747	0.757	0.243	0.209	0.257	1.23
0011_HTAN_8899_AS_7_filt	28	True	0.743	0.751	0.249	0.209	0.241	1.154
0011_HTAN_8899_AS_7_filt	29	True	0.701	0.702	0.298	0.209	0.322	1.543
0011_HTAN_8899_AS_7_filt	30	True	0.739	0.781	0.219	0.209	0.244	1.171
0011_HTAN_8899_AS_7_filt	31	True	0.72	0.734	0.266	0.209	0.272	1.303
0011_HTAN_8899_AS_7_filt	32	True	0.754	0.765	0.235	0.209	0.248	1.188
0011_HTAN_8899_AS_7_filt	33	True	0.702	0.704	0.296	0.209	0.327	1.569
0011_HTAN_8899_AS_7_filt	34	True	0.701	0.714	0.286	0.209	0.255	1.224
0011_HTAN_8899_AS_7_filt	35	True	0.715	0.724	0.276	0.209	0.275	1.317
0011_HTAN_8899_AS_7_filt	36	True	0.744	0.754	0.246	0.209	0.248	1.19
0011_HTAN_8899_AS_7_filt	37	True	0.715	0.724	0.276	0.209	0.234	1.121
0011_HTAN_8899_AS_7_filt	38	True	0.71	0.723	0.277	0.209	0.261	1.252
0011_HTAN_8899_AS_7_filt	39	True	0.704	0.712	0.288	0.209	0.24	1.151
0011_HTAN_8899_AS_7_filt	40	True	0.747	0.757	0.243	0.209	0.251	1.202
0011_HTAN_8899_AS_7_filt	41	True	0.718	0.731	0.269	0.209	0.268	1.284
0011_HTAN_8899_AS_7_filt	42	True	0.702	0.704	0.296	0.209	0.328	1.57
0011_HTAN_8899_AS_7_filt	43	True	0.733	0.741	0.259	0.209	0.224	1.075
0011_HTAN_8899_AS_7_filt	44	True	0.753	0.761	0.239	0.209	0.263	1.263
0011_HTAN_8899_AS_7_filt	45	True	0.725	0.735	0.265	0.209	0.237	1.135
0011_HTAN_8899_AS_7_filt	46	True	0.701	0.711	0.289	0.209	0.275	1.318
0011_HTAN_8899_AS_7_filt	47	True	0.702	0.704	0.296	0.209	0.325	1.56
0011_HTAN_8899_AS_7_filt	48	True	0.725	0.734	0.266	0.209	0.238	1.141
0011_HTAN_8899_AS_7_filt	49	True	0.709	0.722	0.278	0.209	0.268	1.286
0011_HTAN_8899_AS_7_filt	50	True	0.704	0.704	0.296	0.209	0.324	1.552
0011_HTAN_8899_AS_7_filt	51	True	0.706	0.707	0.293	0.209	0.318	1.525
0011_HTAN_8899_AS_7_filt	52	True	0.702	0.704	0.296	0.209	0.332	1.591
0011_HTAN_8899_AS_7_filt	53	True	0.713	0.724	0.276	0.209	0.249	1.193
0011_HTAN_8899_AS_7_filt	54	True	0.725	0.734	0.266	0.209	0.232	1.111
0011_HTAN_8899_AS_7_filt	55	True	0.702	0.704	0.296	0.209	0.334	1.6
0011_HTAN_8899_AS_7_filt	56	True	0.702	0.704	0.296	0.209	0.325	1.556
0011_HTAN_8899_AS_7_filt	57	True	0.722	0.734	0.266	0.209	0.257	1.232
0011_HTAN_8899_AS_7_filt	58	True	0.727	0.738	0.262	0.209	0.27	1.293
0011_HTAN_8899_AS_7_filt	59	True	0.701	0.702	0.298	0.209	0.316	1.515
0011_HTAN_8899_AS_7_filt	60	True	0.702	0.704	0.296	0.209	0.332	1.593
0011_HTAN_8899_AS_7_filt	61	True	0.706	0.72	0.28	0.209	0.285	1.365
0011_HTAN_8899_AS_7_filt	62	True	0.706	0.72	0.28	0.209	0.282	1.353
0011_HTAN_8899_AS_7_filt	63	True	0.713	0.725	0.275	0.209	0.248	1.187
0011_HTAN_8899_AS_7_filt	64	True	0.701	0.714	0.286	0.209	0.249	1.194
0011_HTAN_8899_AS_7_filt	65	True	0.707	0.722	0.278	0.209	0.272	1.306
0011_HTAN_8899_AS_7_filt	66	True	0.701	0.702	0.298	0.209	0.327	1.566
0011_HTAN_8899_AS_7_filt	67	True	0.706	0.707	0.293	0.209	0.321	1.538
0011_HTAN_8899_AS_7_filt	68	True	0.734	0.745	0.255	0.209	0.244	1.172
0011_HTAN_8899_AS_7_filt	69	True	0.706	0.715	0.285	0.209	0.229	1.099
0011_HTAN_8899_AS_7_filt	70	True	0.701	0.702	0.298	0.209	0.321	1.538
0011_HTAN_8899_AS_7_filt	71	True	0.706	0.72	0.28	0.209	0.276	1.323
0011_HTAN_8899_AS_7_filt	72	True	0.706	0.72	0.28	0.209	0.281	1.346
0011_HTAN_8899_AS_7_filt	73	True	0.704	0.715	0.285	0.209	0.237	1.135
0011_HTAN_8899_AS_7_filt	74	True	0.702	0.704	0.296	0.209	0.336	1.612
0011_HTAN_8899_AS_7_filt	75	True	0.704	0.704	0.296	0.209	0.33	1.583
0011_HTAN_8899_AS_7_filt	76	True	0.719	0.733	0.267	0.209	0.265	1.27
0011_HTAN_8899_AS_7_filt	77	True	0.701	0.702	0.298	0.209	0.313	1.499
0011_HTAN_8899_AS_7_filt	78	True	0.743	0.751	0.249	0.209	0.239	1.146
0011_HTAN_8899_AS_7_filt	79	True	0.72	0.734	0.266	0.209	0.265	1.271
0011_HTAN_8899_AS_7_filt	80	True	0.724	0.731	0.269	0.209	0.225	1.08
0011_HTAN_8899_AS_7_filt	81	True	0.725	0.734	0.266	0.209	0.232	1.114
0011_HTAN_8899_AS_7_filt	82	True	0.744	0.754	0.246	0.209	0.246	1.177
0011_HTAN_8899_AS_7_filt	83	True	0.7	0.716	0.284	0.209	0.282	1.352
0011_HTAN_8899_AS_7_filt	84	True	0.709	0.723	0.277	0.209	0.273	1.31
0011_HTAN_8899_AS_7_filt	85	True	0.706	0.707	0.293	0.209	0.319	1.53
0011_HTAN_8899_AS_7_filt	86	True	0.731	0.744	0.256	0.209	0.258	1.239
0011_HTAN_8899_AS_7_filt	87	True	0.701	0.711	0.289	0.209	0.281	1.348
0011_HTAN_8899_AS_7_filt	88	True	0.734	0.744	0.256	0.209	0.248	1.188
0011_HTAN_8899_AS_7_filt	89	True	0.704	0.715	0.285	0.209	0.239	1.144
0011_HTAN_8899_AS_7_filt	90	True	0.714	0.722	0.278	0.209	0.223	1.067
0011_HTAN_8899_AS_7_filt	91	True	0.713	0.727	0.273	0.209	0.274	1.314
0011_HTAN_8899_AS_7_filt	92	True	0.741	0.754	0.246	0.209	0.255	1.223
0011_HTAN_8899_AS_7_filt	93	True	0.701	0.703	0.297	0.209	0.36	1.725
0011_HTAN_8899_AS_7_filt	94	True	0.7	0.718	0.282	0.209	0.286	1.372
0011_HTAN_8899_AS_7_filt	95	True	0.702	0.704	0.296	0.209	0.324	1.552
0011_HTAN_8899_AS_7_filt	96	True	0.722	0.735	0.265	0.209	0.256	1.226
0011_HTAN_8899_AS_7_filt	97	True	0.719	0.733	0.267	0.209	0.265	1.269
0011_HTAN_8899_AS_7_filt	98	True	0.741	0.753	0.247	0.209	0.251	1.204
0011_HTAN_8899_AS_7_filt	99	True	0.744	0.753	0.247	0.209	0.255	1.224
0011_HTAN_8899_AS_7_filt	100	True	0.744	0.754	0.246	0.209	0.247	1.184
0011_HTAN_8899_AS_7_filt	101	True	0.734	0.746	0.254	0.209	0.256	1.229
0011_HTAN_8899_AS_7_filt	102	True	0.726	0.733	0.267	0.209	0.278	1.331
0011_HTAN_8899_AS_7_filt	103	True	0.72	0.734	0.266	0.209	0.272	1.303
0011_HTAN_8899_AS_7_filt	104	True	0.704	0.704	0.296	0.209	0.321	1.538
0011_HTAN_8899_AS_7_filt	105	True	0.738	0.749	0.251	0.209	0.265	1.269
0011_HTAN_8899_AS_7_filt	106	True	0.706	0.72	0.28	0.209	0.287	1.377
0011_HTAN_8899_AS_7_filt	107	True	0.718	0.731	0.269	0.209	0.271	1.3
0011_HTAN_8899_AS_7_filt	108	True	0.754	0.765	0.235	0.209	0.253	1.212
0011_HTAN_8899_AS_7_filt	109	True	0.706	0.707	0.293	0.209	0.317	1.519
0011_HTAN_8899_AS_7_filt	110	True	0.715	0.724	0.276	0.209	0.269	1.288
0011_HTAN_8899_AS_7_filt	111	True	0.754	0.765	0.235	0.209	0.25	1.198
0011_HTAN_8899_AS_7_filt	112	True	0.702	0.704	0.296	0.209	0.327	1.565
0011_HTAN_8899_AS_7_filt	113	True	0.731	0.744	0.256	0.209	0.252	1.207
0011_HTAN_8899_AS_7_filt	114	True	0.754	0.765	0.235	0.209	0.25	1.201
0011_HTAN_8899_AS_7_filt	115	True	0.734	0.744	0.256	0.209	0.244	1.171
0011_HTAN_8899_AS_7_filt	116	True	0.731	0.744	0.256	0.209	0.253	1.214
0011_HTAN_8899_AS_7_filt	117	True	0.733	0.741	0.259	0.209	0.233	1.119
0011_HTAN_8899_AS_7_filt	118	True	0.754	0.765	0.235	0.209	0.248	1.19
0011_HTAN_8899_AS_7_filt	119	True	0.701	0.702	0.298	0.209	0.312	1.497
0011_HTAN_8899_AS_7_filt	120	True	0.72	0.734	0.266	0.209	0.281	1.346
0011_HTAN_8899_AS_7_filt	121	True	0.743	0.751	0.249	0.209	0.241	1.154
0011_HTAN_8899_AS_7_filt	122	True	0.744	0.753	0.247	0.209	0.25	1.198
0011_HTAN_8899_AS_7_filt	123	True	0.731	0.743	0.257	0.209	0.248	1.187
0011_HTAN_8899_AS_7_filt	124	True	0.701	0.703	0.297	0.209	0.361	1.729
0011_HTAN_8899_AS_7_filt	125	True	0.753	0.761	0.239	0.209	0.263	1.26
0011_HTAN_8899_AS_7_filt	126	True	0.714	0.722	0.278	0.209	0.227	1.087
0011_HTAN_8899_AS_7_filt	127	True	0.704	0.706	0.294	0.209	0.319	1.527
0011_HTAN_8899_AS_7_filt	128	True	0.727	0.737	0.263	0.209	0.272	1.304
0011_HTAN_8899_AS_7_filt	129	True	0.724	0.731	0.269	0.209	0.232	1.111
0011_HTAN_8899_AS_7_filt	130	True	0.715	0.724	0.276	0.209	0.234	1.12
0011_HTAN_8899_AS_7_filt	131	True	0.71	0.725	0.275	0.209	0.274	1.312
0011_HTAN_8899_AS_7_filt	132	True	0.764	0.772	0.228	0.209	0.254	1.218
0011_HTAN_8899_AS_7_filt	133	True	0.706	0.707	0.293	0.209	0.317	1.519
0011_HTAN_8899_AS_7_filt	134	True	0.734	0.744	0.256	0.209	0.247	1.184
0011_HTAN_8899_AS_7_filt	135	True	0.738	0.749	0.251	0.209	0.26	1.249
0011_HTAN_8899_AS_7_filt	136	True	0.727	0.739	0.261	0.209	0.268	1.286
0011_HTAN_8899_AS_7_filt	137	True	0.715	0.725	0.275	0.209	0.276	1.321
0011_HTAN_8899_AS_7_filt	138	True	0.706	0.72	0.28	0.209	0.271	1.297
0011_HTAN_8899_AS_7_filt	139	True	0.734	0.746	0.254	0.209	0.252	1.207
0011_HTAN_8899_AS_7_filt	140	True	0.754	0.764	0.236	0.209	0.255	1.22
0011_HTAN_8899_AS_7_filt	141	True	0.747	0.757	0.243	0.209	0.252	1.208
0011_HTAN_8899_AS_7_filt	142	True	0.701	0.714	0.286	0.209	0.254	1.217
0011_HTAN_8899_AS_7_filt	143	True	0.712	0.719	0.281	0.209	0.282	1.352
0011_HTAN_8899_AS_7_filt	144	True	0.72	0.734	0.266	0.209	0.264	1.267
0011_HTAN_8899_AS_7_filt	145	True	0.707	0.723	0.277	0.209	0.276	1.321
0011_HTAN_8899_AS_7_filt	146	True	0.701	0.711	0.289	0.209	0.279	1.338
0011_HTAN_8899_AS_7_filt	147	True	0.738	0.749	0.251	0.209	0.268	1.283
0011_HTAN_8899_AS_7_filt	148	True	0.709	0.722	0.278	0.209	0.273	1.308
0011_HTAN_8899_AS_7_filt	149	True	0.741	0.753	0.247	0.209	0.256	1.225
0011_HTAN_8899_AS_7_filt	150	True	0.709	0.723	0.277	0.209	0.277	1.328
0011_HTAN_8899_AS_7_filt	151	True	0.734	0.746	0.254	0.209	0.256	1.226
0011_HTAN_8899_AS_7_filt	152	True	0.753	0.763	0.237	0.209	0.248	1.19
0011_HTAN_8899_AS_7_filt	153	True	0.706	0.707	0.293	0.209	0.315	1.51
0011_HTAN_8899_AS_7_filt	154	True	0.704	0.712	0.288	0.209	0.237	1.135
0011_HTAN_8899_AS_7_filt	155	True	0.754	0.765	0.235	0.209	0.252	1.207
0011_HTAN_8899_AS_7_filt	156	True	0.709	0.723	0.277	0.209	0.273	1.306
0011_HTAN_8899_AS_7_filt	157	True	0.701	0.702	0.298	0.209	0.325	1.556
0011_HTAN_8899_AS_7_filt	158	True	0.753	0.76	0.24	0.209	0.25	1.198
0011_HTAN_8899_AS_7_filt	159	True	0.701	0.716	0.284	0.209	0.26	1.246
0011_HTAN_8899_AS_7_filt	160	True	0.709	0.723	0.277	0.209	0.278	1.334
0011_HTAN_8899_AS_7_filt	161	True	0.701	0.71	0.29	0.209	0.274	1.313
0011_HTAN_8899_AS_7_filt	162	True	0.704	0.706	0.294	0.209	0.322	1.546
0011_HTAN_8899_AS_7_filt	163	True	0.702	0.704	0.296	0.209	0.332	1.59
0011_HTAN_8899_AS_7_filt	164	True	0.701	0.702	0.298	0.209	0.312	1.497
0011_HTAN_8899_AS_7_filt	165	True	0.733	0.741	0.259	0.209	0.23	1.102
0011_HTAN_8899_AS_7_filt	166	True	0.714	0.722	0.278	0.209	0.228	1.092
0011_HTAN_8899_AS_7_filt	167	True	0.713	0.727	0.273	0.209	0.274	1.315
0011_HTAN_8899_AS_7_filt	168	True	0.701	0.701	0.299	0.209	0.321	1.541
0011_HTAN_8899_AS_7_filt	169	True	0.704	0.704	0.296	0.209	0.315	1.511
0011_HTAN_8899_AS_7_filt	170	True	0.706	0.72	0.28	0.209	0.282	1.35
0011_HTAN_8899_AS_7_filt	171	True	0.7	0.718	0.282	0.209	0.285	1.366
0011_HTAN_8899_AS_7_filt	172	True	0.764	0.772	0.228	0.209	0.249	1.192
0011_HTAN_8899_AS_7_filt	173	True	0.712	0.719	0.281	0.209	0.278	1.335
0011_HTAN_8899_AS_7_filt	174	True	0.701	0.702	0.298	0.209	0.314	1.505
0011_HTAN_8899_AS_7_filt	175	True	0.701	0.703	0.297	0.209	0.357	1.713
0011_HTAN_8899_AS_7_filt	176	True	0.706	0.707	0.293	0.209	0.313	1.502
0011_HTAN_8899_AS_7_filt	177	True	0.722	0.735	0.265	0.209	0.255	1.221
0011_HTAN_8899_AS_7_filt	178	True	0.713	0.727	0.273	0.209	0.276	1.322
0011_HTAN_8899_AS_7_filt	179	True	0.704	0.716	0.284	0.209	0.239	1.148
0011_HTAN_8899_AS_7_filt	180	True	0.753	0.761	0.239	0.209	0.264	1.267
0011_HTAN_8899_AS_7_filt	181	True	0.715	0.724	0.276	0.209	0.227	1.089
0011_HTAN_8899_AS_7_filt	182	True	0.715	0.724	0.276	0.209	0.227	1.088
0011_HTAN_8899_AS_7_filt	183	True	0.715	0.724	0.276	0.209	0.272	1.304
0011_HTAN_8899_AS_7_filt	184	True	0.762	0.77	0.23	0.209	0.246	1.181
0011_HTAN_8899_AS_7_filt	185	True	0.704	0.704	0.296	0.209	0.324	1.554
0011_HTAN_8899_AS_7_filt	186	True	0.706	0.707	0.293	0.209	0.322	1.542
0011_HTAN_8899_AS_7_filt	187	True	0.709	0.722	0.278	0.209	0.269	1.291
0011_HTAN_8899_AS_7_filt	188	True	0.738	0.749	0.251	0.209	0.264	1.264
0011_HTAN_8899_AS_7_filt	189	True	0.719	0.732	0.268	0.209	0.265	1.27
0011_HTAN_8899_AS_7_filt	190	True	0.701	0.702	0.298	0.209	0.339	1.627
0011_HTAN_8899_AS_7_filt	191	True	0.719	0.733	0.267	0.209	0.264	1.264
0011_HTAN_8899_AS_7_filt	192	True	0.734	0.744	0.256	0.209	0.242	1.161
0011_HTAN_8899_AS_7_filt	193	True	0.715	0.724	0.276	0.209	0.232	1.113
0011_HTAN_8899_AS_7_filt	194	True	0.7	0.718	0.282	0.209	0.285	1.368
0011_HTAN_8899_AS_7_filt	195	True	0.72	0.734	0.266	0.209	0.264	1.265
0011_HTAN_8899_AS_7_filt	196	True	0.7	0.701	0.299	0.209	0.323	1.55
0011_HTAN_8899_AS_7_filt	197	True	0.701	0.711	0.289	0.209	0.282	1.35
0011_HTAN_8899_AS_7_filt	198	True	0.706	0.707	0.293	0.209	0.316	1.514
0003_HTAN_7003_AS_1_filt	0	True	0.73	0.745	0.255	0.01	0.069	6.647
0003_HTAN_7003_AS_1_filt	1	True	0.738	0.749	0.251	0.01	0.046	4.424
0003_HTAN_7003_AS_1_filt	2	True	0.714	0.718	0.282	0.01	0.075	7.292
0003_HTAN_7003_AS_1_filt	3	True	0.71	0.729	0.271	0.01	0.082	7.967
0003_HTAN_7003_AS_1_filt	4	True	0.707	0.717	0.283	0.01	0.091	8.796
0003_HTAN_7003_AS_1_filt	5	True	0.715	0.728	0.272	0.01	0.173	16.674
0003_HTAN_7003_AS_1_filt	6	True	0.722	0.732	0.268	0.01	0.172	16.662
0003_HTAN_7003_AS_1_filt	7	True	0.728	0.73	0.27	0.01	0.115	11.149
0003_HTAN_7003_AS_1_filt	8	True	0.733	0.744	0.256	0.01	0.088	8.513
0003_HTAN_7003_AS_1_filt	9	True	0.718	0.734	0.266	0.01	0.141	13.621
0003_HTAN_7003_AS_1_filt	10	True	0.747	0.756	0.244	0.01	0.077	7.466
0003_HTAN_7003_AS_1_filt	11	True	0.718	0.734	0.266	0.01	0.138	13.337
0003_HTAN_7003_AS_1_filt	12	True	0.704	0.723	0.277	0.01	0.083	8.002
0003_HTAN_7003_AS_1_filt	13	True	0.711	0.714	0.286	0.01	0.17	16.458
0003_HTAN_7003_AS_1_filt	14	True	0.736	0.74	0.26	0.01	0.124	11.995
0003_HTAN_7003_AS_1_filt	15	True	0.702	0.721	0.279	0.01	0.161	15.593
0003_HTAN_7003_AS_1_filt	16	True	0.713	0.715	0.285	0.01	0.094	9.123
0003_HTAN_7003_AS_1_filt	17	True	0.721	0.723	0.277	0.01	0.12	11.552
0003_HTAN_7003_AS_1_filt	18	True	0.736	0.741	0.259	0.01	0.117	11.306
0003_HTAN_7003_AS_1_filt	19	True	0.729	0.745	0.255	0.01	0.086	8.287
0003_HTAN_7003_AS_1_filt	20	True	0.709	0.725	0.275	0.01	0.086	8.357
0003_HTAN_7003_AS_1_filt	21	True	0.725	0.734	0.266	0.01	0.076	7.368
0003_HTAN_7003_AS_1_filt	22	True	0.702	0.71	0.29	0.01	0.087	8.416
0003_HTAN_7003_AS_1_filt	23	True	0.703	0.706	0.294	0.01	0.198	19.141
0003_HTAN_7003_AS_1_filt	24	True	0.724	0.741	0.259	0.01	0.124	11.94
0003_HTAN_7003_AS_1_filt	25	True	0.702	0.717	0.283	0.01	0.089	8.586
0003_HTAN_7003_AS_1_filt	26	True	0.728	0.747	0.253	0.01	0.099	9.59
0003_HTAN_7003_AS_1_filt	27	True	0.718	0.735	0.265	0.01	0.14	13.493
0003_HTAN_7003_AS_1_filt	28	True	0.709	0.711	0.289	0.01	0.206	19.955
0003_HTAN_7003_AS_1_filt	29	True	0.713	0.715	0.285	0.01	0.094	9.101
0003_HTAN_7003_AS_1_filt	30	True	0.704	0.722	0.278	0.01	0.169	16.305
0003_HTAN_7003_AS_1_filt	31	True	0.738	0.749	0.251	0.01	0.075	7.22
0003_HTAN_7003_AS_1_filt	32	True	0.736	0.742	0.258	0.01	0.091	8.777
0003_HTAN_7003_AS_1_filt	33	True	0.729	0.736	0.264	0.01	0.071	6.816
0003_HTAN_7003_AS_1_filt	34	True	0.723	0.732	0.268	0.01	0.077	7.416
0003_HTAN_7003_AS_1_filt	35	True	0.719	0.726	0.274	0.01	0.111	10.771
0003_HTAN_7003_AS_1_filt	36	True	0.728	0.747	0.253	0.01	0.084	8.16
0003_HTAN_7003_AS_1_filt	37	True	0.711	0.718	0.282	0.01	0.103	9.984
0003_HTAN_7003_AS_1_filt	38	True	0.712	0.714	0.286	0.01	0.083	8.007
0003_HTAN_7003_AS_1_filt	39	True	0.725	0.73	0.27	0.01	0.091	8.749
0003_HTAN_7003_AS_1_filt	40	True	0.702	0.708	0.292	0.01	0.162	15.654
0003_HTAN_7003_AS_1_filt	41	True	0.705	0.706	0.294	0.01	0.092	8.923
0003_HTAN_7003_AS_1_filt	42	True	0.716	0.72	0.28	0.01	0.096	9.293
0003_HTAN_7003_AS_1_filt	43	True	0.724	0.74	0.26	0.01	0.126	12.182
0003_HTAN_7003_AS_1_filt	44	True	0.718	0.743	0.257	0.01	0.099	9.553
0003_HTAN_7003_AS_1_filt	45	True	0.719	0.725	0.275	0.01	0.138	13.345
0003_HTAN_7003_AS_1_filt	46	True	0.712	0.727	0.273	0.01	0.181	17.52
0003_HTAN_7003_AS_1_filt	47	True	0.71	0.728	0.272	0.01	0.093	8.95
0003_HTAN_7003_AS_1_filt	48	True	0.735	0.748	0.252	0.01	0.047	4.545
0003_HTAN_7003_AS_1_filt	49	True	0.711	0.729	0.271	0.01	0.147	14.215
0003_HTAN_7003_AS_1_filt	50	True	0.713	0.717	0.283	0.01	0.087	8.395
0003_HTAN_7003_AS_1_filt	51	True	0.72	0.732	0.268	0.01	0.076	7.299
0003_HTAN_7003_AS_1_filt	52	True	0.738	0.748	0.252	0.01	0.079	7.674
0003_HTAN_7003_AS_1_filt	53	True	0.731	0.739	0.261	0.01	0.05	4.859
0003_HTAN_7003_AS_1_filt	54	True	0.721	0.723	0.277	0.01	0.128	12.378
0003_HTAN_7003_AS_1_filt	55	True	0.717	0.735	0.265	0.01	0.127	12.254
0003_HTAN_7003_AS_1_filt	56	True	0.726	0.73	0.27	0.01	0.126	12.159
0003_HTAN_7003_AS_1_filt	57	True	0.71	0.718	0.282	0.01	0.136	13.134
0003_HTAN_7003_AS_1_filt	58	True	0.701	0.714	0.286	0.01	0.229	22.16
0003_HTAN_7003_AS_1_filt	59	True	0.705	0.71	0.29	0.01	0.105	10.11
0003_HTAN_7003_AS_1_filt	60	True	0.72	0.723	0.277	0.01	0.056	5.454
0003_HTAN_7003_AS_1_filt	61	True	0.728	0.735	0.265	0.01	0.095	9.136
0003_HTAN_7003_AS_1_filt	62	True	0.719	0.727	0.273	0.01	0.131	12.644
0003_HTAN_7003_AS_1_filt	63	True	0.725	0.729	0.271	0.01	0.081	7.867
0003_HTAN_7003_AS_1_filt	64	True	0.72	0.724	0.276	0.01	0.066	6.331
0003_HTAN_7003_AS_1_filt	65	True	0.737	0.751	0.249	0.01	0.072	6.979
0003_HTAN_7003_AS_1_filt	66	True	0.725	0.734	0.266	0.01	0.117	11.289
0003_HTAN_7003_AS_1_filt	67	True	0.713	0.719	0.281	0.01	0.065	6.26
0003_HTAN_7003_AS_1_filt	68	True	0.711	0.714	0.286	0.01	0.125	12.042
0003_HTAN_7003_AS_1_filt	69	True	0.712	0.727	0.273	0.01	0.176	16.986
0003_HTAN_7003_AS_1_filt	70	True	0.702	0.708	0.292	0.01	0.163	15.797
0003_HTAN_7003_AS_1_filt	71	True	0.711	0.718	0.282	0.01	0.133	12.832
0003_HTAN_7003_AS_1_filt	72	True	0.744	0.756	0.244	0.01	0.094	9.074
0003_HTAN_7003_AS_1_filt	73	True	0.728	0.743	0.257	0.01	0.055	5.27
0003_HTAN_7003_AS_1_filt	74	True	0.703	0.708	0.292	0.01	0.138	13.358
0003_HTAN_7003_AS_1_filt	75	True	0.705	0.706	0.294	0.01	0.066	6.374
0003_HTAN_7003_AS_1_filt	76	True	0.747	0.757	0.243	0.01	0.083	8.017
0003_HTAN_7003_AS_1_filt	77	True	0.719	0.725	0.275	0.01	0.117	11.275
0003_HTAN_7003_AS_1_filt	78	True	0.745	0.757	0.243	0.01	0.068	6.601
0003_HTAN_7003_AS_1_filt	79	True	0.713	0.715	0.285	0.01	0.103	9.968
0003_HTAN_7003_AS_1_filt	80	True	0.718	0.728	0.272	0.01	0.084	8.089
0003_HTAN_7003_AS_1_filt	81	True	0.736	0.745	0.255	0.01	0.092	8.896
0003_HTAN_7003_AS_1_filt	82	True	0.724	0.741	0.259	0.01	0.138	13.334
0003_HTAN_7003_AS_1_filt	83	True	0.73	0.744	0.256	0.01	0.049	4.736
0003_HTAN_7003_AS_1_filt	84	True	0.729	0.745	0.255	0.01	0.087	8.387
0003_HTAN_7003_AS_1_filt	85	True	0.734	0.737	0.263	0.01	0.111	10.736
0003_HTAN_7003_AS_1_filt	86	True	0.748	0.757	0.243	0.01	0.084	8.105
0003_HTAN_7003_AS_1_filt	87	True	0.702	0.704	0.296	0.01	0.226	21.861
0003_HTAN_7003_AS_1_filt	88	True	0.728	0.735	0.265	0.01	0.108	10.46
0003_HTAN_7003_AS_1_filt	89	True	0.703	0.707	0.293	0.01	0.139	13.394
0003_HTAN_7003_AS_1_filt	90	True	0.71	0.728	0.272	0.01	0.093	8.95
0003_HTAN_7003_AS_1_filt	91	True	0.702	0.704	0.296	0.01	0.185	17.862
0003_HTAN_7003_AS_1_filt	92	True	0.723	0.741	0.259	0.01	0.086	8.271
0003_HTAN_7003_AS_1_filt	93	True	0.735	0.749	0.251	0.01	0.078	7.494
0003_HTAN_7003_AS_1_filt	94	True	0.709	0.716	0.284	0.01	0.17	16.454
0003_HTAN_7003_AS_1_filt	95	True	0.702	0.71	0.29	0.01	0.081	7.848
0003_HTAN_7003_AS_1_filt	96	True	0.723	0.736	0.264	0.01	0.116	11.216
0003_HTAN_7003_AS_1_filt	97	True	0.712	0.728	0.272	0.01	0.199	19.256
