program	patient	section	n_spots	gene_coverage	moran_raw	moran_resid_Q	moran_resid_QC	status
P-epi	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	HTAN::8270_AS_10_filtered_trimmed.h5ad	4758	16/16	0.8408	0.5301	0.1593	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	HTAN::8270_AS_10_filtered_trimmed.h5ad	4758	9/9	0.9099	0.8881	0.3453	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	HTAN::8270_AS_10_filtered_trimmed.h5ad	4758	11/11	0.3819	0.3579	0.1781	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	HTAN::8270_AS_10_filtered_trimmed.h5ad	4758	3/3	0.8458	0.8031	0.1397	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	HTAN::8270_AS_10_filtered_trimmed.h5ad	4758	2/2	0.5425	0.3629	0.1128	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	HTAN::8270_AS_10_filtered_trimmed.h5ad	4758	2/2	0.543	0.33	0.2786	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	HTAN::8578_AS_2_filtered_trimmed_WD84226.h5ad	412	16/16	0.8908	0.296	0.2589	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	HTAN::8578_AS_2_filtered_trimmed_WD84226.h5ad	412	9/9	0.6754	0.1749	0.0752	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	HTAN::8578_AS_2_filtered_trimmed_WD84226.h5ad	412	11/11	0.5015	0.3807	0.2006	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	HTAN::8578_AS_2_filtered_trimmed_WD84226.h5ad	412	3/3	0.5836	0.0975	0.0782	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	HTAN::8578_AS_2_filtered_trimmed_WD84226.h5ad	412	2/2	0.697	0.1284	0.0359	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	HTAN::8578_AS_2_filtered_trimmed_WD84226.h5ad	412	2/2	0.6719	0.2291	0.2084	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	HTAN::8270_AS_9_filtered_trimmed.h5ad	3577	16/16	0.8023	0.5417	0.2081	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	HTAN::8270_AS_9_filtered_trimmed.h5ad	3577	9/9	0.5684	0.5285	0.2341	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	HTAN::8270_AS_9_filtered_trimmed.h5ad	3577	11/11	0.844	0.8295	0.2208	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	HTAN::8270_AS_9_filtered_trimmed.h5ad	3577	3/3	0.5939	0.5491	0.2482	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	HTAN::8270_AS_9_filtered_trimmed.h5ad	3577	2/2	0.3151	0.1876	0.0563	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	HTAN::8270_AS_9_filtered_trimmed.h5ad	3577	2/2	0.6741	0.6562	0.3897	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	HTAN::8578_AS_2_filtered_trimmed_WD84594.h5ad	492	16/16	0.8032	0.5459	0.4129	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	HTAN::8578_AS_2_filtered_trimmed_WD84594.h5ad	492	9/9	0.6035	0.3727	0.1436	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	HTAN::8578_AS_2_filtered_trimmed_WD84594.h5ad	492	11/11	0.3391	0.3236	0.1448	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	HTAN::8578_AS_2_filtered_trimmed_WD84594.h5ad	492	3/3	0.5892	0.3298	0.0559	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	HTAN::8578_AS_2_filtered_trimmed_WD84594.h5ad	492	2/2	0.4161	0.133	0.0311	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	HTAN::8578_AS_2_filtered_trimmed_WD84594.h5ad	492	2/2	0.437	0.3289	0.2273	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::2660ebb0a070d36e	HTAN::8578_AS_1_filtered_trimmed_WD33473.h5ad	93	16/16	0.5952	0.5554	0.2614	OK
