program	patient	section	n_spots	gene_coverage	moran_raw	moran_resid_Q	moran_resid_QC	status
P-epi	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN::8270_AS_12_filtered_trimmed.h5ad	4099	16/16	0.8566	0.778	0.3317	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN::8270_AS_12_filtered_trimmed.h5ad	4099	9/9	0.8762	0.7512	0.4279	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN::8270_AS_12_filtered_trimmed.h5ad	4099	11/11	0.872	0.6403	0.4281	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN::8270_AS_12_filtered_trimmed.h5ad	4099	3/3	0.7663	0.5526	0.3456	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN::8270_AS_12_filtered_trimmed.h5ad	4099	2/2	0.7965	0.552	0.2353	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN::8270_AS_12_filtered_trimmed.h5ad	4099	2/2	0.7248	0.5524	0.5062	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN::8578_AS_2_filtered_trimmed_WD84216.h5ad	282	16/16	0.6319	0.3649	0.203	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN::8578_AS_2_filtered_trimmed_WD84216.h5ad	282	9/9	0.4904	0.329	0.2006	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN::8578_AS_2_filtered_trimmed_WD84216.h5ad	282	11/11	0.7157	0.7036	0.2995	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN::8578_AS_2_filtered_trimmed_WD84216.h5ad	282	3/3	0.3753	0.137	0.0612	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN::8578_AS_2_filtered_trimmed_WD84216.h5ad	282	2/2	0.4837	0.1563	0.0908	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN::8578_AS_2_filtered_trimmed_WD84216.h5ad	282	2/2	0.6324	0.3832	0.2918	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	HTAN::8899_AS_1_filtered_trimmed.h5ad	4116	16/16	0.7762	0.6133	0.4532	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	HTAN::8899_AS_1_filtered_trimmed.h5ad	4116	9/9	0.7183	0.6124	0.1761	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	HTAN::8899_AS_1_filtered_trimmed.h5ad	4116	11/11	0.8063	0.7487	0.348	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	HTAN::8899_AS_1_filtered_trimmed.h5ad	4116	3/3	0.6203	0.4908	0.1011	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	HTAN::8899_AS_1_filtered_trimmed.h5ad	4116	2/2	0.6127	0.4299	0.1883	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	HTAN::8899_AS_1_filtered_trimmed.h5ad	4116	2/2	0.6265	0.4054	0.3386	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	HTAN::8899_AS_2_filtered_trimmed.h5ad	4078	16/16	0.6977	0.4687	0.331	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	HTAN::8899_AS_2_filtered_trimmed.h5ad	4078	9/9	0.7074	0.5244	0.2058	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	HTAN::8899_AS_2_filtered_trimmed.h5ad	4078	11/11	0.6248	0.5635	0.2512	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	HTAN::8899_AS_2_filtered_trimmed.h5ad	4078	3/3	0.6	0.2969	0.1415	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	HTAN::8899_AS_2_filtered_trimmed.h5ad	4078	2/2	0.6915	0.3813	0.2906	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	HTAN::8899_AS_2_filtered_trimmed.h5ad	4078	2/2	0.6165	0.5769	0.5609	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::5a3d3a5b1d783fe6	HTAN::7794_AS_2_filtered_trimmed_WD33475.h5ad	495	16/16	0.8138	0.5632	0.2534	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::5a3d3a5b1d783fe6	HTAN::7794_AS_2_filtered_trimmed_WD33475.h5ad	495	9/9	0.7525	0.6538	0.1889	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::5a3d3a5b1d783fe6	HTAN::7794_AS_2_filtered_trimmed_WD33475.h5ad	495	11/11	0.4607	0.4551	0.1647	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::5a3d3a5b1d783fe6	HTAN::7794_AS_2_filtered_trimmed_WD33475.h5ad	495	3/3	0.3417	0.2993	0.114	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::5a3d3a5b1d783fe6	HTAN::7794_AS_2_filtered_trimmed_WD33475.h5ad	495	2/2	0.1938	0.1705	0.0098	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::5a3d3a5b1d783fe6	HTAN::7794_AS_2_filtered_trimmed_WD33475.h5ad	495	2/2	0.4974	0.3998	0.1086	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::6aea40a35e6c4335	HTAN::7319_AS_3_filtered_trimmed.h5ad	1014	16/16	0.7204	0.5362	0.349	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::6aea40a35e6c4335	HTAN::7319_AS_3_filtered_trimmed.h5ad	1014	9/9	0.5109	0.4465	0.1264	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::6aea40a35e6c4335	HTAN::7319_AS_3_filtered_trimmed.h5ad	1014	11/11	0.6428	0.5046	0.2446	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::6aea40a35e6c4335	HTAN::7319_AS_3_filtered_trimmed.h5ad	1014	3/3	0.5713	0.4882	0.1939	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::6aea40a35e6c4335	HTAN::7319_AS_3_filtered_trimmed.h5ad	1014	2/2	0.2885	0.198	0.0678	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::6aea40a35e6c4335	HTAN::7319_AS_3_filtered_trimmed.h5ad	1014	2/2	0.1989	0.1283	0.0919	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	HTAN::7003_AS_3_filtered_trimmed.h5ad	2551	16/16	0.8777	0.7792	0.4287	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	HTAN::7003_AS_3_filtered_trimmed.h5ad	2551	9/9	0.757	0.7532	0.3418	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	HTAN::7003_AS_3_filtered_trimmed.h5ad	2551	11/11	0.8833	0.8865	0.2599	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	HTAN::7003_AS_3_filtered_trimmed.h5ad	2551	3/3	0.7777	0.7343	0.3099	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	HTAN::7003_AS_3_filtered_trimmed.h5ad	2551	2/2	0.8605	0.7634	0.5365	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	HTAN::7003_AS_3_filtered_trimmed.h5ad	2551	2/2	0.768	0.756	0.5585	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	HTAN::7003_AS_4_filtered_trimmed.h5ad	3970	16/16	0.9612	0.7664	0.4836	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	HTAN::7003_AS_4_filtered_trimmed.h5ad	3970	9/9	0.8321	0.7777	0.2841	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	HTAN::7003_AS_4_filtered_trimmed.h5ad	3970	11/11	0.8318	0.8286	0.5044	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	HTAN::7003_AS_4_filtered_trimmed.h5ad	3970	3/3	0.8715	0.7688	0.4686	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	HTAN::7003_AS_4_filtered_trimmed.h5ad	3970	2/2	0.9131	0.4017	0.2692	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	HTAN::7003_AS_4_filtered_trimmed.h5ad	3970	2/2	0.6554	0.5063	0.4425	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::772733d53add12a2	HTAN::8578_AS_1_filtered_trimmed_WD33474.h5ad	469	16/16	0.4942	0.4998	0.1876	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::772733d53add12a2	HTAN::8578_AS_1_filtered_trimmed_WD33474.h5ad	469	9/9	0.662	0.5743	0.3418	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::772733d53add12a2	HTAN::8578_AS_1_filtered_trimmed_WD33474.h5ad	469	11/11	0.6745	0.6082	0.1862	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::772733d53add12a2	HTAN::8578_AS_1_filtered_trimmed_WD33474.h5ad	469	3/3	0.611	0.6298	0.4425	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::772733d53add12a2	HTAN::8578_AS_1_filtered_trimmed_WD33474.h5ad	469	2/2	0.4316	0.212	0.0365	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::772733d53add12a2	HTAN::8578_AS_1_filtered_trimmed_WD33474.h5ad	469	2/2	0.6839	0.6255	0.4757	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::82a1eb08b47e14fe	HTAN::8578_AS_1_filtered_trimmed_WD33469.h5ad	370	16/16	0.8539	0.3075	0.2355	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::82a1eb08b47e14fe	HTAN::8578_AS_1_filtered_trimmed_WD33469.h5ad	370	9/9	0.4307	0.3191	0.041	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::82a1eb08b47e14fe	HTAN::8578_AS_1_filtered_trimmed_WD33469.h5ad	370	11/11	0.5918	0.5257	0.1489	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::82a1eb08b47e14fe	HTAN::8578_AS_1_filtered_trimmed_WD33469.h5ad	370	3/3	0.2383	0.1285	0.0461	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::82a1eb08b47e14fe	HTAN::8578_AS_1_filtered_trimmed_WD33469.h5ad	370	2/2	0.4666	0.1909	0.081	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::82a1eb08b47e14fe	HTAN::8578_AS_1_filtered_trimmed_WD33469.h5ad	370	2/2	0.662	0.1223	0.117	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::8abcbad99198901e	HTAN::8270_AS_3_filtered_trimmed.h5ad	818	16/16	0.7048	0.6653	0.4972	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::8abcbad99198901e	HTAN::8270_AS_3_filtered_trimmed.h5ad	818	9/9	0.4572	0.2643	0.0607	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::8abcbad99198901e	HTAN::8270_AS_3_filtered_trimmed.h5ad	818	11/11	0.7462	0.6015	0.2204	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::8abcbad99198901e	HTAN::8270_AS_3_filtered_trimmed.h5ad	818	3/3	0.3513	0.1689	0.047	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::8abcbad99198901e	HTAN::8270_AS_3_filtered_trimmed.h5ad	818	2/2	0.3785	0.2184	0.1787	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::8abcbad99198901e	HTAN::8270_AS_3_filtered_trimmed.h5ad	818	2/2	0.3202	0.2126	0.1565	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	HTAN::8270_AS_6_filtered_trimmed.h5ad	3072	16/16	0.8681	0.7138	0.4199	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	HTAN::8270_AS_6_filtered_trimmed.h5ad	3072	9/9	0.6972	0.6753	0.3532	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	HTAN::8270_AS_6_filtered_trimmed.h5ad	3072	11/11	0.6771	0.6467	0.2947	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	HTAN::8270_AS_6_filtered_trimmed.h5ad	3072	3/3	0.6319	0.5269	0.1356	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	HTAN::8270_AS_6_filtered_trimmed.h5ad	3072	2/2	0.8435	0.4832	0.322	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	HTAN::8270_AS_6_filtered_trimmed.h5ad	3072	2/2	0.6553	0.474	0.38	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	HTAN::8270_AS_7_filtered_trimmed.h5ad	4297	16/16	0.6955	0.6085	0.4389	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	HTAN::8270_AS_7_filtered_trimmed.h5ad	4297	9/9	0.5765	0.6397	0.2076	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	HTAN::8270_AS_7_filtered_trimmed.h5ad	4297	11/11	0.7752	0.8034	0.3123	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	HTAN::8270_AS_7_filtered_trimmed.h5ad	4297	3/3	0.4716	0.5069	0.1126	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	HTAN::8270_AS_7_filtered_trimmed.h5ad	4297	2/2	0.7656	0.8481	0.5311	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	HTAN::8270_AS_7_filtered_trimmed.h5ad	4297	2/2	0.6378	0.6695	0.4198	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::94567531ae08aa59	HTAN::7794_AS_1_filtered_trimmed_WD33476.h5ad	581	16/16	0.6662	0.3299	0.3312	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::94567531ae08aa59	HTAN::7794_AS_1_filtered_trimmed_WD33476.h5ad	581	9/9	0.6209	0.5714	0.1355	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::94567531ae08aa59	HTAN::7794_AS_1_filtered_trimmed_WD33476.h5ad	581	11/11	0.7785	0.7761	0.305	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::94567531ae08aa59	HTAN::7794_AS_1_filtered_trimmed_WD33476.h5ad	581	3/3	0.4882	0.452	0.1496	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::94567531ae08aa59	HTAN::7794_AS_1_filtered_trimmed_WD33476.h5ad	581	2/2	0.3698	0.3303	0.0867	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::94567531ae08aa59	HTAN::7794_AS_1_filtered_trimmed_WD33476.h5ad	581	2/2	0.6168	0.6199	0.3339	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::9af051af377d9c81	HTAN::7794_AS_1_filtered_trimmed_WD33479.h5ad	584	16/16	0.8654	0.7703	0.2942	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::9af051af377d9c81	HTAN::7794_AS_1_filtered_trimmed_WD33479.h5ad	584	9/9	0.8991	0.856	0.2862	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::9af051af377d9c81	HTAN::7794_AS_1_filtered_trimmed_WD33479.h5ad	584	11/11	0.9218	0.8699	0.1838	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::9af051af377d9c81	HTAN::7794_AS_1_filtered_trimmed_WD33479.h5ad	584	3/3	0.8084	0.7712	0.3973	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::9af051af377d9c81	HTAN::7794_AS_1_filtered_trimmed_WD33479.h5ad	584	2/2	0.7201	0.6069	0.1445	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::9af051af377d9c81	HTAN::7794_AS_1_filtered_trimmed_WD33479.h5ad	584	2/2	0.6574	0.4621	0.2332	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	HTAN::8899_AS_5_filtered_trimmed.h5ad	3502	16/16	0.9566	0.7988	0.4988	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	HTAN::8899_AS_5_filtered_trimmed.h5ad	3502	9/9	0.8494	0.8078	0.5329	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	HTAN::8899_AS_5_filtered_trimmed.h5ad	3502	11/11	0.9288	0.8039	0.2681	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	HTAN::8899_AS_5_filtered_trimmed.h5ad	3502	3/3	0.8108	0.818	0.5732	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	HTAN::8899_AS_5_filtered_trimmed.h5ad	3502	2/2	0.7831	0.5167	0.2036	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	HTAN::8899_AS_5_filtered_trimmed.h5ad	3502	2/2	0.7661	0.718	0.6282	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	HTAN::8899_AS_6_filtered_trimmed.h5ad	3578	16/16	0.9095	0.6385	0.4379	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	HTAN::8899_AS_6_filtered_trimmed.h5ad	3578	9/9	0.7885	0.6978	0.3253	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	HTAN::8899_AS_6_filtered_trimmed.h5ad	3578	11/11	0.8626	0.8242	0.283	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	HTAN::8899_AS_6_filtered_trimmed.h5ad	3578	3/3	0.739	0.6087	0.3253	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	HTAN::8899_AS_6_filtered_trimmed.h5ad	3578	2/2	0.7155	0.4684	0.2499	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	HTAN::8899_AS_6_filtered_trimmed.h5ad	3578	2/2	0.5721	0.501	0.42	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::b279c0a0ecf76890	HTAN::8270_AS_5_filtered_trimmed.h5ad	229	16/16	0.5373	0.5104	0.215	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::b279c0a0ecf76890	HTAN::8270_AS_5_filtered_trimmed.h5ad	229	9/9	0.5921	0.2863	0.024	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::b279c0a0ecf76890	HTAN::8270_AS_5_filtered_trimmed.h5ad	229	11/11	0.7609	0.4791	0.2368	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::b279c0a0ecf76890	HTAN::8270_AS_5_filtered_trimmed.h5ad	229	3/3	0.3528	0.0988	0.0347	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::b279c0a0ecf76890	HTAN::8270_AS_5_filtered_trimmed.h5ad	229	2/2	0.6449	0.4408	0.034	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::b279c0a0ecf76890	HTAN::8270_AS_5_filtered_trimmed.h5ad	229	2/2	0.4774	0.4059	0.3824	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::bbd41350b0c0bd3c	HTAN::7794_AS_2_filtered_trimmed_WD33468.h5ad	494	16/16	0.7905	0.7024	0.4605	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::bbd41350b0c0bd3c	HTAN::7794_AS_2_filtered_trimmed_WD33468.h5ad	494	9/9	0.7291	0.6637	0.3198	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::bbd41350b0c0bd3c	HTAN::7794_AS_2_filtered_trimmed_WD33468.h5ad	494	11/11	0.8128	0.7972	0.3992	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::bbd41350b0c0bd3c	HTAN::7794_AS_2_filtered_trimmed_WD33468.h5ad	494	3/3	0.7367	0.6324	0.4373	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::bbd41350b0c0bd3c	HTAN::7794_AS_2_filtered_trimmed_WD33468.h5ad	494	2/2	0.6305	0.5252	0.2894	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::bbd41350b0c0bd3c	HTAN::7794_AS_2_filtered_trimmed_WD33468.h5ad	494	2/2	0.6438	0.4937	0.2738	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::c0b1b19d533645cb	HTAN::7319_AS_4_filtered_trimmed.h5ad	1312	16/16	0.7216	0.5177	0.4282	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::c0b1b19d533645cb	HTAN::7319_AS_4_filtered_trimmed.h5ad	1312	9/9	0.3748	0.0929	0.059	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::c0b1b19d533645cb	HTAN::7319_AS_4_filtered_trimmed.h5ad	1312	11/11	0.6809	0.649	0.2465	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::c0b1b19d533645cb	HTAN::7319_AS_4_filtered_trimmed.h5ad	1312	3/3	0.2276	0.08	0.0621	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::c0b1b19d533645cb	HTAN::7319_AS_4_filtered_trimmed.h5ad	1312	2/2	0.4286	0.2501	0.2605	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::c0b1b19d533645cb	HTAN::7319_AS_4_filtered_trimmed.h5ad	1312	2/2	0.3795	0.1943	0.183	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	HTAN::8899_AS_3_filtered_trimmed.h5ad	1727	16/16	0.7873	0.5909	0.4563	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	HTAN::8899_AS_3_filtered_trimmed.h5ad	1727	9/9	0.6619	0.5869	0.2913	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	HTAN::8899_AS_3_filtered_trimmed.h5ad	1727	11/11	0.6718	0.6421	0.2536	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	HTAN::8899_AS_3_filtered_trimmed.h5ad	1727	3/3	0.6277	0.4651	0.2248	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	HTAN::8899_AS_3_filtered_trimmed.h5ad	1727	2/2	0.7389	0.5514	0.5503	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	HTAN::8899_AS_3_filtered_trimmed.h5ad	1727	2/2	0.8094	0.6185	0.5868	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	HTAN::8899_AS_4_filtered_trimmed.h5ad	3636	16/16	0.9461	0.7615	0.6873	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	HTAN::8899_AS_4_filtered_trimmed.h5ad	3636	9/9	0.9053	0.771	0.3428	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	HTAN::8899_AS_4_filtered_trimmed.h5ad	3636	11/11	0.8757	0.8473	0.2315	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	HTAN::8899_AS_4_filtered_trimmed.h5ad	3636	3/3	0.8606	0.7159	0.3473	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	HTAN::8899_AS_4_filtered_trimmed.h5ad	3636	2/2	0.9166	0.3157	0.2823	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	HTAN::8899_AS_4_filtered_trimmed.h5ad	3636	2/2	0.9103	0.5749	0.4912	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::e52fa79982a9ecea	HTAN::7003_AS_8_filtered_trimmed.h5ad	4132	16/16	0.7617	0.6327	0.5106	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::e52fa79982a9ecea	HTAN::7003_AS_8_filtered_trimmed.h5ad	4132	9/9	0.7711	0.6227	0.2318	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::e52fa79982a9ecea	HTAN::7003_AS_8_filtered_trimmed.h5ad	4132	11/11	0.8621	0.794	0.3347	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::e52fa79982a9ecea	HTAN::7003_AS_8_filtered_trimmed.h5ad	4132	3/3	0.7109	0.508	0.2453	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::e52fa79982a9ecea	HTAN::7003_AS_8_filtered_trimmed.h5ad	4132	2/2	0.6976	0.5159	0.1396	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::e52fa79982a9ecea	HTAN::7003_AS_8_filtered_trimmed.h5ad	4132	2/2	0.8039	0.7445	0.6119	OK
