program	patient	n_sections	med_spots	med_moran_raw	med_moran_Q	med_moran_QC	status
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	3	4099	0.5621	0.3644	0.2353	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	2	4097	0.6521	0.4056	0.2394	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::5a3d3a5b1d783fe6	1	495	0.1938	0.1705	0.0098	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::6aea40a35e6c4335	1	1014	0.2885	0.1980	0.0678	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	2	3260	0.8868	0.5826	0.4028	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::772733d53add12a2	1	469	0.4316	0.2120	0.0365	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::82a1eb08b47e14fe	1	370	0.4666	0.1909	0.0810	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::8abcbad99198901e	1	818	0.3785	0.2184	0.1787	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	2	3684	0.8045	0.6656	0.4265	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::94567531ae08aa59	1	581	0.3698	0.3303	0.0867	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::9af051af377d9c81	1	584	0.7201	0.6069	0.1445	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	2	3540	0.7493	0.4926	0.2268	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::b279c0a0ecf76890	1	229	0.6449	0.4408	0.0340	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::bbd41350b0c0bd3c	1	494	0.6305	0.5252	0.2894	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::c0b1b19d533645cb	1	1312	0.4286	0.2501	0.2605	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	2	2681	0.8277	0.4335	0.4163	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::e52fa79982a9ecea	1	4132	0.6976	0.5159	0.1396	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::07dc676d92f9d153	1	665	0.6109	0.5051	0.1985	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	2	2897	0.7720	0.7188	0.3240	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	2	3077	0.4827	0.4163	0.2004	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	2	2585	0.4417	0.3693	0.1894	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	2	2034	0.5916	0.5766	0.1828	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::2660ebb0a070d36e	1	93	0.4328	0.3754	0.2099	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::283e577e68cd34cf	1	830	0.7691	0.7354	0.2857	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	2	3558	0.7293	0.6575	0.2916	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	2	1816	0.1617	0.1314	0.0751	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::3e050f81f3d36d48	1	3708	0.6451	0.2854	0.1997	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::42db69b0c0fe9511	1	2047	0.7135	0.5272	0.3132	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	2	2521	0.7399	0.7078	0.3225	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	4	3917	0.7883	0.7287	0.3199	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	3	4099	0.7230	0.6994	0.2995	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	2	4097	0.7156	0.6561	0.2996	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::5a3d3a5b1d783fe6	1	495	0.4607	0.4551	0.1647	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::6aea40a35e6c4335	1	1014	0.6428	0.5046	0.2446	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	2	3260	0.8576	0.8576	0.3821	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::772733d53add12a2	1	469	0.6745	0.6082	0.1862	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::82a1eb08b47e14fe	1	370	0.5918	0.5257	0.1489	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::8abcbad99198901e	1	818	0.7462	0.6015	0.2204	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	2	3684	0.7262	0.7250	0.3035	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::94567531ae08aa59	1	581	0.7785	0.7761	0.3050	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::9af051af377d9c81	1	584	0.9218	0.8699	0.1838	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	2	3540	0.8957	0.8140	0.2755	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::b279c0a0ecf76890	1	229	0.7609	0.4791	0.2368	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::bbd41350b0c0bd3c	1	494	0.8128	0.7972	0.3992	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::c0b1b19d533645cb	1	1312	0.6809	0.6490	0.2465	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	2	2681	0.7737	0.7447	0.2425	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::e52fa79982a9ecea	1	4132	0.8621	0.7940	0.3347	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::07dc676d92f9d153	1	665	0.1934	0.1687	0.0505	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	2	2897	0.6997	0.4152	0.1736	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	2	3077	0.5597	0.1941	0.0763	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	2	2585	0.7147	0.4503	0.1089	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	2	2034	0.5916	0.4395	0.1520	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::2660ebb0a070d36e	1	93	0.3350	0.2862	0.0143	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::283e577e68cd34cf	1	830	0.0924	0.0129	0.0055	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	2	3558	0.7199	0.7398	0.5710	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	2	1816	0.5149	0.1426	0.0471	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::3e050f81f3d36d48	1	3708	0.5955	0.5574	0.2995	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::42db69b0c0fe9511	1	2047	0.7371	0.6998	0.4014	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	2	2521	0.8464	0.7983	0.5696	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	4	3917	0.8181	0.5039	0.2133	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	3	4099	0.4371	0.3248	0.0762	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	2	4097	0.6101	0.3939	0.1213	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::5a3d3a5b1d783fe6	1	495	0.3417	0.2993	0.1140	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::6aea40a35e6c4335	1	1014	0.5713	0.4882	0.1939	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	2	3260	0.8246	0.7515	0.3892	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::772733d53add12a2	1	469	0.6110	0.6298	0.4425	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::82a1eb08b47e14fe	1	370	0.2383	0.1285	0.0461	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::8abcbad99198901e	1	818	0.3513	0.1689	0.0470	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	2	3684	0.5517	0.5169	0.1241	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::94567531ae08aa59	1	581	0.4882	0.4520	0.1496	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::9af051af377d9c81	1	584	0.8084	0.7712	0.3973	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	2	3540	0.7749	0.7133	0.4493	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::b279c0a0ecf76890	1	229	0.3528	0.0988	0.0347	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::bbd41350b0c0bd3c	1	494	0.7367	0.6324	0.4373	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::c0b1b19d533645cb	1	1312	0.2276	0.0800	0.0621	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	2	2681	0.7442	0.5905	0.2861	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::e52fa79982a9ecea	1	4132	0.7109	0.5080	0.2453	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::07dc676d92f9d153	1	665	0.2663	0.0303	-0.0109	OK
