atlas	synapse_id	filename	assay	biospecimen	destination	status	bytes	checksum	attempts	error	download_timestamp
WUSTL	syn53215203	HT271B1-S1H3Fc2U2Z1Bs1-features.tsv.gz	10X Visium	HTA12_142_10	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215203/HT271B1-S1H3Fc2U2Z1Bs1-features.tsv.gz	DOWNLOADED	294478		1	transfer_s=6.5	2026-09-12T06:29:33
WUSTL	syn53215181	HT271B1-S1H3Fc2U2Z1Bs1-matrix.mtx.gz	10X Visium	HTA12_142_10	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215181/HT271B1-S1H3Fc2U2Z1Bs1-matrix.mtx.gz	DOWNLOADED	48963622		1	transfer_s=7.1	2026-09-12T06:29:37
WUSTL	syn53215142	HT271B1-S1H3Fc2U2Z1Bs1-scalefactors_json.json	10X Visium	HTA12_142_10	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215142/HT271B1-S1H3Fc2U2Z1Bs1-scalefactors_json.json	DOWNLOADED	164		1	transfer_s=6.6	2026-09-12T06:29:39
WUSTL	syn53215215	HT271B1-S1H3Fc2U3Z1Bs1-barcodes.tsv.gz	10X Visium	HTA12_142_11	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215215/HT271B1-S1H3Fc2U3Z1Bs1-barcodes.tsv.gz	DOWNLOADED	25674		1	transfer_s=1.9	2026-09-12T06:29:39
WUSTL	syn53215165	HT271B1-S1H3Fc2U2Z1Bs1-tissue_positions_list.csv	10X Visium	HTA12_142_10	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215165/HT271B1-S1H3Fc2U2Z1Bs1-tissue_positions_list.csv	DOWNLOADED	189655		1	transfer_s=6.4	2026-09-12T06:29:40
WUSTL	syn53215153	HT271B1-S1H3Fc2U2Z1Bs1-tissue_lowres_image.png	10X Visium	HTA12_142_10	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215153/HT271B1-S1H3Fc2U2Z1Bs1-tissue_lowres_image.png	DOWNLOADED	508820		1	transfer_s=6.7	2026-09-12T06:29:40
WUSTL	syn53215091	HT271B1-S1H3Fc2U3Z1Bs1-scalefactors_json.json	10X Visium	HTA12_142_11	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215091/HT271B1-S1H3Fc2U3Z1Bs1-scalefactors_json.json	DOWNLOADED	165		1	transfer_s=6.3	2026-09-12T06:29:46
WUSTL	syn53215092	HT271B1-S1H3Fc2U3Z1Bs1-tissue_lowres_image.png	10X Visium	HTA12_142_11	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215092/HT271B1-S1H3Fc2U3Z1Bs1-tissue_lowres_image.png	DOWNLOADED	502623		1	transfer_s=6.5	2026-09-12T06:29:46
WUSTL	syn53215192	HT271B1-S1H3Fc2U3Z1Bs1-features.tsv.gz	10X Visium	HTA12_142_11	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215192/HT271B1-S1H3Fc2U3Z1Bs1-features.tsv.gz	DOWNLOADED	294478		1	transfer_s=7.0	2026-09-12T06:29:46
WUSTL	syn53215273	HT271B1-S1H3Fc2U3Z1Bs1-matrix.mtx.gz	10X Visium	HTA12_142_11	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215273/HT271B1-S1H3Fc2U3Z1Bs1-matrix.mtx.gz	DOWNLOADED	47238295		1	transfer_s=10.9	2026-09-12T06:29:50
WUSTL	syn53215158	HT271B1-S1H3Fc2U4Z1Bs1-barcodes.tsv.gz	10X Visium	HTA12_142_12	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215158/HT271B1-S1H3Fc2U4Z1Bs1-barcodes.tsv.gz	DOWNLOADED	25674		1	transfer_s=6.3	2026-09-12T06:29:52
WUSTL	syn53215140	HT271B1-S1H3Fc2U4Z1Bs1-features.tsv.gz	10X Visium	HTA12_142_12	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215140/HT271B1-S1H3Fc2U4Z1Bs1-features.tsv.gz	DOWNLOADED	294478		1	transfer_s=6.6	2026-09-12T06:29:53
WUSTL	syn53215107	HT271B1-S1H3Fc2U3Z1Bs1-tissue_positions_list.csv	10X Visium	HTA12_142_11	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215107/HT271B1-S1H3Fc2U3Z1Bs1-tissue_positions_list.csv	DOWNLOADED	189655		1	transfer_s=7.4	2026-09-12T06:29:53
WUSTL	syn53215231	HT271B1-S1H3Fc2U4Z1Bs1-matrix.mtx.gz	10X Visium	HTA12_142_12	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215231/HT271B1-S1H3Fc2U4Z1Bs1-matrix.mtx.gz	DOWNLOADED	53279805		1	transfer_s=7.4	2026-09-12T06:29:57
WUSTL	syn53215133	HT271B1-S1H3Fc2U4Z1Bs1-scalefactors_json.json	10X Visium	HTA12_142_12	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215133/HT271B1-S1H3Fc2U4Z1Bs1-scalefactors_json.json	DOWNLOADED	166		1	transfer_s=6.5	2026-09-12T06:29:59
WUSTL	syn61462248	HT112C1-U1_ST_Bn1-barcodes.tsv.gz	10X Visium	HTA12_257_7	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462248/HT112C1-U1_ST_Bn1-barcodes.tsv.gz	DOWNLOADED	25674		1	transfer_s=1.5	2026-09-12T06:29:59
WUSTL	syn53215100	HT271B1-S1H3Fc2U4Z1Bs1-tissue_lowres_image.png	10X Visium	HTA12_142_12	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215100/HT271B1-S1H3Fc2U4Z1Bs1-tissue_lowres_image.png	DOWNLOADED	484690		1	transfer_s=6.6	2026-09-12T06:29:59
WUSTL	syn53215169	HT271B1-S1H3Fc2U4Z1Bs1-tissue_positions_list.csv	10X Visium	HTA12_142_12	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215169/HT271B1-S1H3Fc2U4Z1Bs1-tissue_positions_list.csv	DOWNLOADED	189684		1	transfer_s=6.4	2026-09-12T06:30:00
WUSTL	syn61462393	HT112C1-U1_ST_Bn1-scalefactors_json.json	10X Visium	HTA12_257_7	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462393/HT112C1-U1_ST_Bn1-scalefactors_json.json	DOWNLOADED	165		1	transfer_s=6.1	2026-09-12T06:30:06
WUSTL	syn61462380	HT112C1-U1_ST_Bn1-features.tsv.gz	10X Visium	HTA12_257_7	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462380/HT112C1-U1_ST_Bn1-features.tsv.gz	DOWNLOADED	294383		1	transfer_s=6.8	2026-09-12T06:30:06
WUSTL	syn61462432	HT112C1-U1_ST_Bn1-tissue_lowres_image.png	10X Visium	HTA12_257_7	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462432/HT112C1-U1_ST_Bn1-tissue_lowres_image.png	DOWNLOADED	507417		1	transfer_s=6.3	2026-09-12T06:30:06
WUSTL	syn61462459	HT112C1-U1_ST_Bn1-matrix.mtx.gz	10X Visium	HTA12_257_7	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462459/HT112C1-U1_ST_Bn1-matrix.mtx.gz	DOWNLOADED	52830664		1	transfer_s=12.6	2026-09-12T06:30:12
WUSTL	syn61462233	HT112C1-U2_ST_Bn1-barcodes.tsv.gz	10X Visium	HTA12_257_8	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462233/HT112C1-U2_ST_Bn1-barcodes.tsv.gz	DOWNLOADED	25674		1	transfer_s=6.3	2026-09-12T06:30:12
WUSTL	syn61462358	HT112C1-U1_ST_Bn1-tissue_positions_list.csv	10X Visium	HTA12_257_7	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462358/HT112C1-U1_ST_Bn1-tissue_positions_list.csv	DOWNLOADED	189687		1	transfer_s=6.9	2026-09-12T06:30:12
WUSTL	syn61462149	HT112C1-U2_ST_Bn1-features.tsv.gz	10X Visium	HTA12_257_8	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462149/HT112C1-U2_ST_Bn1-features.tsv.gz	DOWNLOADED	294383		1	transfer_s=6.4	2026-09-12T06:30:12
WUSTL	syn61462263	HT112C1-U2_ST_Bn1-scalefactors_json.json	10X Visium	HTA12_257_8	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462263/HT112C1-U2_ST_Bn1-scalefactors_json.json	DOWNLOADED	147		1	transfer_s=6.1	2026-09-12T06:30:18
WUSTL	syn61462100	HT112C1-U2_ST_Bn1-tissue_lowres_image.png	10X Visium	HTA12_257_8	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462100/HT112C1-U2_ST_Bn1-tissue_lowres_image.png	DOWNLOADED	485713		1	transfer_s=6.2	2026-09-12T06:30:19
WUSTL	syn61462480	HT112C1-U2_ST_Bn1-matrix.mtx.gz	10X Visium	HTA12_257_8	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462480/HT112C1-U2_ST_Bn1-matrix.mtx.gz	DOWNLOADED	45371317		1	transfer_s=10.9	2026-09-12T06:30:22
WUSTL	syn61462090	HT225C1-Th1Fc1U1Z1B1-barcodes.tsv.gz	10X Visium	HTA12_132_8	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462090/HT225C1-Th1Fc1U1Z1B1-barcodes.tsv.gz	DOWNLOADED	25674		1	transfer_s=6.5	2026-09-12T06:30:25
WUSTL	syn61462101	HT225C1-Th1Fc1U1Z1B1-features.tsv.gz	10X Visium	HTA12_132_8	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462101/HT225C1-Th1Fc1U1Z1B1-features.tsv.gz	DOWNLOADED	294383		1	transfer_s=6.4	2026-09-12T06:30:25
WUSTL	syn61462182	HT112C1-U2_ST_Bn1-tissue_positions_list.csv	10X Visium	HTA12_257_8	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462182/HT112C1-U2_ST_Bn1-tissue_positions_list.csv	DOWNLOADED	190376		1	transfer_s=12.6	2026-09-12T06:30:25
WUSTL	syn61462287	HT225C1-Th1Fc1U1Z1B1-scalefactors_json.json	10X Visium	HTA12_132_8	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462287/HT225C1-Th1Fc1U1Z1B1-scalefactors_json.json	DOWNLOADED	164		1	transfer_s=6.5	2026-09-12T06:30:31
WUSTL	syn61462304	HT225C1-Th1Fc1U1Z1B1-tissue_positions_list.csv	10X Visium	HTA12_132_8	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462304/HT225C1-Th1Fc1U1Z1B1-tissue_positions_list.csv	DOWNLOADED	188797		1	transfer_s=6.4	2026-09-12T06:30:31
WUSTL	syn61462211	HT225C1-Th1Fc1U1Z1B1-tissue_lowres_image.png	10X Visium	HTA12_132_8	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462211/HT225C1-Th1Fc1U1Z1B1-tissue_lowres_image.png	DOWNLOADED	688345		1	transfer_s=6.7	2026-09-12T06:30:32
WUSTL	syn61462531	HT225C1-Th1Fc1U1Z1B1-matrix.mtx.gz	10X Visium	HTA12_132_8	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462531/HT225C1-Th1Fc1U1Z1B1-matrix.mtx.gz	DOWNLOADED	85281743		1	transfer_s=10.4	2026-09-12T06:30:33
WUSTL	syn61462285	HT225C1-Th1Fc1U2Z1B1-scalefactors_json.json	10X Visium	HTA12_132_9	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462285/HT225C1-Th1Fc1U2Z1B1-scalefactors_json.json	DOWNLOADED	166		1	transfer_s=4.8	2026-09-12T06:30:38
WUSTL	syn61462041	HT225C1-Th1Fc1U2Z1B1-barcodes.tsv.gz	10X Visium	HTA12_132_9	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462041/HT225C1-Th1Fc1U2Z1B1-barcodes.tsv.gz	DOWNLOADED	25674		1	transfer_s=6.6	2026-09-12T06:30:38
WUSTL	syn61462256	HT225C1-Th1Fc1U2Z1B1-features.tsv.gz	10X Visium	HTA12_132_9	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462256/HT225C1-Th1Fc1U2Z1B1-features.tsv.gz	DOWNLOADED	294478		1	transfer_s=6.8	2026-09-12T06:30:38
WUSTL	syn61462179	HT225C1-Th1Fc1U3Z1B1-barcodes.tsv.gz	10X Visium	HTA12_132_10	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462179/HT225C1-Th1Fc1U3Z1B1-barcodes.tsv.gz	DOWNLOADED	25674		1	transfer_s=6.0	2026-09-12T06:30:44
WUSTL	syn61462057	HT225C1-Th1Fc1U2Z1B1-tissue_positions_list.csv	10X Visium	HTA12_132_9	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462057/HT225C1-Th1Fc1U2Z1B1-tissue_positions_list.csv	DOWNLOADED	189691		1	transfer_s=7.0	2026-09-12T06:30:45
WUSTL	syn61462093	HT225C1-Th1Fc1U2Z1B1-tissue_lowres_image.png	10X Visium	HTA12_132_9	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462093/HT225C1-Th1Fc1U2Z1B1-tissue_lowres_image.png	DOWNLOADED	602923		1	transfer_s=7.1	2026-09-12T06:30:45
WUSTL	syn61462538	HT225C1-Th1Fc1U2Z1B1-matrix.mtx.gz	10X Visium	HTA12_132_9	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462538/HT225C1-Th1Fc1U2Z1B1-matrix.mtx.gz	DOWNLOADED	104607210		1	transfer_s=15.7	2026-09-12T06:30:47
WUSTL	syn61462226	HT225C1-Th1Fc1U3Z1B1-scalefactors_json.json	10X Visium	HTA12_132_10	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462226/HT225C1-Th1Fc1U3Z1B1-scalefactors_json.json	DOWNLOADED	165		1	transfer_s=6.1	2026-09-12T06:30:51
WUSTL	syn61462400	HT225C1-Th1Fc1U3Z1B1-features.tsv.gz	10X Visium	HTA12_132_10	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462400/HT225C1-Th1Fc1U3Z1B1-features.tsv.gz	DOWNLOADED	294478		1	transfer_s=6.9	2026-09-12T06:30:51
WUSTL	syn61462412	HT225C1-Th1Fc1U3Z1B1-tissue_lowres_image.png	10X Visium	HTA12_132_10	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462412/HT225C1-Th1Fc1U3Z1B1-tissue_lowres_image.png	DOWNLOADED	613718		1	transfer_s=3.9	2026-09-12T06:30:51
WUSTL	syn61462018	HT225C1-Th1Fc1U4Z1B1-barcodes.tsv.gz	10X Visium	HTA12_132_11	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462018/HT225C1-Th1Fc1U4Z1B1-barcodes.tsv.gz	DOWNLOADED	25674		1	transfer_s=6.3	2026-09-12T06:30:57
WUSTL	syn61462365	HT225C1-Th1Fc1U3Z1B1-tissue_positions_list.csv	10X Visium	HTA12_132_10	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462365/HT225C1-Th1Fc1U3Z1B1-tissue_positions_list.csv	DOWNLOADED	189682		1	transfer_s=6.9	2026-09-12T06:30:58
WUSTL	syn61462154	HT225C1-Th1Fc1U4Z1B1-features.tsv.gz	10X Visium	HTA12_132_11	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462154/HT225C1-Th1Fc1U4Z1B1-features.tsv.gz	DOWNLOADED	294478		1	transfer_s=6.5	2026-09-12T06:30:58
WUSTL	syn61462540	HT225C1-Th1Fc1U3Z1B1-matrix.mtx.gz	10X Visium	HTA12_132_10	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462540/HT225C1-Th1Fc1U3Z1B1-matrix.mtx.gz	DOWNLOADED	89046974		1	transfer_s=14.4	2026-09-12T06:30:59
WUSTL	syn61462275	HT225C1-Th1Fc1U4Z1B1-scalefactors_json.json	10X Visium	HTA12_132_11	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462275/HT225C1-Th1Fc1U4Z1B1-scalefactors_json.json	DOWNLOADED	165		1	transfer_s=6.3	2026-09-12T06:31:04
WUSTL	syn61462389	HT225C1-Th1Fc1U4Z1B1-tissue_positions_list.csv	10X Visium	HTA12_132_11	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462389/HT225C1-Th1Fc1U4Z1B1-tissue_positions_list.csv	DOWNLOADED	189706		1	transfer_s=5.1	2026-09-12T06:31:04
WUSTL	syn61462276	HT225C1-Th1Fc1U4Z1B1-tissue_lowres_image.png	10X Visium	HTA12_132_11	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61462276/HT225C1-Th1Fc1U4Z1B1-tissue_lowres_image.png	DOWNLOADED	605705		1	transfer_s=6.8	2026-09-12T06:31:05
