paper_sample_id	participant_id	biospecimen_id	parent_biospecimen_id	specimen_id	block_candidate	section_candidate	assay	platform	source_file	source_commit	evidence_grade
HT397B1-Jm1D1_1	HT397B1	HTA12_253_7					WXS		ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E0
HT397B1-S1H4A4D1_1	HT397B1	HTA12_253_14					WXS		ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E0
HT397B1-W1D1_1	HT397B1	HTA12_253_17					WXS		ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E0
HT913Z1-S1H1Fp1	HT913Z1						CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT891Z1-S2H1Fp1	HT891Z1						CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT891Z1-S2H4Fp1	HT891Z1						CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT891Z1-S2H3FP1Us1	HT891Z1						CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT891Z1-S2H3FP1Us2	HT891Z1						CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT206B1-H2L1U23_1	HT206B1					23	CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1_U14	HT704B1					14	CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1_U22	HT704B1					22	CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1_U47	HT704B1					47	CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1_U56	HT704B1					56	CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT206B1-S1Fc1U1Z1B1	HT206B1					1	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT206B1-S1Fc1U2Z1B1	HT206B1					2	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT206B1-S1Fc1U3Z1B1	HT206B1					3	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT206B1-S1Fc1U4Z1B1	HT206B1					4	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT206B1-S1Fc1U5Z1B1	HT206B1					5	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT397B1-S1H3Fs1U1Bp1	HT397B1					1	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT397B1-S1H2Fs4U1Bp1	HT397B1					1	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT397B1-S1H3A1U1Bp1	HT397B1					1	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT397B1-S1H3A1U21Bp1	HT397B1					21	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT397B1-S1H3A1U41Bp1	HT397B1					41	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT397B1-S1H3A1U61Bp1	HT397B1					61	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT891Z1-S2H3Fp1U2	HT891Z1					2	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT891Z1-S2H3Fp1U33	HT891Z1					33	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1U2	HT704B1					2	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1U51	HT704B1					51	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT891Z1-S2H3Fp1U1	HT891Z1					1	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT891Z1-S2H3Fp1U21	HT891Z1					21	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT891Z1-S2H3Fp1U32	HT891Z1					32	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT891Z1-S2H3Fp1U44	HT891Z1					44	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT891Z1-S2H3Fp1U59	HT891Z1					59	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT891Z1-S2H3Fp1U69	HT891Z1					69	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT891Z1-S2H3Fp1U104	HT891Z1					104	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT891Z1-S2H3Fp1U81	HT891Z1					81	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT891Z1-S2H3Fp1U94	HT891Z1					94	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT913Z1-S2H1Fp1U101	HT913Z1					101	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT913Z1-S2H1Fp1U33	HT913Z1					33	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT913Z1-S2H1Fp1U34	HT913Z1					34	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT913Z1-S2H1Fp1U35	HT913Z1					35	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT913Z1-S2H1Fp1U61	HT913Z1					61	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT913Z1-S2H1Fp1U81	HT913Z1					81	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT913Z1-S2H1Fp1U1	HT913Z1					1	Xenium	Xenium	3d-analysis tracking: 3d-analysis_xenium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Xenium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
