go_id	raw_size	covered_size	n_input	n_readout	representative
GOBP_G_PROTEIN_COUPLED_OPIOID_RECEPTOR_SIGNALING_PATHWAY	12	9	5	4	GOBP_G_PROTEIN_COUPLED_OPIOID_RECEPTOR_SIGNALING_PATHWAY
GOBP_G_PROTEIN_COUPLED_OPSIN_SIGNALING_PATHWAY	13	7	4	3	GOBP_G_PROTEIN_COUPLED_OPSIN_SIGNALING_PATHWAY
GOBP_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY	14	9	5	4	GOBP_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY
GOBP_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY	12	4	2	2	GOBP_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY
GOBP_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	16	6	3	3	GOBP_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1349	802	401	401	GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER	56	42	21	21	GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_PROCESS	7	4	2	2	GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_PROCESS
GOBP_G_PROTEIN_COUPLED_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	19	10	5	5	GOBP_G_PROTEIN_COUPLED_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY
GOBP_HAIR_CELL_DIFFERENTIATION	59	30	15	15	GOBP_HAIR_CELL_DIFFERENTIATION
GOBP_HAIR_FOLLICLE_MATURATION	15	9	5	4	GOBP_HAIR_FOLLICLE_MATURATION
GOBP_HAIR_FOLLICLE_PLACODE_FORMATION	6	3	2	1	GOBP_HAIR_FOLLICLE_PLACODE_FORMATION
GOBP_HARD_PALATE_DEVELOPMENT	9	7	4	3	GOBP_HARD_PALATE_DEVELOPMENT
GOBP_HEAD_DEVELOPMENT	808	397	199	198	GOBP_HEAD_DEVELOPMENT
GOBP_HEAD_MORPHOGENESIS	40	18	9	9	GOBP_HEAD_MORPHOGENESIS
GOBP_HEART_DEVELOPMENT	633	316	158	158	GOBP_HEART_DEVELOPMENT
GOBP_HEART_FIELD_SPECIFICATION	18	10	5	5	GOBP_HEART_FIELD_SPECIFICATION
GOBP_HEART_FORMATION	34	18	9	9	GOBP_HEART_FORMATION
GOBP_HEART_GROWTH	104	52	26	26	GOBP_HEART_GROWTH
GOBP_HEART_MORPHOGENESIS	278	151	76	75	GOBP_HEART_MORPHOGENESIS
GOBP_HEART_PROCESS	275	155	78	77	GOBP_HEART_PROCESS
GOBP_HEART_TRABECULA_FORMATION	15	11	6	5	GOBP_HEART_TRABECULA_FORMATION
GOBP_HEART_TRABECULA_MORPHOGENESIS	34	21	11	10	GOBP_HEART_TRABECULA_MORPHOGENESIS
GOBP_HEART_VALVE_DEVELOPMENT	77	49	25	24	GOBP_HEART_VALVE_DEVELOPMENT
GOBP_HEART_VALVE_FORMATION	16	9	5	4	GOBP_HEART_VALVE_FORMATION
GOBP_HEART_VALVE_MORPHOGENESIS	63	42	21	21	GOBP_HEART_VALVE_MORPHOGENESIS
GOBP_HEAT_ACCLIMATION	6	5	3	2	GOBP_HEAT_ACCLIMATION
GOBP_HEAT_GENERATION	19	14	7	7	GOBP_HEAT_GENERATION
GOBP_HEMATOPOIETIC_OR_LYMPHOID_ORGAN_DEVELOPMENT	106	54	27	27	GOBP_HEMATOPOIETIC_OR_LYMPHOID_ORGAN_DEVELOPMENT
GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	136	71	36	35	GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION
GOBP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION	37	18	9	9	GOBP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION
GOBP_HEMATOPOIETIC_STEM_CELL_HOMEOSTASIS	29	14	7	7	GOBP_HEMATOPOIETIC_STEM_CELL_HOMEOSTASIS
GOBP_HEMATOPOIETIC_STEM_CELL_MIGRATION	10	6	3	3	GOBP_HEMATOPOIETIC_STEM_CELL_MIGRATION
GOBP_HEMATOPOIETIC_STEM_CELL_MIGRATION_TO_BONE_MARROW	5	4	2	2	GOBP_HEMATOPOIETIC_STEM_CELL_MIGRATION_TO_BONE_MARROW
GOBP_HEMATOPOIETIC_STEM_CELL_PROLIFERATION	37	20	10	10	GOBP_HEMATOPOIETIC_STEM_CELL_PROLIFERATION
GOBP_HEME_A_METABOLIC_PROCESS	10	3	2	1	GOBP_HEME_A_METABOLIC_PROCESS
GOBP_HEME_B_METABOLIC_PROCESS	10	4	2	2	GOBP_HEME_B_METABOLIC_PROCESS
GOBP_HEME_TRANSPORT	9	3	2	1	GOBP_HEME_TRANSPORT
GOBP_HEMIDESMOSOME_ASSEMBLY	6	5	3	2	GOBP_HEMIDESMOSOME_ASSEMBLY
GOBP_HEMOGLOBIN_BIOSYNTHETIC_PROCESS	14	7	4	3	GOBP_HEMOGLOBIN_BIOSYNTHETIC_PROCESS
GOBP_HEMOGLOBIN_METABOLIC_PROCESS	19	9	5	4	GOBP_HEMOGLOBIN_METABOLIC_PROCESS
GOBP_HEMOPOIESIS	998	513	257	256	GOBP_HEMOPOIESIS
GOBP_HEMOSTASIS	250	146	73	73	GOBP_HEMOSTASIS
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS	34	15	8	7	GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS	46	18	9	9	GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS
GOBP_HEPARIN_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS	11	5	3	2	GOBP_HEPARIN_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS
GOBP_HEPARIN_PROTEOGLYCAN_METABOLIC_PROCESS	17	8	4	4	GOBP_HEPARIN_PROTEOGLYCAN_METABOLIC_PROCESS
GOBP_HEPATICOBILIARY_SYSTEM_DEVELOPMENT	145	79	40	39	GOBP_HEPATICOBILIARY_SYSTEM_DEVELOPMENT
GOBP_HEPATIC_STELLATE_CELL_ACTIVATION	9	6	3	3	GOBP_HEPATIC_STELLATE_CELL_ACTIVATION
GOBP_HEPATOCYTE_APOPTOTIC_PROCESS	20	5	3	2	GOBP_HEPATOCYTE_APOPTOTIC_PROCESS
GOBP_HEPATOCYTE_DIFFERENTIATION	14	10	5	5	GOBP_HEPATOCYTE_DIFFERENTIATION
GOBP_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	12	8	4	4	GOBP_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY
GOBP_HETEROCHROMATIN_FORMATION	161	52	26	26	GOBP_HETEROCHROMATIN_FORMATION
GOBP_HETEROCHROMATIN_ORGANIZATION	12	5	3	2	GOBP_HETEROCHROMATIN_ORGANIZATION
GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	47	29	15	14	GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES
GOBP_HETEROTYPIC_CELL_CELL_ADHESION	63	43	22	21	GOBP_HETEROTYPIC_CELL_CELL_ADHESION
GOBP_HEXOSE_PHOSPHATE_TRANSPORT	7	3	2	1	GOBP_HEXOSE_PHOSPHATE_TRANSPORT
GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_ASSEMBLY	13	5	3	2	GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_ASSEMBLY
GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	18	7	4	3	GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE
GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING	21	15	8	7	GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING
GOBP_HINDBRAIN_DEVELOPMENT	163	86	43	43	GOBP_HINDBRAIN_DEVELOPMENT
GOBP_HINDBRAIN_MORPHOGENESIS	48	23	12	11	GOBP_HINDBRAIN_MORPHOGENESIS
GOBP_HINDBRAIN_RADIAL_GLIA_GUIDED_CELL_MIGRATION	9	5	3	2	GOBP_HINDBRAIN_RADIAL_GLIA_GUIDED_CELL_MIGRATION
GOBP_HINDBRAIN_TANGENTIAL_CELL_MIGRATION	5	4	2	2	GOBP_HINDBRAIN_TANGENTIAL_CELL_MIGRATION
GOBP_HINDGUT_DEVELOPMENT	8	7	4	3	GOBP_HINDGUT_DEVELOPMENT
GOBP_HINDLIMB_MORPHOGENESIS	36	25	13	12	GOBP_HINDLIMB_MORPHOGENESIS
GOBP_HIPPOCAMPAL_NEURON_APOPTOTIC_PROCESS	8	4	2	2	GOBP_HIPPOCAMPAL_NEURON_APOPTOTIC_PROCESS
GOBP_HIPPOCAMPUS_DEVELOPMENT	94	49	25	24	GOBP_HIPPOCAMPUS_DEVELOPMENT
GOBP_HIPPO_SIGNALING	58	20	10	10	GOBP_HIPPO_SIGNALING
GOBP_HISTAMINE_METABOLIC_PROCESS	6	4	2	2	GOBP_HISTAMINE_METABOLIC_PROCESS
GOBP_HISTAMINE_SECRETION	14	7	4	3	GOBP_HISTAMINE_SECRETION
GOBP_HISTAMINE_TRANSPORT	17	9	5	4	GOBP_HISTAMINE_TRANSPORT
GOBP_HISTONE_MRNA_CATABOLIC_PROCESS	15	4	2	2	GOBP_HISTONE_MRNA_CATABOLIC_PROCESS
GOBP_HISTONE_MRNA_METABOLIC_PROCESS	24	5	3	2	GOBP_HISTONE_MRNA_METABOLIC_PROCESS
GOBP_HIS_PURKINJE_SYSTEM_DEVELOPMENT	7	7	4	3	GOBP_HIS_PURKINJE_SYSTEM_DEVELOPMENT
GOBP_HOMEOSTASIS_OF_NUMBER_OF_CELLS	360	180	90	90	GOBP_HOMEOSTASIS_OF_NUMBER_OF_CELLS
GOBP_HOMEOSTASIS_OF_NUMBER_OF_CELLS_WITHIN_A_TISSUE	43	22	11	11	GOBP_HOMEOSTASIS_OF_NUMBER_OF_CELLS_WITHIN_A_TISSUE
GOBP_HOMEOSTATIC_PROCESS	1812	962	481	481	GOBP_HOMEOSTATIC_PROCESS
GOBP_HOMOCYSTEINE_METABOLIC_PROCESS	15	7	4	3	GOBP_HOMOCYSTEINE_METABOLIC_PROCESS
GOBP_HOMOLOGOUS_CHROMOSOME_PAIRING_AT_MEIOSIS	54	26	13	13	GOBP_HOMOLOGOUS_CHROMOSOME_PAIRING_AT_MEIOSIS
GOBP_HOMOLOGOUS_CHROMOSOME_SEGREGATION	68	32	16	16	GOBP_HOMOLOGOUS_CHROMOSOME_SEGREGATION
GOBP_HOMOLOGOUS_RECOMBINATION	68	35	18	17	GOBP_HOMOLOGOUS_RECOMBINATION
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	171	102	51	51	GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES
GOBP_HOMOTYPIC_CELL_CELL_ADHESION	105	61	31	30	GOBP_HOMOTYPIC_CELL_CELL_ADHESION
GOBP_HORMONE_BIOSYNTHETIC_PROCESS	65	37	19	18	GOBP_HORMONE_BIOSYNTHETIC_PROCESS
GOBP_HORMONE_CATABOLIC_PROCESS	14	10	5	5	GOBP_HORMONE_CATABOLIC_PROCESS
GOBP_HORMONE_MEDIATED_APOPTOTIC_SIGNALING_PATHWAY	5	5	3	2	GOBP_HORMONE_MEDIATED_APOPTOTIC_SIGNALING_PATHWAY
GOBP_HORMONE_MEDIATED_SIGNALING_PATHWAY	236	107	54	53	GOBP_HORMONE_MEDIATED_SIGNALING_PATHWAY
GOBP_HORMONE_METABOLIC_PROCESS	246	150	75	75	GOBP_HORMONE_METABOLIC_PROCESS
GOBP_HORMONE_TRANSPORT	344	210	105	105	GOBP_HORMONE_TRANSPORT
GOBP_HOST_MEDIATED_REGULATION_OF_INTESTINAL_MICROBIOTA_COMPOSITION	10	5	3	2	GOBP_HOST_MEDIATED_REGULATION_OF_INTESTINAL_MICROBIOTA_COMPOSITION
GOBP_HOST_MEDIATED_SUPPRESSION_OF_SYMBIONT_INVASION	24	13	7	6	GOBP_HOST_MEDIATED_SUPPRESSION_OF_SYMBIONT_INVASION
GOBP_HUMORAL_IMMUNE_RESPONSE	307	201	101	100	GOBP_HUMORAL_IMMUNE_RESPONSE
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	53	39	20	19	GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN
GOBP_HYALOID_VASCULAR_PLEXUS_REGRESSION	7	3	2	1	GOBP_HYALOID_VASCULAR_PLEXUS_REGRESSION
GOBP_HYALURONAN_BIOSYNTHETIC_PROCESS	13	10	5	5	GOBP_HYALURONAN_BIOSYNTHETIC_PROCESS
GOBP_HYALURONAN_CATABOLIC_PROCESS	16	10	5	5	GOBP_HYALURONAN_CATABOLIC_PROCESS
GOBP_HYALURONAN_METABOLIC_PROCESS	34	24	12	12	GOBP_HYALURONAN_METABOLIC_PROCESS
GOBP_HYDROCARBON_METABOLIC_PROCESS	7	4	2	2	GOBP_HYDROCARBON_METABOLIC_PROCESS
GOBP_HYDROGEN_PEROXIDE_BIOSYNTHETIC_PROCESS	17	10	5	5	GOBP_HYDROGEN_PEROXIDE_BIOSYNTHETIC_PROCESS
GOBP_HYDROGEN_PEROXIDE_CATABOLIC_PROCESS	32	20	10	10	GOBP_HYDROGEN_PEROXIDE_CATABOLIC_PROCESS
GOBP_HYDROGEN_PEROXIDE_METABOLIC_PROCESS	56	33	17	16	GOBP_HYDROGEN_PEROXIDE_METABOLIC_PROCESS
GOBP_HYPEROSMOTIC_RESPONSE	30	17	9	8	GOBP_HYPEROSMOTIC_RESPONSE
GOBP_HYPEROSMOTIC_SALINITY_RESPONSE	10	6	3	3	GOBP_HYPEROSMOTIC_SALINITY_RESPONSE
GOBP_HYPERSENSITIVITY	21	16	8	8	GOBP_HYPERSENSITIVITY
GOBP_HYPOTHALAMUS_CELL_DIFFERENTIATION	13	11	6	5	GOBP_HYPOTHALAMUS_CELL_DIFFERENTIATION
GOBP_HYPOTHALAMUS_CELL_MIGRATION	8	6	3	3	GOBP_HYPOTHALAMUS_CELL_MIGRATION
GOBP_HYPOTHALAMUS_DEVELOPMENT	30	23	12	11	GOBP_HYPOTHALAMUS_DEVELOPMENT
GOBP_HYPOTHALAMUS_GONADOTROPHIN_RELEASING_HORMONE_NEURON_DIFFERENTIATION	8	6	3	3	GOBP_HYPOTHALAMUS_GONADOTROPHIN_RELEASING_HORMONE_NEURON_DIFFERENTIATION
GOBP_HYPOTONIC_RESPONSE	13	11	6	5	GOBP_HYPOTONIC_RESPONSE
GOBP_HYPOXIA_INDUCIBLE_FACTOR_1ALPHA_SIGNALING_PATHWAY	8	3	2	1	GOBP_HYPOXIA_INDUCIBLE_FACTOR_1ALPHA_SIGNALING_PATHWAY
GOBP_ICOSANOID_BIOSYNTHETIC_PROCESS	62	35	18	17	GOBP_ICOSANOID_BIOSYNTHETIC_PROCESS
GOBP_ICOSANOID_CATABOLIC_PROCESS	9	5	3	2	GOBP_ICOSANOID_CATABOLIC_PROCESS
GOBP_ICOSANOID_METABOLIC_PROCESS	124	66	33	33	GOBP_ICOSANOID_METABOLIC_PROCESS
GOBP_ICOSANOID_SECRETION	44	31	16	15	GOBP_ICOSANOID_SECRETION
GOBP_ICOSANOID_TRANSPORT	61	41	21	20	GOBP_ICOSANOID_TRANSPORT
GOBP_IMIDAZOLE_CONTAINING_COMPOUND_METABOLIC_PROCESS	12	7	4	3	GOBP_IMIDAZOLE_CONTAINING_COMPOUND_METABOLIC_PROCESS
GOBP_IMMATURE_B_CELL_DIFFERENTIATION	16	9	5	4	GOBP_IMMATURE_B_CELL_DIFFERENTIATION
GOBP_IMMATURE_T_CELL_PROLIFERATION	15	7	4	3	GOBP_IMMATURE_T_CELL_PROLIFERATION
GOBP_IMMUNE_COMPLEX_CLEARANCE	5	4	2	2	GOBP_IMMUNE_COMPLEX_CLEARANCE
GOBP_IMMUNE_EFFECTOR_PROCESS	745	391	196	195	GOBP_IMMUNE_EFFECTOR_PROCESS
GOBP_IMMUNE_RESPONSE_INHIBITING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	9	4	2	2	GOBP_IMMUNE_RESPONSE_INHIBITING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY
GOBP_IMMUNE_RESPONSE_INHIBITING_SIGNAL_TRANSDUCTION	11	4	2	2	GOBP_IMMUNE_RESPONSE_INHIBITING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	380	195	98	97	GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_PHAGOCYTOSIS	25	9	5	4	GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_PHAGOCYTOSIS
GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	617	295	148	147	GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY
GOBP_IMMUNE_RESPONSE_TO_TUMOR_CELL	34	21	11	10	GOBP_IMMUNE_RESPONSE_TO_TUMOR_CELL
GOBP_IMMUNE_SYSTEM_DEVELOPMENT	210	100	50	50	GOBP_IMMUNE_SYSTEM_DEVELOPMENT
GOBP_IMMUNOGLOBULIN_PRODUCTION	112	60	30	30	GOBP_IMMUNOGLOBULIN_PRODUCTION
GOBP_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE	59	28	14	14	GOBP_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE
GOBP_IMMUNOGLOBULIN_V_D_J_RECOMBINATION	8	4	2	2	GOBP_IMMUNOGLOBULIN_V_D_J_RECOMBINATION
GOBP_IMMUNOLOGICAL_MEMORY_FORMATION_PROCESS	14	12	6	6	GOBP_IMMUNOLOGICAL_MEMORY_FORMATION_PROCESS
GOBP_IMMUNOLOGICAL_MEMORY_PROCESS	21	16	8	8	GOBP_IMMUNOLOGICAL_MEMORY_PROCESS
GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION	18	14	7	7	GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION
GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE	219	123	62	61	GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE
GOBP_IMPORT_INTO_CELL	955	460	230	230	GOBP_IMPORT_INTO_CELL
GOBP_IMPORT_INTO_NUCLEUS	178	75	38	37	GOBP_IMPORT_INTO_NUCLEUS
GOBP_IMPORT_INTO_THE_MITOCHONDRION	54	25	13	12	GOBP_IMPORT_INTO_THE_MITOCHONDRION
GOBP_IMP_BIOSYNTHETIC_PROCESS	11	4	2	2	GOBP_IMP_BIOSYNTHETIC_PROCESS
GOBP_IMP_CATABOLIC_PROCESS	5	3	2	1	GOBP_IMP_CATABOLIC_PROCESS
GOBP_IMP_METABOLIC_PROCESS	18	7	4	3	GOBP_IMP_METABOLIC_PROCESS
GOBP_INCLUSION_BODY_ASSEMBLY	32	17	9	8	GOBP_INCLUSION_BODY_ASSEMBLY
GOBP_INDOLALKYLAMINE_METABOLIC_PROCESS	14	5	3	2	GOBP_INDOLALKYLAMINE_METABOLIC_PROCESS
GOBP_INDOLE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	6	4	2	2	GOBP_INDOLE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS
GOBP_INDOLE_CONTAINING_COMPOUND_CATABOLIC_PROCESS	9	5	3	2	GOBP_INDOLALKYLAMINE_METABOLIC_PROCESS
GOBP_INDOLE_CONTAINING_COMPOUND_METABOLIC_PROCESS	27	13	7	6	GOBP_INDOLE_CONTAINING_COMPOUND_METABOLIC_PROCESS
GOBP_INDUCTION_OF_BACTERIAL_AGGLUTINATION	6	4	2	2	GOBP_INDUCTION_OF_BACTERIAL_AGGLUTINATION
GOBP_INDUCTION_OF_POSITIVE_CHEMOTAXIS	15	9	5	4	GOBP_INDUCTION_OF_POSITIVE_CHEMOTAXIS
GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY	60	22	11	11	GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY
GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS	23	13	7	6	GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS
GOBP_INFLAMMATORY_RESPONSE	961	535	268	267	GOBP_INFLAMMATORY_RESPONSE
GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	79	39	20	19	GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS
GOBP_INFLAMMATORY_RESPONSE_TO_WOUNDING	30	19	10	9	GOBP_INFLAMMATORY_RESPONSE_TO_WOUNDING
GOBP_INHIBITION_OF_NEUROEPITHELIAL_CELL_DIFFERENTIATION	7	4	2	2	GOBP_INHIBITION_OF_NEUROEPITHELIAL_CELL_DIFFERENTIATION
GOBP_INHIBITORY_POSTSYNAPTIC_POTENTIAL	17	14	7	7	GOBP_INHIBITORY_POSTSYNAPTIC_POTENTIAL
GOBP_INHIBITORY_SYNAPSE_ASSEMBLY	29	22	11	11	GOBP_INHIBITORY_SYNAPSE_ASSEMBLY
GOBP_INNATE_IMMUNE_RESPONSE_ACTIVATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	104	41	21	20	GOBP_INNATE_IMMUNE_RESPONSE_ACTIVATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY
GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA	27	11	6	5	GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA
GOBP_INNERVATION	30	19	10	9	GOBP_INNERVATION
GOBP_INNER_CELL_MASS_CELL_DIFFERENTIATION	10	7	4	3	GOBP_INNER_CELL_MASS_CELL_DIFFERENTIATION
GOBP_INNER_CELL_MASS_CELL_PROLIFERATION	15	9	5	4	GOBP_INNER_CELL_MASS_CELL_PROLIFERATION
GOBP_INNER_DYNEIN_ARM_ASSEMBLY	17	7	4	3	GOBP_INNER_DYNEIN_ARM_ASSEMBLY
GOBP_INNER_EAR_MORPHOGENESIS	114	78	39	39	GOBP_INNER_EAR_MORPHOGENESIS
GOBP_INNER_EAR_RECEPTOR_CELL_DEVELOPMENT	54	27	14	13	GOBP_INNER_EAR_RECEPTOR_CELL_DEVELOPMENT
GOBP_INNER_EAR_RECEPTOR_CELL_STEREOCILIUM_ORGANIZATION	40	19	10	9	GOBP_INNER_EAR_RECEPTOR_CELL_STEREOCILIUM_ORGANIZATION
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION	45	22	11	11	GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION
GOBP_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORT	135	87	44	43	GOBP_INORGANIC_ANION_TRANSMEMBRANE_TRANSPORT
GOBP_INORGANIC_ANION_TRANSPORT	177	114	57	57	GOBP_INORGANIC_ANION_TRANSPORT
GOBP_INORGANIC_ION_HOMEOSTASIS	548	315	158	157	GOBP_INORGANIC_ION_HOMEOSTASIS
GOBP_INORGANIC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	139	76	38	38	GOBP_INORGANIC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE
GOBP_INOSINE_METABOLIC_PROCESS	5	3	2	1	GOBP_INOSINE_METABOLIC_PROCESS
GOBP_INOSITOL_METABOLIC_PROCESS	9	5	3	2	GOBP_INOSITOL_METABOLIC_PROCESS
GOBP_INOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS	26	16	8	8	GOBP_INOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS
GOBP_INOSITOL_PHOSPHATE_METABOLIC_PROCESS	42	24	12	12	GOBP_INOSITOL_PHOSPHATE_METABOLIC_PROCESS
GOBP_INOSITOL_TRISPHOSPHATE_BIOSYNTHETIC_PROCESS	7	6	3	3	GOBP_INOSITOL_TRISPHOSPHATE_BIOSYNTHETIC_PROCESS
GOBP_INOSITOL_TRISPHOSPHATE_METABOLIC_PROCESS	11	8	4	4	GOBP_INOSITOL_TRISPHOSPHATE_METABOLIC_PROCESS
GOBP_INSEMINATION	11	7	4	3	GOBP_INSEMINATION
GOBP_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	54	24	12	12	GOBP_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY
GOBP_INSULIN_METABOLIC_PROCESS	18	9	5	4	GOBP_INSULIN_METABOLIC_PROCESS
GOBP_INSULIN_PROCESSING	9	4	2	2	GOBP_INSULIN_PROCESSING
GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY	137	48	24	24	GOBP_INSULIN_RECEPTOR_SIGNALING_PATHWAY
GOBP_INSULIN_SECRETION	213	120	60	60	GOBP_INSULIN_SECRETION
GOBP_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS	75	35	18	17	GOBP_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS
GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING	51	25	13	12	GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING
GOBP_INTEGRIN_ACTIVATION	27	15	8	7	GOBP_INTEGRIN_ACTIVATION
GOBP_INTEGRIN_BIOSYNTHETIC_PROCESS	5	3	2	1	GOBP_INTEGRIN_BIOSYNTHETIC_PROCESS
GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	119	74	37	37	GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY
GOBP_INTERCELLULAR_TRANSPORT	10	7	4	3	GOBP_INTERCELLULAR_TRANSPORT
GOBP_INTERFERON_ALPHA_PRODUCTION	32	14	7	7	GOBP_INTERFERON_ALPHA_PRODUCTION
GOBP_INTERFERON_BETA_PRODUCTION	63	21	11	10	GOBP_INTERFERON_BETA_PRODUCTION
GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY	113	49	25	24	GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY
