go_id	raw_size	covered_size	n_input	n_readout	representative
GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	20	10	5	5	GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY
GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	11	5	3	2	GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	190	115	58	57	GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY
GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	6	4	2	2	GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY	8	7	4	3	GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	9	6	3	3	GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	87	58	29	29	GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY
GOBP_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	10	6	3	3	GOBP_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	279	178	89	89	GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY
GOBP_ADHERENS_JUNCTION_ASSEMBLY	15	10	5	5	GOBP_ADHERENS_JUNCTION_ASSEMBLY
GOBP_ADHERENS_JUNCTION_MAINTENANCE	7	4	2	2	GOBP_ADHERENS_JUNCTION_MAINTENANCE
GOBP_ADHERENS_JUNCTION_ORGANIZATION	59	39	20	19	GOBP_ADHERENS_JUNCTION_ORGANIZATION
GOBP_ADHESION_OF_SYMBIONT_TO_HOST	15	14	7	7	GOBP_ADHESION_OF_SYMBIONT_TO_HOST
GOBP_ADHESION_OF_SYMBIONT_TO_HOST_CELL	11	10	5	5	GOBP_ADHESION_OF_SYMBIONT_TO_HOST_CELL
GOBP_ADIPONECTIN_ACTIVATED_SIGNALING_PATHWAY	8	4	2	2	GOBP_ADIPONECTIN_ACTIVATED_SIGNALING_PATHWAY
GOBP_ADIPOSE_TISSUE_DEVELOPMENT	70	33	17	16	GOBP_ADIPOSE_TISSUE_DEVELOPMENT
GOBP_ADP_TRANSPORT	12	5	3	2	GOBP_ADP_TRANSPORT
GOBP_ADRENAL_GLAND_DEVELOPMENT	27	17	9	8	GOBP_ADRENAL_GLAND_DEVELOPMENT
GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	33	17	9	8	GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY
GOBP_ADRENOMEDULLIN_RECEPTOR_SIGNALING_PATHWAY	5	4	2	2	GOBP_ADRENOMEDULLIN_RECEPTOR_SIGNALING_PATHWAY
GOBP_ADULT_BEHAVIOR	154	88	44	44	GOBP_ADULT_BEHAVIOR
GOBP_ADULT_FEEDING_BEHAVIOR	10	6	3	3	GOBP_ADULT_FEEDING_BEHAVIOR
GOBP_ADULT_HEART_DEVELOPMENT	14	9	5	4	GOBP_ADULT_HEART_DEVELOPMENT
GOBP_ADULT_LOCOMOTORY_BEHAVIOR	85	44	22	22	GOBP_ADULT_LOCOMOTORY_BEHAVIOR
GOBP_AEROBIC_RESPIRATION	198	84	42	42	GOBP_AEROBIC_RESPIRATION
GOBP_AGGREPHAGY	18	6	3	3	GOBP_AGGREPHAGY
GOBP_AGGRESOME_ASSEMBLY	6	3	2	1	GOBP_AGGRESOME_ASSEMBLY
GOBP_AGGRESSIVE_BEHAVIOR	9	6	3	3	GOBP_AGGRESSIVE_BEHAVIOR
GOBP_ALANINE_METABOLIC_PROCESS	5	3	2	1	GOBP_ALANINE_METABOLIC_PROCESS
GOBP_ALANINE_TRANSPORT	18	12	6	6	GOBP_ALANINE_TRANSPORT
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	150	88	44	44	GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS
GOBP_ALCOHOL_CATABOLIC_PROCESS	38	21	11	10	GOBP_ALCOHOL_CATABOLIC_PROCESS
GOBP_ALCOHOL_METABOLIC_PROCESS	369	207	104	103	GOBP_ALCOHOL_METABOLIC_PROCESS
