go_id	raw_size	covered_size	reason
GOBP_DE_NOVO_AMP_BIOSYNTHETIC_PROCESS	8	2	covered<3
GOBP_DE_NOVO_CENTRIOLE_ASSEMBLY	6	2	covered<3
GOBP_DE_NOVO_CENTRIOLE_ASSEMBLY_INVOLVED_IN_MULTI_CILIATED_EPITHELIAL_CELL_DIFFERENTIATION	5	2	covered<3
GOBP_DE_NOVO_IMP_BIOSYNTHETIC_PROCESS	6	2	covered<3
GOBP_DIACYLGLYCEROL_CATABOLIC_PROCESS	6	1	covered<3
GOBP_DIADENOSINE_POLYPHOSPHATE_CATABOLIC_PROCESS	6	2	covered<3
GOBP_DIADENOSINE_POLYPHOSPHATE_METABOLIC_PROCESS	8	2	covered<3
GOBP_DIPHOSPHOINOSITOL_POLYPHOSPHATE_METABOLIC_PROCESS	5	1	covered<3
GOBP_DNA_ALKYLATION_REPAIR	11	0	covered<3
GOBP_DNA_ENDOREDUPLICATION	5	1	covered<3
GOBP_DNA_INTEGRATION	8	0	covered<3
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_SINGLE_STRAND_ANNEALING	8	1	covered<3
GOBP_DUMP_CATABOLIC_PROCESS	6	1	covered<3
GOBP_DUMP_METABOLIC_PROCESS	8	2	covered<3
GOBP_D_GLUCURONATE_CATABOLIC_PROCESS_TO_D_XYLULOSE_5_PHOSPHATE	5	1	covered<3
GOBP_EMBRYONIC_HEART_TUBE_LEFT_RIGHT_PATTERN_FORMATION	6	2	covered<3
GOBP_ENDOCARDIAL_CUSHION_FUSION	5	2	covered<3
GOBP_ENDOPLASMIC_RETICULUM_MEMBRANE_FUSION	5	1	covered<3
GOBP_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK_FORMATION	6	1	covered<3
GOBP_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK_MEMBRANE_ORGANIZATION	5	1	covered<3
GOBP_ENDOSOMAL_LUMEN_ACIDIFICATION	14	2	covered<3
GOBP_ENDOSOMAL_VESICLE_FUSION	15	2	covered<3
GOBP_EPIDERMAL_CELL_FATE_SPECIFICATION	5	2	covered<3
GOBP_EPINEPHRINE_METABOLIC_PROCESS	5	0	covered<3
