go_id	rep_id	n_input	n_readout	disc_QC_med	STCRC_mol	STCRC_dM1	STCRC_dM2	USZ_mol	USZ_dM1	USZ_dM2
GOBP_EPITHELIAL_CELL_APOPTOTIC_PROCESS	GOBP_EPITHELIAL_CELL_APOPTOTIC_PROCESS	19	19	0.0648	0.7850	7.21	3.21	0.6156	61.62	27.38
GOBP_EPITHELIAL_CELL_CELL_ADHESION	GOBP_EPITHELIAL_CELL_CELL_ADHESION	4	4	0.0434	0.4374	-0.43	-0.40	0.2812	42.92	29.27
GOBP_EPITHELIAL_CELL_DEVELOPMENT	GOBP_EPITHELIAL_CELL_DEVELOPMENT	65	65	0.0925	0.9059	31.30	4.24	0.8021	69.46	11.67
GOBP_EPITHELIAL_CELL_DIFFERENTIATION	GOBP_EPITHELIAL_CELL_DIFFERENTIATION	234	233	0.1866	0.9650	58.67	3.15	0.9258	91.30	4.73
GOBP_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	GOBP_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	18	17	0.0522	0.5881	2.95	-0.43	0.3984	13.56	8.32
GOBP_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_PROSTATE_GLAND_DEVELOPMENT	GOBP_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_PROSTATE_GLAND_DEVELOPMENT	4	3	0.0364	0.1379	-1.00	-1.05	0.2405	4.12	-0.11
GOBP_EPITHELIAL_CELL_FATE_COMMITMENT	GOBP_EPITHELIAL_CELL_FATE_COMMITMENT	6	5	0.0375	0.1879	0.04	0.05	0.1037	-1.31	-0.14
GOBP_EPITHELIAL_CELL_MATURATION	GOBP_EPITHELIAL_CELL_MATURATION	8	8	0.0553	0.4701	1.21	0.55	0.2934	13.61	6.29
GOBP_EPITHELIAL_CELL_MORPHOGENESIS	GOBP_EPITHELIAL_CELL_MORPHOGENESIS	13	12	0.0838	0.7487	11.13	3.18	0.5535	45.21	7.10
GOBP_EPITHELIAL_CELL_PROLIFERATION	GOBP_EPITHELIAL_CELL_PROLIFERATION	140	139	0.1258	0.9404	42.24	4.75	0.9039	84.42	12.21
GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_LUNG_MORPHOGENESIS	GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_LUNG_MORPHOGENESIS	4	3	0.0323	0.0305	-0.76	-2.11	0.0981	18.16	10.26
GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_MAMMARY_GLAND_DUCT_ELONGATION	GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_MAMMARY_GLAND_DUCT_ELONGATION	2	1	0.0204	0.1459	1.03	3.47	0.0985	4.27	8.86
GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_PROSTATE_GLAND_DEVELOPMENT	GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_PROSTATE_GLAND_DEVELOPMENT	3	2	0.0302	0.0638	0.90	-0.28	0.0922	2.49	5.50
GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_RENAL_TUBULE_MORPHOGENESIS	GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_RENAL_TUBULE_MORPHOGENESIS	2	1	0.0597	0.0315	0.01	0.25	0.0508	16.77	28.80
GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SALIVARY_GLAND_MORPHOGENESIS	GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SALIVARY_GLAND_MORPHOGENESIS	2	2	0.0161	0.0284	0.00	-0.30	0.0504	4.06	1.25
GOBP_EPITHELIAL_CILIUM_MOVEMENT_INVOLVED_IN_DETERMINATION_OF_LEFT_RIGHT_ASYMMETRY	GOBP_EPITHELIAL_CILIUM_MOVEMENT_INVOLVED_IN_DETERMINATION_OF_LEFT_RIGHT_ASYMMETRY	2	1	0.0011	-0.0088	0.00	0.02	0.0256	0.20	0.45
GOBP_EPITHELIAL_FLUID_TRANSPORT	GOBP_EPITHELIAL_FLUID_TRANSPORT	5	5	0.0446	0.1917	-0.42	-0.51	0.1059	-28.52	-3.35
GOBP_EPITHELIAL_MESENCHYMAL_CELL_SIGNALING	GOBP_EPITHELIAL_MESENCHYMAL_CELL_SIGNALING	3	2	0.0231	0.0961	-0.15	-0.13	0.0536	10.80	12.16
GOBP_EPITHELIAL_STRUCTURE_MAINTENANCE	GOBP_EPITHELIAL_STRUCTURE_MAINTENANCE	12	11	0.1701	0.7657	53.93	11.25	0.1908	12.71	2.96
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	53	53	0.0888	0.7994	23.20	8.23	0.7119	59.84	3.05
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_INVOLVED_IN_ENDOCARDIAL_CUSHION_FORMATION	GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_INVOLVED_IN_ENDOCARDIAL_CUSHION_FORMATION	6	6	0.0273	0.3843	5.80	3.48	0.2339	4.22	4.00
GOBP_EPITHELIAL_TUBE_BRANCHING_INVOLVED_IN_LUNG_MORPHOGENESIS	GOBP_EPITHELIAL_TUBE_BRANCHING_INVOLVED_IN_LUNG_MORPHOGENESIS	14	13	0.0363	0.6180	4.78	6.32	0.4994	55.00	16.85
GOBP_EPITHELIAL_TUBE_MORPHOGENESIS	GOBP_EPITHELIAL_TUBE_MORPHOGENESIS	103	103	0.1015	0.9115	34.26	3.41	0.8656	89.78	10.77
GOBP_EPITHELIUM_DEVELOPMENT	GOBP_EPITHELIUM_DEVELOPMENT	378	377	0.1674	0.9774	74.22	5.17	0.9546	94.52	0.22
GOBP_EPOXIDE_METABOLIC_PROCESS	GOBP_EPOXIDE_METABOLIC_PROCESS	2	2	0.0128	0.0320	-0.30	-1.13	0.0631	0.09	0.21
GOBP_EPOXYGENASE_P450_PATHWAY	GOBP_EPOXYGENASE_P450_PATHWAY	5	5	0.0680	0.1068	-0.03	-0.46	0.0363	-0.32	-0.08
GOBP_EQUILIBRIOCEPTION	GOBP_EQUILIBRIOCEPTION	3	3	0.0010	0.0055	0.06	0.22	0.0183	-0.03	-0.05
GOBP_ERAD_PATHWAY	GOBP_ERAD_PATHWAY	22	21	0.0738	0.8341	6.68	4.38	0.6671	51.89	18.32
GOBP_ERBB2_EGFR_SIGNALING_PATHWAY	GOBP_ERBB2_EGFR_SIGNALING_PATHWAY	3	3	0.1261	0.3244	2.19	0.98	0.1399	7.95	10.45
GOBP_ERBB2_ERBB4_SIGNALING_PATHWAY	GOBP_ERBB2_ERBB4_SIGNALING_PATHWAY	2	2	0.0401	0.2000	1.01	0.22	0.1120	2.19	5.54
GOBP_ERBB2_SIGNALING_PATHWAY	GOBP_ERBB2_SIGNALING_PATHWAY	7	6	0.0698	0.5857	7.46	1.01	0.1975	45.24	32.49
GOBP_ERBB3_SIGNALING_PATHWAY	GOBP_ERBB3_SIGNALING_PATHWAY	3	3	0.0375	0.4457	3.55	1.99	0.1411	21.63	13.80
GOBP_ERBB4_SIGNALING_PATHWAY	GOBP_ERBB4_SIGNALING_PATHWAY	3	3	0.0452	0.0408	-0.09	0.11	0.0733	2.15	1.25
GOBP_ERBB_SIGNALING_PATHWAY	GOBP_ERBB_SIGNALING_PATHWAY	31	30	0.1184	0.7984	2.92	2.17	0.5446	61.91	20.13
GOBP_ERK1_AND_ERK2_CASCADE	GOBP_ERK1_AND_ERK2_CASCADE	93	93	0.1115	0.9123	32.99	2.34	0.8776	67.77	6.79
GOBP_ERROR_PRONE_TRANSLESION_SYNTHESIS	GOBP_ERROR_PRONE_TRANSLESION_SYNTHESIS	3	2	0.0749	0.2122	0.37	0.63	0.0988	17.95	19.37
GOBP_ERYTHROCYTE_DEVELOPMENT	GOBP_ERYTHROCYTE_DEVELOPMENT	12	11	0.0224	0.4170	1.45	1.37	0.2929	35.66	23.15
GOBP_ERYTHROCYTE_HOMEOSTASIS	GOBP_ERYTHROCYTE_HOMEOSTASIS	39	38	0.0688	0.8304	19.38	5.97	0.7665	58.02	14.13
GOBP_ERYTHROCYTE_MATURATION	GOBP_ERYTHROCYTE_MATURATION	7	6	0.0131	0.2789	0.16	0.05	0.2146	31.14	26.30
GOBP_ERYTHROPOIETIN_MEDIATED_SIGNALING_PATHWAY	GOBP_ERYTHROPOIETIN_MEDIATED_SIGNALING_PATHWAY	2	2	0.0038	0.0246	-0.14	-0.47	0.0270	0.03	0.10
GOBP_ERYTHROSE_4_PHOSPHATE_PHOSPHOENOLPYRUVATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS	GOBP_ERYTHROSE_4_PHOSPHATE_PHOSPHOENOLPYRUVATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS	4	4	0.0299	0.1367	13.39	1.04	0.0933	0.01	0.00
GOBP_ERYTHROSE_4_PHOSPHATE_PHOSPHOENOLPYRUVATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	GOBP_ERYTHROSE_4_PHOSPHATE_PHOSPHOENOLPYRUVATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	7	6	0.0266	0.2644	11.90	1.96	0.1187	2.72	2.15
GOBP_ER_NUCLEUS_SIGNALING_PATHWAY	GOBP_ER_NUCLEUS_SIGNALING_PATHWAY	12	11	0.0659	0.7421	13.13	4.33	0.5848	44.45	18.50
GOBP_ER_OVERLOAD_RESPONSE	GOBP_ER_OVERLOAD_RESPONSE	3	3	0.1019	0.5318	1.09	0.44	0.3019	26.12	8.54
GOBP_ESCRT_COMPLEX_DISASSEMBLY	GOBP_ESCRT_COMPLEX_DISASSEMBLY	2	1	0.0130	0.3363	0.39	0.87	0.0402	9.36	22.32
GOBP_ESTABLISHMENT_OF_BLOOD_BRAIN_BARRIER	GOBP_ESTABLISHMENT_OF_BLOOD_BRAIN_BARRIER	6	5	0.0298	0.6017	5.18	2.46	0.1084	-0.69	7.51
GOBP_ESTABLISHMENT_OF_BLOOD_RETINAL_BARRIER	GOBP_ESTABLISHMENT_OF_BLOOD_RETINAL_BARRIER	2	2	0.0139	0.0076	-0.13	-0.98	0.0321	0.53	0.66
GOBP_ESTABLISHMENT_OF_CELL_POLARITY	GOBP_ESTABLISHMENT_OF_CELL_POLARITY	41	40	0.0628	0.8035	19.52	4.45	0.7253	74.72	20.12
GOBP_ESTABLISHMENT_OF_CENTROSOME_LOCALIZATION	GOBP_ESTABLISHMENT_OF_CENTROSOME_LOCALIZATION	2	2	0.0334	0.5306	5.18	3.62	0.0568	0.92	4.10
GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER	GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER	17	17	0.0744	0.7215	4.84	2.28	0.5225	27.54	6.84
GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_INTESTINAL_BARRIER	GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_INTESTINAL_BARRIER	4	3	0.0610	0.3902	-0.17	-0.11	0.1042	10.91	2.47
GOBP_ESTABLISHMENT_OF_EPITHELIAL_CELL_APICAL_BASAL_POLARITY	GOBP_ESTABLISHMENT_OF_EPITHELIAL_CELL_APICAL_BASAL_POLARITY	6	5	0.0344	0.4087	0.30	0.57	0.2959	33.42	12.86
GOBP_ESTABLISHMENT_OF_EPITHELIAL_CELL_POLARITY	GOBP_ESTABLISHMENT_OF_EPITHELIAL_CELL_POLARITY	9	8	0.0474	0.5668	1.01	1.79	0.3064	46.18	16.09
GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY	GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY	5	5	0.0389	0.2611	1.61	2.61	0.2868	1.47	4.54
GOBP_ESTABLISHMENT_OF_MEIOTIC_SPINDLE_LOCALIZATION	GOBP_ESTABLISHMENT_OF_MEIOTIC_SPINDLE_LOCALIZATION	3	3	0.0229	0.1690	0.26	0.72	0.0706	-0.41	1.13
GOBP_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION	GOBP_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION	8	7	0.0545	0.6001	1.48	1.57	0.3608	31.77	7.12
GOBP_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION_MICROTUBULE_MEDIATED	GOBP_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION_MICROTUBULE_MEDIATED	6	6	0.0430	0.5228	0.76	0.75	0.2720	25.48	6.90
GOBP_ESTABLISHMENT_OF_MITOTIC_SISTER_CHROMATID_COHESION	GOBP_ESTABLISHMENT_OF_MITOTIC_SISTER_CHROMATID_COHESION	3	2	0.0302	0.3978	1.01	2.20	0.1509	24.80	21.27
GOBP_ESTABLISHMENT_OF_MITOTIC_SPINDLE_LOCALIZATION	GOBP_ESTABLISHMENT_OF_MITOTIC_SPINDLE_LOCALIZATION	9	8	0.0423	0.5346	4.20	0.98	0.2691	54.38	39.85
GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION	GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION	102	102	0.1530	0.9292	42.07	4.30	0.8113	91.66	8.55
GOBP_ESTABLISHMENT_OF_PIGMENT_GRANULE_LOCALIZATION	GOBP_ESTABLISHMENT_OF_PIGMENT_GRANULE_LOCALIZATION	4	3	0.0199	0.1270	0.26	0.00	0.0510	3.13	0.57
GOBP_ESTABLISHMENT_OF_PLANAR_POLARITY_OF_EMBRYONIC_EPITHELIUM	GOBP_ESTABLISHMENT_OF_PLANAR_POLARITY_OF_EMBRYONIC_EPITHELIUM	2	2	0.0192	0.0389	0.22	-0.19	0.0773	14.61	21.87
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	348	348	0.1808	0.9833	72.93	2.49	0.9630	96.12	1.72
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME	3	3	0.0386	0.3694	3.27	2.04	0.2288	36.49	21.59
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	7	7	0.0245	0.6911	6.79	3.99	0.4188	30.32	24.77
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	49	49	0.0804	0.9223	30.05	4.03	0.7852	78.03	10.02
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE	6	5	0.0575	0.6055	3.45	3.20	0.3828	39.05	9.12
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE	85	84	0.1217	0.9493	54.45	8.16	0.8835	87.70	1.96
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_PEROXISOME	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_PEROXISOME	3	2	0.0146	0.2672	0.27	-0.02	0.0974	14.82	10.78
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	12	11	0.0469	0.7819	3.02	5.50	0.5328	37.42	19.86
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_TELOMERE	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_TELOMERE	2	2	0.0271	0.2902	1.40	1.51	0.1333	18.62	18.14
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_VACUOLE	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_VACUOLE	8	7	0.0880	0.6656	2.95	1.52	0.5674	15.90	9.46
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	32	31	0.0546	0.8626	26.47	7.60	0.7261	86.43	16.96
GOBP_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION	GOBP_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION	4	3	0.0239	0.4420	1.74	4.41	0.1314	25.70	27.26
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	14	14	0.0926	0.7512	10.56	4.01	0.5150	58.94	24.15
GOBP_ESTABLISHMENT_OF_SPINDLE_ORIENTATION	GOBP_ESTABLISHMENT_OF_SPINDLE_ORIENTATION	12	11	0.0421	0.6357	6.50	3.39	0.2718	59.44	35.13
GOBP_ESTABLISHMENT_OF_TISSUE_POLARITY	GOBP_ESTABLISHMENT_OF_TISSUE_POLARITY	9	9	0.0253	0.4390	11.20	11.76	0.3543	51.73	20.82
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY	GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY	14	14	0.0474	0.7160	4.13	2.19	0.4173	63.39	13.93
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY	GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY	57	56	0.0501	0.8893	27.29	8.35	0.7980	77.91	16.26
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CYTOSKELETON_POLARITY	GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CYTOSKELETON_POLARITY	2	1	0.0412	0.1077	-0.33	-0.73	0.0110	4.17	1.88
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_MONOPOLAR_CELL_POLARITY	GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_MONOPOLAR_CELL_POLARITY	8	7	0.0262	0.4704	-0.25	0.82	0.3430	47.45	18.78
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_TRANSMEMBRANE_ELECTROCHEMICAL_GRADIENT	GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_TRANSMEMBRANE_ELECTROCHEMICAL_GRADIENT	3	3	0.0677	0.5984	-0.63	2.12	0.2142	18.07	8.83
GOBP_ESTROGEN_BIOSYNTHETIC_PROCESS	GOBP_ESTROGEN_BIOSYNTHETIC_PROCESS	4	3	0.0177	0.3056	1.86	-0.19	0.0347	7.40	9.45
GOBP_ESTROGEN_METABOLIC_PROCESS	GOBP_ESTROGEN_METABOLIC_PROCESS	10	9	0.0361	0.4021	0.87	1.40	0.1515	37.08	38.10
GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	12	11	0.0376	0.5909	2.33	1.63	0.4233	62.73	30.17
GOBP_ESTROUS_CYCLE	GOBP_ESTROUS_CYCLE	4	3	0.0272	0.3426	0.52	0.99	0.2283	22.13	34.62
GOBP_ETHANOLAMINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_ETHANOLAMINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	2	2	0.0232	0.0480	-0.04	0.08	0.0397	0.01	0.14
GOBP_ETHANOL_METABOLIC_PROCESS	GOBP_ETHANOL_METABOLIC_PROCESS	4	4	0.0352	0.4063	3.36	1.76	0.0669	10.42	18.59
GOBP_ETHER_BIOSYNTHETIC_PROCESS	GOBP_ETHER_BIOSYNTHETIC_PROCESS	3	2	0.0687	0.3040	1.02	0.99	0.0832	15.68	6.52
GOBP_ETHER_METABOLIC_PROCESS	GOBP_ETHER_METABOLIC_PROCESS	7	6	0.0315	0.3650	-1.13	-2.33	0.1375	8.37	14.31
GOBP_EXCITATORY_CHEMICAL_SYNAPTIC_TRANSMISSION	GOBP_EXCITATORY_CHEMICAL_SYNAPTIC_TRANSMISSION	5	4	0.0169	0.0521	0.10	0.54	0.0454	0.16	0.01
GOBP_EXCITATORY_SYNAPSE_ASSEMBLY	GOBP_EXCITATORY_SYNAPSE_ASSEMBLY	12	12	0.0256	0.2345	0.31	-0.66	0.1809	15.80	13.41
GOBP_EXCRETION	GOBP_EXCRETION	13	12	0.0361	0.3981	0.11	0.19	0.3100	20.02	14.05
GOBP_EXECUTION_PHASE_OF_APOPTOSIS	GOBP_EXECUTION_PHASE_OF_APOPTOSIS	18	18	0.0572	0.7571	4.81	2.30	0.5582	50.97	28.42
GOBP_EXIT_FROM_MITOSIS	GOBP_EXIT_FROM_MITOSIS	7	6	0.0222	0.4022	3.11	1.57	0.2756	27.99	27.52
GOBP_EXOCRINE_PANCREAS_DEVELOPMENT	GOBP_EXOCRINE_PANCREAS_DEVELOPMENT	3	3	0.0983	0.2293	0.82	0.37	0.1946	3.52	2.48
GOBP_EXOCRINE_SYSTEM_DEVELOPMENT	GOBP_EXOCRINE_SYSTEM_DEVELOPMENT	21	21	0.0495	0.5057	0.97	0.43	0.5116	48.12	8.42
GOBP_EXOCYST_LOCALIZATION	GOBP_EXOCYST_LOCALIZATION	2	2	0.0116	0.2046	0.51	0.85	0.0147	0.12	0.01
GOBP_EXOCYTIC_PROCESS	GOBP_EXOCYTIC_PROCESS	27	27	0.0367	0.5671	2.77	2.45	0.2853	28.96	27.63
GOBP_EXOCYTOSIS	GOBP_EXOCYTOSIS	97	96	0.0597	0.8951	31.07	4.96	0.8000	77.25	14.93
GOBP_EXPLORATION_BEHAVIOR	GOBP_EXPLORATION_BEHAVIOR	14	13	0.0275	0.4280	-0.89	0.61	0.3412	9.70	3.73
GOBP_EXPORT_ACROSS_PLASMA_MEMBRANE	GOBP_EXPORT_ACROSS_PLASMA_MEMBRANE	26	25	0.0519	0.7158	12.99	10.59	0.5581	30.83	21.39
GOBP_EXPORT_FROM_CELL	GOBP_EXPORT_FROM_CELL	264	264	0.1321	0.9541	57.52	1.95	0.9042	83.31	0.38
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION	GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION	115	114	0.1319	0.9411	65.30	6.87	0.8867	69.38	5.61
GOBP_EXTRACELLULAR_EXOSOME_ASSEMBLY	GOBP_EXTRACELLULAR_EXOSOME_ASSEMBLY	2	2	0.0203	0.1559	-0.07	-0.21	0.0750	0.46	1.69
GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY	GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY	15	14	0.1360	0.7687	47.27	1.52	0.4854	1.10	-0.17
GOBP_EXTRACELLULAR_MATRIX_CELL_SIGNALING	GOBP_EXTRACELLULAR_MATRIX_CELL_SIGNALING	2	1	0.0193	0.0210	0.01	0.00	-0.0066	-0.01	0.04
GOBP_EXTRACELLULAR_MATRIX_CONSTITUENT_SECRETION	GOBP_EXTRACELLULAR_MATRIX_CONSTITUENT_SECRETION	3	3	0.0370	0.2367	1.62	1.99	0.1313	0.35	0.51
GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY	GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY	24	23	0.1002	0.8106	19.34	4.94	0.6129	41.22	11.89
GOBP_EXTRACELLULAR_REGULATION_OF_SIGNAL_TRANSDUCTION	GOBP_EXTRACELLULAR_REGULATION_OF_SIGNAL_TRANSDUCTION	5	5	0.0197	0.4042	5.12	4.38	0.1383	11.12	11.82
GOBP_EXTRACELLULAR_TRANSPORT	GOBP_EXTRACELLULAR_TRANSPORT	10	10	0.0084	0.3938	1.45	2.44	0.1178	18.98	21.70
GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS	GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS	5	4	0.0366	0.5831	3.57	3.08	0.1864	17.61	22.48
GOBP_EXTRAEMBRYONIC_MEMBRANE_DEVELOPMENT	GOBP_EXTRAEMBRYONIC_MEMBRANE_DEVELOPMENT	5	5	0.0445	0.2895	0.63	-0.18	0.1431	5.94	5.58
GOBP_EXTRAOCULAR_SKELETAL_MUSCLE_DEVELOPMENT	GOBP_EXTRAOCULAR_SKELETAL_MUSCLE_DEVELOPMENT	2	1	-0.0042	0.0038	0.05	0.09	-0.0016	6.94	26.48
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	59	58	0.0920	0.8359	-0.33	-0.05	0.7881	50.22	4.40
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS	GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS	17	16	0.0592	0.6606	5.85	2.04	0.5700	23.00	13.15
GOBP_EYELID_DEVELOPMENT_IN_CAMERA_TYPE_EYE	GOBP_EYELID_DEVELOPMENT_IN_CAMERA_TYPE_EYE	5	4	0.0776	0.3442	-1.28	-0.84	0.2243	36.53	22.24
GOBP_EYE_MORPHOGENESIS	GOBP_EYE_MORPHOGENESIS	51	50	0.0708	0.7392	8.60	4.35	0.6013	68.22	7.70
GOBP_EYE_PHOTORECEPTOR_CELL_DEVELOPMENT	GOBP_EYE_PHOTORECEPTOR_CELL_DEVELOPMENT	10	9	0.0603	0.3107	-0.26	-0.45	0.2245	6.92	2.80
GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	14	13	0.0391	0.3964	-0.16	-0.18	0.2377	33.96	23.52
GOBP_EYE_PIGMENTATION	GOBP_EYE_PIGMENTATION	2	1	-0.0016	0.0534	-0.05	-0.30	0.0023	-0.07	-0.86
GOBP_FACE_DEVELOPMENT	GOBP_FACE_DEVELOPMENT	13	13	0.0261	0.5466	28.26	24.85	0.4005	24.26	22.82
GOBP_FACE_MORPHOGENESIS	GOBP_FACE_MORPHOGENESIS	8	8	0.0421	0.6023	49.97	26.57	0.3852	19.64	19.59
GOBP_FACIAL_NERVE_MORPHOGENESIS	GOBP_FACIAL_NERVE_MORPHOGENESIS	5	4	0.0183	0.2252	-1.52	-1.24	0.1298	9.96	12.98
GOBP_FACIAL_NERVE_STRUCTURAL_ORGANIZATION	GOBP_FACIAL_NERVE_STRUCTURAL_ORGANIZATION	4	4	0.0140	0.2562	-0.24	0.90	0.1847	5.06	10.23
GOBP_FACULTATIVE_HETEROCHROMATIN_FORMATION	GOBP_FACULTATIVE_HETEROCHROMATIN_FORMATION	4	3	0.0110	0.3202	0.64	2.73	0.1394	36.98	37.97
GOBP_FARNESYL_DIPHOSPHATE_METABOLIC_PROCESS	GOBP_FARNESYL_DIPHOSPHATE_METABOLIC_PROCESS	2	2	0.0442	0.3050	0.12	0.03	0.0689	4.96	2.38
GOBP_FAS_SIGNALING_PATHWAY	GOBP_FAS_SIGNALING_PATHWAY	2	1	0.0377	0.2262	0.10	0.41	0.1034	12.40	10.22
GOBP_FATTY_ACID_ALPHA_OXIDATION	GOBP_FATTY_ACID_ALPHA_OXIDATION	2	2	0.0089	0.1742	0.00	0.14	0.0115	0.24	1.81
GOBP_FATTY_ACID_BETA_OXIDATION	GOBP_FATTY_ACID_BETA_OXIDATION	15	14	0.0476	0.7450	8.67	4.18	0.4078	52.95	32.55
